"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Model-Driven Digital Twin for Manufacturing Process Adaptation","P. Spaney; S. Becker; R. Ströbel; J. Fleischer; S. Zenhari; H. -C. Möhring; A. -K. Splettstößer; A. Wortmann","University of Stuttgart, ISTE, Stuttgart, Germany; University of Stuttgart, ISTE, Stuttgart, Germany; Karlsruhe Institute of Technology, wbk, Karlsruhe, Germany; Karlsruhe Institute of Technology, wbk, Karlsruhe, Germany; University of Stuttgart, IfW, Stuttgart, Germany; University of Stuttgart, IfW, Stuttgart, Germany; University of Stuttgart, ISW, Stuttgart, Germany; University of Stuttgart, ISW, Stuttgart, Germany",2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"22 Dec 2023","2023","","","465","469","Digital twins are a means to better understand, engineer, and use cyber-physical systems. In manufacturing, digital twins can optimize production, prevent failures, and save resources. To consolidate the different approaches to digital twins in manufacturing, ISO 23247 defines the essential functional elements of a digital twin. We present a model-driven digital twin exemplar that realizes part of this standard to analyze milling processes. Our digital twin reference architecture includes a digital twin service component that manages and connects different services to adapt the manufacturing process according to a given objective. Two digital twin services, for the adaptation of component and tool conditions and for geometric error adaptation, illustrate the potential of this reference architecture. The digital twin connects to an industrial milling machine via domain-specific languages. This exemplar uses models at design time and at runtime to separate the concerns of software engineers and domain experts and leverages these models to understand and optimize the use of industrial machine tools.","","979-8-3503-2498-3","10.1109/MODELS-C59198.2023.00081","Ministry of Science, Research and Arts of the Federal State of Baden-Württemberg; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350824","Digital Twin;Model-Driven Development;Software Architecture;Process Adaptation","Adaptation models;Analytical models;Manufacturing processes;Runtime;Software;Digital twins;Manufacturing","","2","","22","IEEE","22 Dec 2023","","","IEEE","IEEE Conferences"
"Air Quality Management: An Exemplar for Model-Driven Digital Twin Engineering","H. S. Govindasamy; R. Jayaraman; B. Taspinar; D. Lehner; M. Wimmer","Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Science Park 3, Linz, Austria; Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Science Park 3, Linz, Austria; Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Science Park 3, Linz, Austria; Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Science Park 3, Linz, Austria; Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Science Park 3, Linz, Austria",2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"20 Dec 2021","2021","","","229","232","Since its first mentioning in the literature, the concept of Digital Twin has gained traction in both industry and academia. However, there are still many open challenges when applying Digital Twins to industry-scale use cases. Applying Model-Driven Engineering techniques to the creation and maintenance of Digital Twins (also referred to as Model-Driven Digital Twin Engineering) promises automation and consistency throughout the life cycle of a Digital Twin. The exemplar provided in this paper can be used to identify open challenges when it comes to Model-Driven Digital Twin Engineering, and to demonstrate how approaches can solve them. This exemplar applies Digital Twins to an indoor air quality management use case, where CO2, temperature, and humidity values of rooms within a building are measured. These values can be used to derive actions to improve work productivity and reduce the risk for virus infections. We describe three applications that make use of this Digital Twin (i.e., runtime visualization, physical simulation, and ML-based predictions), and provide an online repository with the artefacts of this exemplar.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643702","","Temperature measurement;Productivity;Visualization;Runtime;Digital twin;Atmospheric modeling;Predictive models","","11","","22","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"A Model-Driven Platform for Engineering Holistic Digital Twins","D. Lehner","Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute of Business Informatics - Software Engineering, Johannes Kepler University, Linz, Austria",2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"22 Dec 2023","2023","","","179","185","With the combination of software and physical devices into so-called cyber-physical systems (CPSs), Digital Twins (DTs) have emerged to handle the resulting complexity and efficiently connect software to physical devices, the so-called physical twins (PTs). While DTs have gained more and more interest in both industry and academia in recent years, several vendors started to provide so-called DT platforms that offer software tools that promise to make it easier to develop and maintain DTs. When investigating these platforms in more detail, we found that they require the redundant specification of information that is usually already defined in engineering models describing the underlying PT. Additionally, they focus on connecting services to the running PT. Most DT applications however also need a connection to a simulation of the PT, which is currently not supported by the examined DT platforms. As different DT platforms usually each use their own proprietary language and software tooling, it is also currently time-demanding to integrate them with the software services that realize functionality based on these platforms. In the described thesis project, we propose an extended DT platform that solves the mentioned problems by leveraging Model-driven Engineering (MDE) techniques. More precisely, we (i) develop model transformations from existing engineering models to the proprietary DT models used by current DT platforms, (ii) create a DT megamodel that integrates DT models of existing platforms with models representing different endpoints such as PTs or simulations, and generic service descriptions, and (iii) propose a workflow model to define the interactions between different services and DTs, and a method that automates the integration of services and DTs into DT architectures based on this workflow model and the DT megamodel. We aim to evaluate our work by performing case studies on a set of CPSs. In these case studies, we measure the steps required for setting up and maintaining DT architectures for these CPSs, comparing our extended DT platform to existing DT platform support.","","979-8-3503-2498-3","10.1109/MODELS-C59198.2023.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350749","Digital Twin;Model-Driven Engineering;Model Transformation;Digital Twin Platform","Industries;Computer architecture;Model driven engineering;Digital twins;Complexity theory;Software tools","","","","70","IEEE","22 Dec 2023","","","IEEE","IEEE Conferences"
"A Model-driven Approach for Knowledge-based Engineering of Industrial Digital Twins","S. Vale; S. Reddy; S. Subramanian; S. R. Chaudhuri; S. Harsha Nistala; A. Deodhar; V. Runkana","TCS Research, Tata Consultancy Services Ltd, Pune, India; TCS Research, Tata Consultancy Services Ltd, Pune, India; TCS Research, Tata Consultancy Services Ltd, Pune, India; TCS Research, Tata Consultancy Services Ltd, Pune, India; TCS Research, Tata Consultancy Services Ltd, Pune, India; TCS Research, Tata Consultancy Services Ltd, Pune, India; TCS Research, Tata Consultancy Services Ltd, Pune, India",2023 ACM/IEEE 26th International Conference on Model Driven Engineering Languages and Systems (MODELS),"12 Dec 2023","2023","","","13","23","Digital twins are heralding a new paradigm in the process and manufacturing industries by providing real-time decision support for a range of key problems. Engineering digital twin solutions is a knowledge and effort intensive activity. In-depth knowledge of manufacturing plant, process operations, underlying physics, data, and technical problems is essential in the design of digital twin application for a given business objective. Industry domain experts, data scientists and solution developers must collaborate to build it with the required features and functionalities. Currently, it is not an easily scalable process. For each industry vertical and even for the same plant type, the development process has to be repeated manually. To address this, we present a model-driven knowledge-based approach where knowledge can be captured in a machine processible form and reasoned with, to systematically guide the solution development process. Knowledge is modelled at three levels of abstraction, namely, meta, plant type and plant instance. We describe how this helps in generalizing the knowledge, in driving the knowledge acquisition process, and in contextualizing knowledge to specific problem instances. We then outline how the captured knowledge can be exploited to guide various digital twin engineering tasks such as problem definition, model building (physics or data-driven), data preparation, algorithm selection, etc. In particular, we discuss how the approach helps in arriving at a detailed digital twin specification starting from a high-level business problem statement. We present a case study demonstrating the approach on a real-life industrial problem.","","979-8-3503-2480-8","10.1109/MODELS58315.2023.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10343670","Digital Twin;Model Driven Engineering;Knowledge Modeling","Manufacturing industries;Knowledge acquisition;Knowledge based systems;Real-time systems;Model driven engineering;Digital twins;Manufacturing","","","","11","IEEE","12 Dec 2023","","","IEEE","IEEE Conferences"
"The Research of Aero-engine Digital Twin Model Based on Model-driven and Data-driven Fusion Method","K. Liu; P. Wang; Q. Li","Aero-Engine Academy of China, Beijing; Aero-Engine Academy of China, Beijing; Department of Automation, Tsinghua University, Beijing",2021 IEEE 10th Data Driven Control and Learning Systems Conference (DDCLS),"25 Jun 2021","2021","","","322","327","With the rapid development of multi-field physical modeling, sensor network, big data processing and analysis and other information technologies, digital twin technology is gradually applied in the field of complex equipment operation and maintenance. Aero-engine is a typical complex equipment. The accurate monitoring in operation and performance degradation assessment and prediction are the key problems in maintenance. According to the definition of digital, the paper puts forward the concept of aero-engine digital twin and constructs an aero-engine digital twin model based on precise physical models, historical data and sensors data. The aero-engine digital twin model can predict the physical properties and can be applied to accurate monitoring in operation and performance degradation assessment and prediction.","2767-9861","978-1-6654-2423-3","10.1109/DDCLS52934.2021.9455625","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9455625","Digital Twin;Aero-engine;Model-driven and data-driven fusion","Degradation;Performance evaluation;Learning systems;Digital twin;Predictive models;Maintenance engineering;Data models","","2","","14","IEEE","25 Jun 2021","","","IEEE","IEEE Conferences"
"A Modeling Approach Supporting Digital Twin Engineering: Optimizing the Energy Consumption of Air Conditioning Facilities","B. Nast; A. Reiz; N. Ivanovic; K. Sandkuhl","Institute of Computer Science, University of Rostock, Rostock, Germany; Institute of Computer Science, University of Rostock, Rostock, Germany; Institute of Computer Science, University of Rostock, Rostock, Germany; Institute of Computer Science, University of Rostock, Rostock, Germany",2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"22 Dec 2023","2023","","","479","483","Digital Twin (DT) is a concept that has become increasingly relevant in recent years. The basic idea is to connect (physical) facilities or devices with digital representations to monitor, manipulate and predict their behavior in real-time. This work presents a modeling approach supporting DT engineering for air conditioning facilities. We describe the architecture of our system for developing digital representations of physically existing facilities in an industrial use case. The paper focuses on (a) the developed modeling tool, (b) the cloud service configuration, and (c) data analysis that enables energy optimizations.","","979-8-3503-2498-3","10.1109/MODELS-C59198.2023.00083","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350409","Digital Twin;Model-Driven Development;Mod-eling Methodologies;Domain-Specific Modeling Language;Air Conditioning","Air conditioning;Atmospheric modeling;Digital representation;Reliability engineering;Data models;Real-time systems;Behavioral sciences","","","","24","IEEE","22 Dec 2023","","","IEEE","IEEE Conferences"
"Towards Generating Model-Driven Speech Interfaces for Digital Twins","R. Jayaraman; D. Lehner; S. Klikovits; M. Wimmer","Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute of Business Informatics – Software Engineering, Johannes Kepler University Linz, Austria; Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute of Business Informatics – Software Engineering, Johannes Kepler University Linz, Austria; Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute of Business Informatics – Software Engineering, Johannes Kepler University Linz, Austria; Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute of Business Informatics – Software Engineering, Johannes Kepler University Linz, Austria",2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"22 Dec 2023","2023","","","459","464","The recent decade saw enormous advances of the capabilities of speech synthesis and speech recognition. While specific benefits depend on the individual applications, speech interfaces typically increase accessibility, enable “hands-free” and “no-screen” interaction, and often increase interaction speed and allow for more flexible usage patterns and increased multitasking, leading to higher user satisfaction. This paper presents a method to transfer these powerful benefits to the digital twin (DT) domain by automatically generating speech interfaces for DT applications. Our approach is based on Model Driven Engineering principles, where we automatically deduce command patterns from structural model information as used in, e.g., DT platform specifications. The speech interface generation is highly configurable and extendable, thus it can be applied to different DT models. The concepts behind the generator are generic as well, thus they can be ported to other applications and platforms. We validate our approach by applying it to two DT demonstration cases and provide a detailed description of the sketch interface configuration workflow.","","979-8-3503-2498-3","10.1109/MODELS-C59198.2023.00080","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350472","speech recognition;speech interfaces;model-driven engineering;interface generation;digital twin interface","Unified modeling language;Speech recognition;Multitasking;Model driven engineering;Generators;Digital twins;Speech synthesis","","","","24","IEEE","22 Dec 2023","","","IEEE","IEEE Conferences"
"Towards a Taxonomy of Digital Twin Evolution for Technical Sustainability","I. David; D. Bork","McMaster University, Canada; TU Wien, Austria",2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"22 Dec 2023","2023","","","934","938","The next generation of engineered systems ought to be more sustainable. In this context, Digital Twins play a crucial role as key enablers of sustainability ambitions in systems engineering. However, as a specific class of engineered systems, Digital Twins themselves must adopt sustainability principles to avoid defeating their purpose in fostering sustainability. In this proposal, we focus on the technical sustainability of Digital Twins, enabled by their evolution. We propose an initial taxonomy we believe will support systematic Digital Twin evolution mecha-nisms and draw links to similar taxonomies of Physical Twins.","","979-8-3503-2498-3","10.1109/MODELS-C59198.2023.00147","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350387","circular economy;circular systems engineering;model-driven engineering;sustainability;value retention","Knowledge engineering;Systematics;Taxonomy;Model driven engineering;Digital twins;Proposals;Object recognition","","2","","36","IEEE","22 Dec 2023","","","IEEE","IEEE Conferences"
"Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin","N. Braunisch; M. Ristin-Kaufmann; R. Lehmann; H. W. van de Venn","TU Dresden, Institute of Applied Computer Science; Zurich University of Applied Sciences (ZHAW), Institute of Mechatronic Systems (IMS); TU Dresden, Institute of Applied Computer Science; Zurich University of Applied Sciences (ZHAW), Institute of Mechatronic Systems (IMS)",2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA ),"30 Nov 2021","2021","","","1","4","Industrie 4.0 maps the digital twin as the Asset Administration Shell. To develop this digital twin, the Asset Administration Shell meta-model is used. A developer needs high-quality libraries in their programming languages to build the Asset Administration Shell in efficient and ergonomic way. The existing representations of the meta-model are inconvenient for moving from the specification to realizations in software development. This leads to many, often manual, re-implementations of the Asset Administration Shell in each programming language. We present an approach to automatically generate libraries based on the intermediate representation of the meta-model. The approach allows for practical and simple development process of Industrie 4.0 components, and scales across programming environments and future changes in the meta-model.","","978-1-7281-2989-1","10.1109/ETFA45728.2021.9613164","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613164","Asset Administration Shell;Meta-Model;Code Generation;Design-by-contract;Model-driven Architecture","Industries;Computer languages;Digital twin;Ergonomics;Conferences;Manuals;Libraries","","7","","10","IEEE","30 Nov 2021","","","IEEE","IEEE Conferences"
"Process Prediction with Digital Twins","T. Brockhoff; M. Heithoff; I. Koren; J. Michael; J. Pfeiffer; B. Rumpe; M. S. Uysal; W. M. P. Van Der Aalst; A. Wortmann","Process and Data Science, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Process and Data Science, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Stuttgart, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Process and Data Science, RWTH Aachen University, Aachen, Germany; Process and Data Science, RWTH Aachen University, Aachen, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Stuttgart, Germany",2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"20 Dec 2021","2021","","","182","187","Process discovery from event logs as well as process prediction using process models at runtime are increasingly important aspects to improve the operation of digital twins of complex systems. The integration of process mining functionalities with model-driven digital twin architectures raises the question which models are important for the model-driven engineering of digital twins at designtime and at runtime. Currently, research on process mining and model-driven digital twins is conducted in different research communities. Within this position paper, we motivate the need for the holistic combination of both research directions to facilitate harnessing the data and the models of the systems of the future at runtime. The presented position is based upon continuous discussions, workshops, and joint research between process mining experts and software engineering experts in the Internet of Production excellence cluster. We aim to motivate further joint research into the combination of process mining techniques with model-driven digital twins to efficiently combine data and models at runtime.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00032","Deutsche Forschungsgemeinschaft; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643680","Process Mining;Digital Twins;Model-Driven Development;Models@run.time","Runtime;Digital twin;Conferences;Production;Computer architecture;Predictive models;Data models","","26","","33","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
