sep=,
"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","Document Type","Publication Stage","Open Access","Source","EID"
"Muñoz P.; Wimmer M.; Troya J.; Vallecillo A.","Muñoz, Paula (57212347465); Wimmer, Manuel (14030698000); Troya, Javier (55409920800); Vallecillo, Antonio (57212671717)","57212347465; 14030698000; 55409920800; 57212671717","Using trace alignments for measuring the similarity between a physical and its digital twin","2022","Proceedings - ACM/IEEE 25th International Conference on Model Driven Engineering Languages and Systems, MODELS 2022: Companion Proceedings","","","","503","510","7","8","10.1145/3550356.3563135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142936475&doi=10.1145%2f3550356.3563135&partnerID=40&md5=c95b4edffc6e5348b31d3584e9730b13","Itis Software, Universidad de Malaga, Malaga, Spain; CDL-MINT, Johannes Kepler University, Linz, Austria","Muñoz P., Itis Software, Universidad de Malaga, Malaga, Spain; Wimmer M., CDL-MINT, Johannes Kepler University, Linz, Austria; Troya J., Itis Software, Universidad de Malaga, Malaga, Spain; Vallecillo A., Itis Software, Universidad de Malaga, Malaga, Spain","A common problem in the development of digital twin systems is the validation that the behavior of both twins, the physical and the digital, is the same, or at least similar enough given the requirements of the digital twin system. In this paper, we propose a method for the alignment of the traces of both twins. Traces are sequences of snapshots that capture the progressive states of each entity. Our approach is based on a bioinformatic algorithm that we adapt and use for the alignment of snapshots. Additionally, we include a set of measures to evaluate the quality of these alignments and reason about the level of fidelity of the digital twin system. Two case studies are used to demonstrate our proposal and evaluate its accuracy and effectiveness. © 2022 ACM.","Association for Computing Machinery, Inc","ACM Special Interest Group on Software Engineering (ACM SIGSOFT); et al.; Huawei; IEEE Computer Society (IEEE CS); IEEE Computer Society, Technical Committee on Software Engineering (TCSE); University of Montreal","25th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS 2022","23 October 2022 through 28 October 2022","Montreal","184165","Conference paper","Final","","Scopus","2-s2.0-85142936475"
"Poursoltan M.; Traore M.K.; Pinède N.; Vallespir B.","Poursoltan, Milad (57219845031); Traore, Mamadou Kaba (7006005041); Pinède, Nathalie (55625462800); Vallespir, Bruno (6602418118)","57219845031; 7006005041; 55625462800; 6602418118","A Digital Twin Model-Driven Architecture for Cyber-Physical and Human Systems","2023","Proceedings of the I-ESA Conferences","10","","","135","144","9","1","10.1007/978-3-030-90387-9_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149705917&doi=10.1007%2f978-3-030-90387-9_12&partnerID=40&md5=812cbccb123a69060af2ffc33f093ac1","University of Bordeaux, CNRS, IMS, UMR 5218, Talence, 33405, France; Bordeaux Montaigne University, MICA, Pessac, 33600, France","Poursoltan M., University of Bordeaux, CNRS, IMS, UMR 5218, Talence, 33405, France; Traore M.K., University of Bordeaux, CNRS, IMS, UMR 5218, Talence, 33405, France; Pinède N., Bordeaux Montaigne University, MICA, Pessac, 33600, France; Vallespir B., University of Bordeaux, CNRS, IMS, UMR 5218, Talence, 33405, France","The cyber-physical and human system (CPHS) is widely recognized as a key infrastructure to support the future developments in healthcare, industrial manufacturing as well as in many other areas. In consequence, there is an increasing interest in tools, techniques, and technologies to advance the understanding and provide unchallenging improvement of CPHS. Digital Twin is a growing research topic that can equip the CPHS with high-fidelity mirroring, monitoring, controlling, and active functional improvement. The central question in this study asks in what way Digital Twin should be designed and developed for a CPHS. An architecture was required to answer this question and build upon model to define guidelines and requirements for valid Digital Twin. Thus, this study provides much new knowledge about the emerging role of Digital Twin in CPHS by using a model-driven architecture (MDA) approach with the perspective of SD logic. In addition, in the presence of human roles, the given MDA is beneficial for providing abstractions of Digital Twin from different viewpoints, communication with non-technical experts, and decision support, system design, and improvement. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Springer Science and Business Media Deutschland GmbH","","10th International Conference on Interoperability for Enterprise Systems and Applications, I-ESA2020","17 November 2020 through 19 November 2020","Virtual, Online","290669","Conference paper","Final","","Scopus","2-s2.0-85149705917"
"Braunisch N.; Ristin-Kaufmann M.; Lehmann R.; Wollschlaeger M.; Van De Venn H.W.","Braunisch, Nico (57222382006); Ristin-Kaufmann, Marko (57414527600); Lehmann, Robert (57196851697); Wollschlaeger, Martin (6701853265); Van De Venn, Hans Wernher (23971812800)","57222382006; 57414527600; 57196851697; 6701853265; 23971812800","Empowering Industry 4.0 with Generative and Model-Driven SDK Development","2023","IECON Proceedings (Industrial Electronics Conference)","","","","","","","0","10.1109/IECON51785.2023.10312302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179504412&doi=10.1109%2fIECON51785.2023.10312302&partnerID=40&md5=8ba27f50e9562ee06bd2a0f3c135c032","Tu Dresden, Institute of Applied Computer Science, Germany; Zurich University of Applied Sciences (ZHAW), Institute of Mechatronic Systems (IMS), Switzerland","Braunisch N., Tu Dresden, Institute of Applied Computer Science, Germany; Ristin-Kaufmann M., Zurich University of Applied Sciences (ZHAW), Institute of Mechatronic Systems (IMS), Switzerland; Lehmann R., Tu Dresden, Institute of Applied Computer Science, Germany; Wollschlaeger M., Tu Dresden, Institute of Applied Computer Science, Germany; Van De Venn H.W., Zurich University of Applied Sciences (ZHAW), Institute of Mechatronic Systems (IMS), Switzerland","Industry 4.0 developers need high-quality libraries in their preferred programming languages to efficiently and ergonomically create, edit and exchange digital twins as Asset Administration Shell (AAS). Existing specifications of the AAS can not be directly translated into programming code. This leads to many, often manual, re-implementations of the AAS in different projects and programming languages. We present an approach for automatic generation of software libraries based on the formalized AAS meta-model. This shows that the development with our approach is 5× faster for a new language and 10× faster for a new version of the AAS meta-model, respectively. © 2023 IEEE.","IEEE Computer Society","","49th Annual Conference of the IEEE Industrial Electronics Society, IECON 2023","16 October 2023 through 19 October 2023","Singapore","194573","Conference paper","Final","","Scopus","2-s2.0-85179504412"
"Castelli G.; Cesta A.; Ciampi M.; De Benedictis R.; De Pietro G.; Diez M.; Felici G.; Malvezzi R.; Masini B.; Pellegrini R.; Scalas A.; Stecca G.; Strambini L.; Tognola G.; Ravazzani P.; Campana E.F.","Castelli, Giordana (57212265613); Cesta, Amedeo (6701779736); Ciampi, Mario (23396134400); De Benedictis, Riccardo (43460897700); De Pietro, Giuseppe (6508247659); Diez, Matteo (10139188800); Felici, Giovanni (7004367255); Malvezzi, Roberto (23051329600); Masini, Barbara (6601953243); Pellegrini, Riccardo (56529126300); Scalas, Andreas (57208018838); Stecca, Giuseppe (23006716500); Strambini, Lucanos (6507558250); Tognola, Gabriella (56264574700); Ravazzani, Paolo (7003532435); Campana, Emilio Fortunato (7004049848)","57212265613; 6701779736; 23396134400; 43460897700; 6508247659; 10139188800; 7004367255; 23051329600; 6601953243; 56529126300; 57208018838; 23006716500; 6507558250; 56264574700; 7003532435; 7004049848","Urban Intelligence: Toward the Digital Twin of Matera and Catania","2022","2022 Workshop on Blockchain for Renewables Integration, BLORIN 2022","","","","132","137","5","1","10.1109/BLORIN54731.2022.10028437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148320594&doi=10.1109%2fBLORIN54731.2022.10028437&partnerID=40&md5=1be30c2653983b495b89283b521ff94a","Engineering, Ict and Technology for Energy and Transportation Dept. (DIITET), National Research Council (CNR), Rome, Italy; Institute of Cognitive Sciences and Technologies (ISTC), National Research Council (CNR), Rome, Italy; Institute for High Performance Computing and Networking (ICAR), National Research Council (CNR), Naples, Italy; Institute of Marine Engineering (INM), National Research Council (CNR), Rome, Italy; Institute for Systems Analysis and Computer Science (IASI), National Research Council (CNR), Rome, Italy; Engineering, Ict and Technology for Energy and National Research Council (CNR), Rome, Italy; Institute of Electronics, Computer and Telecommunication Engineering (IEIIT), National Research Council (CNR), Bologna, Italy; Institute for Applied Mathematics and Information Technologies (IMATI), National Research Council (CNR), Genoa, Italy","Castelli G., Engineering, Ict and Technology for Energy and Transportation Dept. (DIITET), National Research Council (CNR), Rome, Italy; Cesta A., Institute of Cognitive Sciences and Technologies (ISTC), National Research Council (CNR), Rome, Italy; Ciampi M., Institute for High Performance Computing and Networking (ICAR), National Research Council (CNR), Naples, Italy; De Benedictis R., Institute of Cognitive Sciences and Technologies (ISTC), National Research Council (CNR), Rome, Italy; De Pietro G., Institute for High Performance Computing and Networking (ICAR), National Research Council (CNR), Naples, Italy; Diez M., Institute of Marine Engineering (INM), National Research Council (CNR), Rome, Italy; Felici G., Institute for Systems Analysis and Computer Science (IASI), National Research Council (CNR), Rome, Italy; Malvezzi R., Engineering, Ict and Technology for Energy and National Research Council (CNR), Rome, Italy; Masini B., Institute of Electronics, Computer and Telecommunication Engineering (IEIIT), National Research Council (CNR), Bologna, Italy; Pellegrini R., Institute of Marine Engineering (INM), National Research Council (CNR), Rome, Italy; Scalas A., Institute for Applied Mathematics and Information Technologies (IMATI), National Research Council (CNR), Genoa, Italy; Stecca G., Institute for Systems Analysis and Computer Science (IASI), National Research Council (CNR), Rome, Italy; Strambini L., Engineering, Ict and Technology for Energy and National Research Council (CNR), Rome, Italy; Tognola G., Engineering, Ict and Technology for Energy and National Research Council (CNR), Rome, Italy; Ravazzani P., Engineering, Ict and Technology for Energy and National Research Council (CNR), Rome, Italy; Campana E.F., Engineering, Ict and Technology for Energy and Transportation Dept. (DIITET), National Research Council (CNR), Rome, Italy","The Urban Intelligence (UI) paradigm conceived by CNR consists of an ecosystem of digital technologies joined within a Digital Twin (DT) of the city aimed at improving the city governance towards goals addressed also by the UN Agenda 2030, such as urban environment, sustainability and resilience, wellbeing and quality of life, local development, and social inclusion. In particular, UI provides a set of candidate policies in complex scenarios, and supports policy makers and stakeholders in designing shared, evidence-based, and integrated solutions. UI is being applied for the first time to two Italian cities, Matera and Catania, paving the way for a deeper scientific framing of the paradigm, as well as for the technological development and testing of the core UI ecosystem in real-life situations. The paper introduces the UI key-concepts and components, illustrates the ongoing experimentations in these pilot cities related to the development of two DTs on parts of the urban areas, and presents some initial results. © 2022 IEEE.","Institute of Electrical and Electronics Engineers Inc.","","2022 Workshop on Blockchain for Renewables Integration, BLORIN 2022","2 September 2022 through 3 September 2022","Palermo","186553","Conference paper","Final","","Scopus","2-s2.0-85148320594"
"Paredis R.; Vangheluwe H.","Paredis, Randy (57222735301); Vangheluwe, Hans (6602402077)","57222735301; 6602402077","Towards a digital Z framework based on a family of architectures and a virtual knowledge graph","2022","Proceedings - ACM/IEEE 25th International Conference on Model Driven Engineering Languages and Systems, MODELS 2022: Companion Proceedings","","","","491","496","5","3","10.1145/3550356.3561543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142927915&doi=10.1145%2f3550356.3561543&partnerID=40&md5=8f3dcac117dedc26b48f6a34aec13430","University of Antwerp-Flanders MAKE, Antwerp, Belgium","Paredis R., University of Antwerp-Flanders MAKE, Antwerp, Belgium; Vangheluwe H., University of Antwerp-Flanders MAKE, Antwerp, Belgium","The purpose of systems engineering is to, often collaboratively and following complex workflows, analyse, design, optimize, operate, and evolve complex, cyber-physical systems. This paper proposes a vision of a general framework for the design, deployment and operation of Digital Z (where Z can be model, shadow, twin, passport, avatar...). Different Digital Zs are used, often in combination, for various purposes during systems engineering. That is why we propose a family of architectures for different Digital Zs. Each Digital Z architecture is constructed based on the engineers' goals. These goals can always be reduced to the observation, satisfaction, or optimization of some Properties of Interest (PoIs). Example PoIs are safety, and average energy consumption. We propose to have one Digital Z architecture per PoI. The different Digital Zs may be combined into an ecosystem. More variability is introduced when we zoom into the deployment of Digital Zs. Common choices for network communication such as DDS and MQTT each have their own strengths and weaknesses which must be taken into account when trying to satisfy non-functional properties such as meeting real-time deadlines. We also introduce the Modelverse, a Virtual (Federated) Knowledge Graph (VKG). It is used as a source of knowledge to aid in the construction of ""experiments""which answer user's questions about PoIs. These, possibly concurrent, experiments are in essence particular Digital Z ecosystems/architectures. When the experiments provide answers, these are added to the VKG knowledge base in the form (question, experiment architecture, answer). The glue between the above is a template workflow. We sketch the above concepts by means of concrete examples and compare them with existing Digital Z definitions and frameworks such as the ""5D model"". © 2022 ACM.","Association for Computing Machinery, Inc","ACM Special Interest Group on Software Engineering (ACM SIGSOFT); et al.; Huawei; IEEE Computer Society (IEEE CS); IEEE Computer Society, Technical Committee on Software Engineering (TCSE); University of Montreal","25th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS 2022","23 October 2022 through 28 October 2022","Montreal","184165","Conference paper","Final","","Scopus","2-s2.0-85142927915"
"Ejersbo H.; Lausdahl K.; Frasheri M.; Esterle L.","Ejersbo, Henrik (57226336274); Lausdahl, Kenneth (35186177400); Frasheri, Mirgita (55979636800); Esterle, Lukas (49963334900)","57226336274; 35186177400; 55979636800; 49963334900","Dynamic Runtime Integration of New Models in Digital Twins","2023","ICSE Workshop on Software Engineering for Adaptive and Self-Managing Systems","2023-May","","","44","55","11","0","10.1109/SEAMS59076.2023.00016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159598859&doi=10.1109%2fSEAMS59076.2023.00016&partnerID=40&md5=c6c1e5ab30ae900b85c37687674b30d0","Aarhus University, Department of Electrical and Computer Engineering Digit, Aarhus, Denmark","Ejersbo H., Aarhus University, Department of Electrical and Computer Engineering Digit, Aarhus, Denmark; Lausdahl K., Aarhus University, Department of Electrical and Computer Engineering Digit, Aarhus, Denmark; Frasheri M., Aarhus University, Department of Electrical and Computer Engineering Digit, Aarhus, Denmark; Esterle L., Aarhus University, Department of Electrical and Computer Engineering Digit, Aarhus, Denmark","The development of cyber-physical systems is heavily relying on model-driven approaches. After deployment, these models can be utilised in a Digital Twin setting, acting as virtual replicas of the physical components and reflecting the behaviour of the running system in real-time. Complex systems often consist of numerous models interacting with each other and individual models may need to be updated after deployment. This means that new models need to be integrated and swapped during runtime without interrupting the running system. In this paper, we propose an approach for model-based Digital Twins to replace individual models without stopping or halting the operation of a cyber-physical system. Furthermore, our approach allows to replace not only individual models, but also update the overall structure of the interaction of models in the Digital Twin setting. The use of the proposed mechanism is illustrated through two case-studies with an agricultural robot prototype.  © 2023 IEEE.","IEEE Computer Society","","18th IEEE/ACM Symposium on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2023","15 May 2023 through 16 May 2023","Melbourne","190661","Conference paper","Final","","Scopus","2-s2.0-85159598859"
"Stennikov V.; Sokolov D.; Barakhtenko E.; Mayorov G.","Stennikov, Valery (6508326526); Sokolov, Dmitry (57190607698); Barakhtenko, Evgeny (58823795700); Mayorov, Gleb (57211071672)","6508326526; 57190607698; 58823795700; 57211071672","A software platform for constructing a digital twin of the integrated energy system","2023","E3S Web of Conferences","461","","01001","","","","0","10.1051/e3sconf/202346101001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182756879&doi=10.1051%2fe3sconf%2f202346101001&partnerID=40&md5=894fba6947791fef8e8c195e8261d723","Melentiev Energy Systems Institute of Siberian Branch of the Russian Academy of Sciences (ESI SB RAS), Irkutsk, 664033, Russian Federation","Stennikov V., Melentiev Energy Systems Institute of Siberian Branch of the Russian Academy of Sciences (ESI SB RAS), Irkutsk, 664033, Russian Federation; Sokolov D., Melentiev Energy Systems Institute of Siberian Branch of the Russian Academy of Sciences (ESI SB RAS), Irkutsk, 664033, Russian Federation; Barakhtenko E., Melentiev Energy Systems Institute of Siberian Branch of the Russian Academy of Sciences (ESI SB RAS), Irkutsk, 664033, Russian Federation; Mayorov G., Melentiev Energy Systems Institute of Siberian Branch of the Russian Academy of Sciences (ESI SB RAS), Irkutsk, 664033, Russian Federation","An integrated energy system is a complex technical object, digital twin technologies improve the quality of its design and management. The paper proposes a methodological approach to the development of a software platform for constructing a digital twin of the integrated energy system and solving a set of problems that arise during system design and management. The Model-Driven Engineering (MDE) concept is implemented to automate the stages of a digital twin construction based on the platform. A three-level architecture of a network multiuser software system is proposed. An algorithm used for automated construction of a digital twin of the integrated energy system is presented. © The Authors, published by EDP Sciences.","EDP Sciences","","2023 Rudenko International Conference on Methodological Problems in Reliability Study of Large Energy Systems, RSES 2023","9 July 2023 through 15 July 2023","Olkhon isl.","196164","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85182756879"
"Heithoff M.; Konersmann M.; Michael J.; Rumpe B.; Steinfurth F.","Heithoff, Malte (57438806400); Konersmann, Marco (55609366800); Michael, Judith (55341586200); Rumpe, Bernhard (55861872700); Steinfurth, Felix (58813102100)","57438806400; 55609366800; 55341586200; 55861872700; 58813102100","Challenges of Integrating Model-Based Digital Twins for Vehicle Diagnosis","2023","Proceedings - 2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion, MODELS-C 2023","","","","470","478","8","0","10.1109/MODELS-C59198.2023.00082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182406755&doi=10.1109%2fMODELS-C59198.2023.00082&partnerID=40&md5=189939efdce2cbaab424606dafdd18c6","Rwth Aachen University, Software Engineering, Aachen, Germany","Heithoff M., Rwth Aachen University, Software Engineering, Aachen, Germany; Konersmann M., Rwth Aachen University, Software Engineering, Aachen, Germany; Michael J., Rwth Aachen University, Software Engineering, Aachen, Germany; Rumpe B., Rwth Aachen University, Software Engineering, Aachen, Germany; Steinfurth F., Rwth Aachen University, Software Engineering, Aachen, Germany","The integration of independently developed digital twins for automotive diagnosis in a service-oriented vehicle architecture into a complex systems-of-systems rises various challenges to be handled. These challenges have to be tackled in detail for each particular domain and technical system architecture. Current research lacks to discuss them for service-oriented vehicle architectures. Within the project AUTOtech.agil, we are developing a digital twin for automotive diagnosis. This paper describes the application scenario, discusses integration challenges in detail and identifies possible mitigation strategies for the challenges. This discussion allows us to identify areas where general mitigation techniques have yet to be found and to extract a concrete roadmap for the automotive diagnosis digital twins.  © 2023 IEEE.","Institute of Electrical and Electronics Engineers Inc.","","2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS-C 2023","1 October 2023 through 6 October 2023","Vasteras","195746","Conference paper","Final","","Scopus","2-s2.0-85182406755"
"Laukotka F.N.; Krause D.","Laukotka, Fabian Niklas (57217355994); Krause, Dieter (55147588300)","57217355994; 55147588300","Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling","2023","Systems","11","3","142","","","","1","10.3390/systems11030142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151117371&doi=10.3390%2fsystems11030142&partnerID=40&md5=f2f5ebea4dbbcd98fc30e084a17b5d21","Institute of Product Development and Mechanical Engineering Design, Hamburg University of Technology, Denickestr 17, Hamburg, 21073, Germany","Laukotka F.N., Institute of Product Development and Mechanical Engineering Design, Hamburg University of Technology, Denickestr 17, Hamburg, 21073, Germany; Krause D., Institute of Product Development and Mechanical Engineering Design, Hamburg University of Technology, Denickestr 17, Hamburg, 21073, Germany","Aviation is characterized by many stakeholders, long lifespans of its assets, and high requirements regarding safety, security, and documentation. To meet these requirements as well as customer needs, aircraft are regularly retrofitted with new cabins. During the planning and execution of this cabin retrofit, handling the needed and available data poses a challenge to the engineers. While much of the required data is available in some form, generally there is a lack of a digitally usable dataset of the specific aircraft—a virtual representation of the physical asset is missing. To support the implementation of such a digital twin and, thus, the overall process of retrofitting aircraft, an approach to model-driven data handling tailored to the unique circumstances and requirements of aviation is introduced. The methodology consists of a combination of systems engineering and data science techniques framed by an overarching procedure that iteratively creates and enhances a digitally accessible dataset of the relevant data, hence supporting the retrofit engineers by easing access to needed information. Besides the presentation of the research background and the methodology, a simplified example is shown, demonstrating the approach using abstracted but realistic information provided by partners from the industry. © 2023 by the authors.","MDPI","","","","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85151117371"
"","","","STAF-WS 2022 - STAF 2022 Workshop Proceedings: 10th International Workshop on Bidirectional Transformations, BX 2022, 2nd International Workshop on Foundations and Practice of Visual Modeling, FPVM 2022 and 2nd International Workshop on MDE for Smart IoT Systems, MeSS 2022 - co-located with Software Technologies: Applications and Foundations Federation of Conferences, STAF 2022","2022","CEUR Workshop Proceedings","3250","","","","","81","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141131160&partnerID=40&md5=c0683bc78df7b0fae304d31d2cd4d039","","","The proceedings contain 14 papers. The topics discussed include: engineering bidirectional model transformations; decomposition without regret; simulate IoT-federations: domain specific language for designing and executing IoT simulation environments with fog and fog-cloud federations; bidirectional transformations in practice: an automotive perspective on traceability maintenance; optimistic versioning for conflict-tolerant collaborative blended modeling; from object to class models: more steps towards flexible modeling; model slicing on low-code platforms; efficiently engineering IoT architecture languages - an experience report; key-value vs graph-based data lakes for realizing digital twin systems; model-driven development of digital twins for supervision and simulation of sensor-and-actuator networks; and SpeakWell or be still: solving conversational ai with weighted attribute grammars.","CEUR-WS","","STAF 2022 Workshop: 10th International Workshop on Bidirectional Transformations, BX 2022, 2nd International Workshop on Foundations and Practice of Visual Modeling, FPVM 2022 and 2nd International Workshop on MDE for Smart IoT Systems, MeSS 2022","5 July 2022 through 8 July 2022","Nantes","183750","Conference review","Final","","Scopus","2-s2.0-85141131160"
