Title;Reason;DT Definition;modeling language;model type;model processing technique;model usage technique;source;target;purpose of MDE application;purpose of DT;use case domain;system lifecycle phase;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;Technological Readiness Level;notes;Use Case
A data- and model-driven approach for cancer treatment;No MDE application;;;;;;;;;;;;;;;;;;
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;;"""an organic combination of physical products, virtual products and the correlation between them""";"not specified; used tools are SolidWorks, Ansys, Abaqus and Mworks (and more, which are not mentioned explicitly)";;Model Interpretation;;runtime data;3D simulation model;the model is updated based on the runtime data;optimize system through simulation;C — Manufacturing;Operate;Individual Systems;As-Designed;simulation;;TRL 4-6;"runtime data combined with design time model -> as-designed + as-operated, but the mde part happens during operation; 
borderline paper (see arrows in last figure)";CNC machine
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;;;;;;;;;;;;;;As-Operated;;;;;
A multi-model ensemble digital twin solution for real-time unsteady flow state estimation of a pumping station;No MDE application;;;;;;;;;;;;;;;;;purely mathematical modeling;
A virtual model knowledge updating method driven by data;;Not specified;"Not specified; The authors only mention a ""Virtual Model"" containing a ""Geometric, Rule, Behavior, Physical model""";;Model Interpretation;;Runtime Data;Virtual Model;Update virtual model with runtime data;virtual model representing PT;C — Manufacturing;Operate;Individual Systems;As-Designed;;;TRL 4-6;"runtime data combined with design time model -> as-designed + as-operated, but the mde part happens during operation; 
borderline paper (see arrows in last figure)";Gripping Robots, IRB120 robot, KUKA
A virtual model knowledge updating method driven by data;;;;;;;;;;;;;;As-Operated;;;;;
An EV-Traction Inverter Data-Driven Modelling for Digital Twin Development;No MDE application;;;;;;;;;;;;;;;;;ML Model is generated from Data + ML Algorithm;
Classification and Mapping of Layout Algorithms for Usage in Graph-like Modeling Languages;No MDE application;;;;;;;;;;;;;;;;;Only Modeling, no MDE technique applied;
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;No MDE application;;;;;;;;;;;;;;;;;Very generic description. Although the authors mention some potential MDE applications, I don't really find data that could be extracted here;
Data-Driven Methodology to Support Long-Lasting Logistics and Decision Making for Urban Last-Mile Operations;No MDE application;;;;;;;;;;;;;;;;;Only Data-Driven Modeling/Description of the Performance of a Data-Driven Model;
Decentralized Autonomous Operations and Organizations in TransVerse: Federated Intelligence for Smart Mobility;No MDE application;;;;;;;;;;;;;;;;;Just Modeling;
Digital Behavioral Twins for Safe Connected Cars;No MDE application;;;;;;;;;;;;;;;;;Just Modeling;
Digital modeling-driven chatter suppression for thin-walled part manufacturing;No MDE application;;;;;;;;;;;;;;;;;Just Modeling;
Digital Twin Driven Green Performance Evaluation Methodology of Intelligent Manufacturing: Hybrid Model Based on Fuzzy Rough-Sets AHP, Multistage Weight Synthesis, and PROMETHEE II;No MDE application;;;;;;;;;;;;;;;;;"Just Modeling; One could argue that the model is updated based on runtime data, but this is just a side aspect, i.e., no details are given on this aspect in the paper";
Digital Twins for Sustainable Software Systems;Opinion Paper;;;;;;;;;;;;;;;;;"Section 3 is entitled ""A Vision Towards"", and the abstract mentions that the contents of the paper only provide a ""suggestion""";
Dynamic Runtime Integration of New Models in Digital Twins;Borderline No MDE or live data interpreted by FMU;""" virtual
replicas of the physical components and reflecting the behaviour
of the running system in real-time""";;;;;;;;;;;;;;;;;
EMF-Syncer: scalable maintenance of view models over heterogeneous data-centric software systems at run time;No DT used;;UML Class Diagrams;;Model Interpretation;;UML CD;EMF Syncer;Load runtime state;;;Operate;;As-Operated;;;;only minimalistic example with a Customer who has an Address is given;
GRuM-A flexible model-driven runtime monitoring framework and its application to automated aerial and ground vehicles;No DT used;;;;Model Interpretation;;UML CD;EMF Syncer;Update design time model with runtime state;;;;;;;;;;
On the Notion of Digital Twins: A Modeling Perspective;Opinion Paper;;;;;;;;;;;;;;;;;;
Reliable Counterparts: Efficiently Testing Causal Relationships in Digital Twins;;"""Digital twins rely on models to accurately represent their physical counterpart, accepting real-time data from the coupled physical system and relaying feedback to provide more informed functionality""";Causal Directed Acyclic Graphs (no language defined);;Model Interpretation;;Causal Directed Acyclic Graphs;Runtime Data;sync DAG with live data;;C — Manufacturing;Test;Individual Systems;As-Operated;improving testability of physical system;;TRL 1-3;;Robot Arm
Reliable Counterparts: Efficiently Testing Causal Relationships in Digital Twins;;;;;Code Generation;;Causal Directed Acyclic Graphs;Test Cases;generate test cases;;;;;;;;;;
Simulation-Based Engineering of Heterogeneous Collaborative Systems-A Novel Conceptual Framework;No MDE application;;;;;;;;;;;;;;;;;;
Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling;To be discuessed with Manuel;;;;;;;;;;;;;;;;;;
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;;"""This work considers two main features of a digital twin system: (1) the representation and storage of the characteristics of real-world entities in a structured form, and (2) the runtime synchronisation between digital and real-world entities.""";BPMN;;Model to Model Transformation;;BPMN Model;DTDL Model;;;I — Accommodation and Food Service Activities;Operate;Individual Systems;As-Designed;;;TRL 1-3;;
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;;;DTDL;;Code Generation;;BPMN Model;java template code for microservices;;;;;;;;;;;
