Title;Reason;DT Definition;modeling language;model type;model processing technique;model usage technique;source;target;purpose of MDE application;purpose of DT;use case domain;system lifecycle phase;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;Technological Readiness Level;notes;Use Case;Reviewer
A data- and model-driven approach for cancer treatment;No MDE application;;;;;;;;;;;;;;;;;;;Daniel
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;;"""an organic combination of physical products, virtual products and the correlation between them""";"not specified; used tools are SolidWorks, Ansys, Abaqus and Mworks (and more, which are not mentioned explicitly)";;Model Interpretation;;runtime data;3D simulation model;the model is updated based on the runtime data;optimize system through simulation;C  Manufacturing;Operate;Individual Systems;As-Designed;simulation;;TRL 4-6;"runtime data combined with design time model -> as-designed + as-operated, but the mde part happens during operation; 
borderline paper (see arrows in last figure)";CNC machine;Daniel
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;;;;;;;;;;;;;;As-Operated;;;;;;Daniel
A multi-model ensemble digital twin solution for real-time unsteady flow state estimation of a pumping station;No MDE application;;;;;;;;;;;;;;;;;purely mathematical modeling;;Daniel
A virtual model knowledge updating method driven by data;;Not specified;"Not specified; The authors only mention a ""Virtual Model"" containing a ""Geometric, Rule, Behavior, Physical model""";;Model Interpretation;;Runtime Data;Virtual Model;Update virtual model with runtime data;virtual model representing PT;C  Manufacturing;Operate;Individual Systems;As-Designed;;;TRL 4-6;"runtime data combined with design time model -> as-designed + as-operated, but the mde part happens during operation; 
borderline paper (see arrows in last figure)";Gripping Robots, IRB120 robot, KUKA;Daniel
A virtual model knowledge updating method driven by data;;;;;;;;;;;;;;As-Operated;;;;;;Daniel
An EV-Traction Inverter Data-Driven Modelling for Digital Twin Development;No MDE application;;;;;;;;;;;;;;;;;ML Model is generated from Data + ML Algorithm;;Daniel
Classification and Mapping of Layout Algorithms for Usage in Graph-like Modeling Languages;No MDE application;;;;;;;;;;;;;;;;;Only Modeling, no MDE technique applied;;Daniel
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;No MDE application;;;;;;;;;;;;;;;;;Very generic description. Although the authors mention some potential MDE applications, I don't really find data that could be extracted here;;Daniel
Data-Driven Methodology to Support Long-Lasting Logistics and Decision Making for Urban Last-Mile Operations;No MDE application;;;;;;;;;;;;;;;;;Only Data-Driven Modeling/Description of the Performance of a Data-Driven Model;;Daniel
Decentralized Autonomous Operations and Organizations in TransVerse: Federated Intelligence for Smart Mobility;No MDE application;;;;;;;;;;;;;;;;;Just Modeling;;Daniel
Digital Behavioral Twins for Safe Connected Cars;No MDE application;;;;;;;;;;;;;;;;;Just Modeling;;Daniel
Digital modeling-driven chatter suppression for thin-walled part manufacturing;No MDE application;;;;;;;;;;;;;;;;;Just Modeling;;Daniel
Digital Twin Driven Green Performance Evaluation Methodology of Intelligent Manufacturing: Hybrid Model Based on Fuzzy Rough-Sets AHP, Multistage Weight Synthesis, and PROMETHEE II;No MDE application;;;;;;;;;;;;;;;;;"Just Modeling; One could argue that the model is updated based on runtime data, but this is just a side aspect, i.e., no details are given on this aspect in the paper";;Daniel
Digital Twins for Sustainable Software Systems;Opinion Paper;;;;;;;;;;;;;;;;;"Section 3 is entitled ""A Vision Towards"", and the abstract mentions that the contents of the paper only provide a ""suggestion""";;Daniel
Dynamic Runtime Integration of New Models in Digital Twins;Borderline No MDE or live data interpreted by FMU;""" virtual
replicas of the physical components and reflecting the behaviour
of the running system in real-time""";;;;;;;;;;;;;;;;;;Daniel
EMF-Syncer: scalable maintenance of view models over heterogeneous data-centric software systems at run time;No DT used;;UML Class Diagrams;;Model Interpretation;;UML CD;EMF Syncer;Load runtime state;;;Operate;;As-Operated;;;;only minimalistic example with a Customer who has an Address is given;;Daniel
GRuM-A flexible model-driven runtime monitoring framework and its application to automated aerial and ground vehicles;No DT used;;;;Model Interpretation;;UML CD;EMF Syncer;Update design time model with runtime state;;;;;;;;;;;Daniel
On the Notion of Digital Twins: A Modeling Perspective;Opinion Paper;;;;;;;;;;;;;;;;;;;Daniel
Reliable Counterparts: Efficiently Testing Causal Relationships in Digital Twins;;"""Digital twins rely on models to accurately represent their physical counterpart, accepting real-time data from the coupled physical system and relaying feedback to provide more informed functionality""";Causal Directed Acyclic Graphs (no language defined);;Model Interpretation;;Causal Directed Acyclic Graphs;Runtime Data;sync DAG with live data;;C  Manufacturing;Test;Individual Systems;As-Operated;improving testability of physical system;;TRL 1-3;;Robot Arm;Daniel
Reliable Counterparts: Efficiently Testing Causal Relationships in Digital Twins;;;;;Code Generation;;Causal Directed Acyclic Graphs;Test Cases;generate test cases;;;;;;;;;;;Daniel
Simulation-Based Engineering of Heterogeneous Collaborative Systems-A Novel Conceptual Framework;No MDE application;;;;;;;;;;;;;;;;;;;Daniel
Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling;To be discuessed with Manuel;;;;;;;;;;;;;;;;;;;Daniel
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;;"""This work considers two main features of a digital twin system: (1) the representation and storage of the characteristics of real-world entities in a structured form, and (2) the runtime synchronisation between digital and real-world entities.""";BPMN;;Model to Model Transformation;;BPMN Model;DTDL Model;;;I  Accommodation and Food Service Activities;Operate;Individual Systems;As-Designed;;;TRL 1-3;;;Daniel
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;;;DTDL;;Code Generation;;BPMN Model;java template code for microservices;;;;;;;;;;;;Daniel
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;;;;;;;;;;;;;;;;;;;CO2 Measurement;Daniel
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;"Digital Twins. consist ""of three components, a physical product, a virtual representation of that product, and the bi-directional data connections that feed data from the physical to the virtual representation, and information and processes from the virtual representation to the physica";AADL;;Code Generation;;AADL model;"minimal middleware that supports the execution of the model (written in C); Azure code that is used to execute the system and perform monitoring (I think that both aspects are the same)";;support system continuous improvement and maintenance through the analysis of runtime logs and their comparison to system optimal performance.;I  Accommodation and Food Service Activities;Operate;Individual Systems;;enable simulation;;TRL 1-3;;;Daniel
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;;;;Code Generation;;AADL model;LNT model (used for model checking);;;;;;;;;;;;Daniel
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;;;;Code Generation;;AADL model;FMI device mock-ups;;;;;;;;;;;;Daniel
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;;;;Code Generation;;AADL model;;;;;;;;;;;;;Daniel
UAV-Assisted Three-Dimensional Spectrum Mapping Driven by Spectrum Data and Channel Model;No MDE application;;;;;;;;;;;;;;;;;;;Daniel
Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling;;the digital twin is described more generally as a concept, which describes the linkage between (aspects of) a physical product or object and its virtual representation;SysML;data model;Model to Model Transformation;;SysML;MSN-specific;"single-source-of-truth aspect of system models; creation of these models can be performed by engineers with no expertise in programming";;H  Transportation and Storage;Design;Individual Systems;As-Designed;;"""implementation of graph algorithms to source information from the complete set of information"" (similarities between related aircraft could be automatically identified)";TRL 1-3;enables the creation of DTs for specific aircraft;A320;Jingxi
GRuM-A flexible model-driven runtime monitoring framework and its application to automated aerial and ground vehicles;;;"EMF; Xtext; eigene DSL: Monitoring Meta-Model; DSL konformes Model: Weaved monitoring model";data model;Code Generation;;WM + Domain model Fragment;Monitoring Platform + Monitoring Middleware + System under Monitoring Probes;;;H  Transportation and Storage;Implement;Systems of Systems;As-Designed;;;TRL 1-3;;"Dones; ROS TurtleBot Robots";Jingxi
On the Notion of Digital Twins: A Modeling Perspective;no MDE;"A digital twin is a digital replica of a real object that replicates the behavior and states
of the original object in a virtual environment throughout its lifetime [1,2].";;;;;;;;;;;;;;;;on the history of MetaModels, stated to have MM, but none described;;Jingxi
EMF-Syncer: scalable maintenance of view models over heterogeneous data-centric software systems at run time;;;EMF;data model;Model to Model Transformation;;domain model;view model;;;J  Information and Communication;Design;Individual Systems;As-Designed;;;TRL 1-3;internal in eclipse for EMF to synchronize: domain Model and view Model;;Jingxi
EMF-Syncer: scalable maintenance of view models over heterogeneous data-centric software systems at run time;;;EMF;data model;Model to Model Transformation;;view model;domain model;;;J  Information and Communication;Design;Individual Systems;As-Designed;;;TRL 1-3;;;Jingxi
Digital modeling-driven chatter suppression for thin-walled part manufacturing;no Model;;;math;Model Interpretation;;"chatter detection sub-model
optimization sub-model";;;;C  Manufacturing;Operate;Individual Systems;As-Designed;;;TRL 1-3;Model is again a mathematical model;Drilling machine;Jingxi
A data- and model-driven approach for cancer treatment;no MDE;;;data model;Model Interpretation;;Cancer Data;;;;Q  Human Health and Social Work Activities;;;;;;TLR 4-6;"position paper; All Data just describe very vague; Simulation only";cancer simulation;Jingxi
Digital Twin Driven Green Performance Evaluation Methodology of Intelligent Manufacturing: Hybrid Model Based on Fuzzy Rough-Sets AHP, Multistage Weight Synthesis, and PROMETHEE II;no MDE;;;data model;Model Interpretation;;virtual Model;;;;C  Manufacturing;Operate;Individual Systems;As-Designed;;;TRL 1-3;Framework for development of DT;Air Conditioning Enterprise;Jingxi
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;no Model;"The concept of digital twins (DT) originated in the early 21st century,
which was first proposed by Professor Grieves in the United States.";;data model;Model Interpretation;;Simulation Model;;;;C  Manufacturing;Design;Individual Systems;As-Designed;Model in simulation;;TRL 1-3;"model is a mathematical model
mostly probabilities";e worm gear and worm transmission unit;Jingxi
A multi-model ensemble digital twin solution for real-time unsteady flow state estimation of a pumping station;no Model;;;behaviour;Model Interpretation;;data + Math;;;;D  Electricity, Gas, Steam and Air Conditioning Supply;Operate;Individual Systems;As-Designed;Model as in model of Neural Network;;TRL 1-3;model = mathematical model of stream in pipeline;pumping station;Jingxi
