;Title;Reason Daniel;Reason Jingxi;Reason Ann
0;A data- and model-driven approach for cancer treatment;No MDE application;no MDE;Philosophical, Opinion, or Experience paper (ehem. Challenges Paper)
1;A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;;no Model;No MDE application
2;A multi-model ensemble digital twin solution for real-time unsteady flow state estimation of a pumping station;No MDE application;no Model;No MDE application
3;A virtual model knowledge updating method driven by data;;no MDE;No MDE application
4;An EV-Traction Inverter Data-Driven Modelling for Digital Twin Development;No MDE application;no MDE;
5;Classification and Mapping of Layout Algorithms for Usage in Graph-like Modeling Languages;No MDE application;?;No DT used
6;Concept of a Modular and System Model Driven Digital Twin for Engineering Education;No MDE application;;
7;Data-Driven Methodology to Support Long-Lasting Logistics and Decision Making for Urban Last-Mile Operations;No MDE application;no MDE;No MDE applicationNo MDE application
8;Decentralized Autonomous Operations and Organizations in TransVerse: Federated Intelligence for Smart Mobility;No MDE application;no MDE;No MDE application
9;Digital Behavioral Twins for Safe Connected Cars;No MDE application;no MDE;No MDE application
10;Digital modeling-driven chatter suppression for thin-walled part manufacturing;No MDE application;no Model;No MDE application
11;Digital Twin Driven Green Performance Evaluation Methodology of Intelligent Manufacturing: Hybrid Model Based on Fuzzy Rough-Sets AHP, Multistage Weight Synthesis, and PROMETHEE II;No MDE application;no MDE;
12;Digital Twins for Sustainable Software Systems;Opinion Paper;Opinion Paper;"Philosophical, Opinion, or Experience paper (ehem. Challenges Paper) ""a digital twin of a system consists
of a set of models of the system and a set of digital shadows,
both of which are purposefully updated on a regular basis,
and provides a set of services to use both purposefully with
respect to the original system. The digital twin interacts with
the original system by providing useful information about the
systems context and sending it control commands."""
13;Dynamic Runtime Integration of New Models in Digital Twins;Borderline No MDE or live data interpreted by FMU;;"No MDE application ""Digital Twins, as virtual replicas of cyber-physical systems,
can follow the behaviour of their physical counterparts in
real-time, and thus provide support for a range of operations
such as monitoring, prediction, maintenance, learning, reconfiguration, and self-adaptation, among others."""
14;EMF-Syncer: scalable maintenance of view models over heterogeneous data-centric software systems at run time;No DT used;;No DT used
15;GRuM-A flexible model-driven runtime monitoring framework and its application to automated aerial and ground vehicles;No DT used;;
16;On the Notion of Digital Twins: A Modeling Perspective;Opinion Paper;no MDE;
17;Reliable Counterparts: Efficiently Testing Causal Relationships in Digital Twins;;;
18;Simulation-Based Engineering of Heterogeneous Collaborative Systems-A Novel Conceptual Framework;No MDE application;;
19;Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling;To be discuessed with Manuel;;
20;Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;;;
21;TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;;
22;UAV-Assisted Three-Dimensional Spectrum Mapping Driven by Spectrum Data and Channel Model;No MDE application;no Model/no MDE;No DT used + No MDE application
23;;;;
