Title;model processing technique;source;source category;source sub-category;source model target category;target;target category;target category 2;target sub-category;target model target category;use case domain;system lifecycle phase;twinning target;twin lifecycle phase;Technological Readiness Level;Use Case
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;Model Interpretation;hybrid model (physical, geometric, behavior, rule);behavior + structure model;data;PT;performance degredation measurement algorithm;Software;;other software code;;Manufacturing;Design;Individual Systems;As-Operated;TRL 4-6;Transmission of CNC Machine
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;Model Interpretation;runtime data;structural model;;data model;physical model;structural model;;;PT;Manufacturing;Design;Individual Systems;As-Operated;TRL 4-6;Transmission of CNC Machine
A framework for Model-Driven Engineering of resilient software-controlled systems;Code Generation;SysML: BDD;structural model;data;PT;Knowledge Base of software digital twins (Metamodel proposed in Figure 5 of the paper) -> in fact, this is the class diagram of their knowledge base;Software;;other software code;;Transportation and Storage;Design;Individual Systems;As-Designed;TRL 1-3;limited traffic zone access control
A framework for Model-Driven Engineering of resilient software-controlled systems;Model Interpretation;Fault Trees;behavior model;discrete behavior;;FaultTreeAnalyzer (metamodel proposed in Figure 8);Software;;other software code;;;Design;;As-Designed;;
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;Code Generation;AutomationML models;structural model;data;;DT runtime memory;;;runtime data;;;Operate;Systems of Systems;As-Operated;;
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;Model Interpretation;AutomationML models;structural model;ui configuration;software;Restful API, Html pages;Software;;visualization software;PT;Manufacturing;Design;Individual Systems;As-Designed;TRL 1-3;refinery automationsystem with four valves 
A Model-Driven Approach for Situational Intelligence & Operational Awareness;Model Interpretation;electrical system model;structural model;data;PT;;;;;;Electricity;Operate;Individual Systems;As-Designed;TRL 1-3;
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;Model to Model Transformation;;;;;structural model;structural model;;;PT;;;;;;
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;Model to Model Transformation;Fault Trees;behavior model;discrete behavior;PT;Operations-Dedicated Models (ODMs);structural model;;data;Software;Professional, Scientific;Operate;Individual Systems;As-Operated;TRL 1-3;ground station of a spacecraft
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;;DT model (=ODM model);structural model;data;software;UI-based monitoring tools;Software;;visualization software;;;Operate;;As-Operated;;
"A pattern catalog for augmenting Digital Twin models with behavior; [Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten]";Model to Model Transformation;behavior model;behavior model;discrete behavior;PT;structure + behavior model (DTML);behavior + structure model;;;PT;Manufacturing;Design;Individual Systems;As-Designed;TRL 1-3;3D Printer
"A pattern catalog for augmenting Digital Twin models with behavior; [Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten]";Model to Model Transformation;structure model;structural model;data;PT;structure + behavior model (DTML);behavior + structure model;;;PT;Manufacturing;Design;Individual Systems;As-Designed;TRL 1-3;3D Printer
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;Model to Model Transformation;AML;structural model;data;PT;DT-MM;structural model;;data;PT;Administrative;Implement;Individual Systems;As-Designed;TRL 1-3;Air Quality Opitmization System
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;Model to Model Transformation;DT-MM;structural model;data;PT;Json Files;structural model;;data;PT;;Maintain;;As-Designed;;
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;;;;;;;;;;;;;;;;
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;Model to Model Transformation;SysML v2 action sequences;behavior model;discrete behavior;;Markov chains;behavior model;;discrete behavior;PT;;Operate;;As-Operated;;
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;Model to Model Transformation;SysML v2 structure models;structural model;;;Fault Trees;behavior model;;discrete behavior;PT;Manufacturing;Operate;Individual Systems;As-Operated;TRL 1-3;
Closed-Loop Systems Engineering (CLOSE): Integrating Experimentable Digital Twins with the Model-Driven Engineering Process;;Semantic Reference Model  (physical product parts);structural model;data;PT;;;;;;Transportation and Storage;Design;Individual Systems;As-Designed;TRL 1-3;Autonomous Underwater Vehicle (Torpedo)
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;Model to Model Transformation;SDL model;behavior model;discrete behavior;PT;Discrete Event System Specification (formal model for simulation engines);behavior model;;discrete behavior;PT;Education;Design;Processes;As-Designed;TRL 4-6;
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;Model Interpretation;SDL model;behavior model;discrete behavior;;Snap!;behavior model;;;PT;;Design;;As-Designed;;
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;Model to Model Transformation;SysML models (BDD, Sequence Diagram, Parametric Diagram, State Machines);behavior + structure model;;;Simulink Model;behavior model;;continuous behavior;PT;Education;Design;Individual Systems;As-Designed;TRL 1-3;education platform
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;;;structural model;data;PT;;;;;;;;;;;
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;;;;;;;;;;;;;;;;
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;;;;;;;;;;;;;;;;
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;Model to Model Transformation;CPSAML;structural model;architecture;software;SysML (partial model);structural model;;architecture;PT;Accommodation;Design;Individual Systems;As-Designed;TRL 4-6;Roomba floor cleaning robot
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;Code Generation;SysML (complete model);structural model;architecture;software;CPS software code (ROS Packages, DT, Monitoring Cockpit). Sprachen: Java, Typescript, Python, Docker;Software;other software code;visualization software;;;Implement;;As-Designed;;
DataTime: a Framework to smoothly Integrate Past, Present and Future into Models;Model Interpretation;"graph representation; current road situation; data;";structural model;data;PT;DATA Time Framework;;;;;Transportation and Storage;Operate;Systems of Systems;As-Operated;TRL 4-6;Intelligent Public Transportation Systems of the city of Rennes (France)
Digital Behavioral Twins for Safe Connected Cars;Model Interpretation;"discrete markov decision process for modeling driving context; behavioral AI model";behavior model;discrete behavior;PT;"Risk Analyzer; linear ML methods";;;;;Transportation and Storage;;Systems of Systems;As-Designed;TRL 1-3;Connected Vehicles Behaviour prediction
Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;Model Interpretation;System DT (Metamodel proposed by authors in Figure 5);structural model;data;PT;Learning Agent (Reinforcement Learning Algorithm);;;;;Transportation and Storage;Operate;Systems of Systems;As-Designed;TRL 1-3;Parcel Sorting Terminal
Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;;;;;;;;;;;Information and Communication;Operate;Systems of Systems;As-Designed;TRL 1-3;Telecommunication Network
Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;;;;;;;;;;;Information and Communication;Operate;Systems of Systems;As-Designed;TRL 1-3;Households of an Economy in the context of COVID-19
Digital Twin of an Electrical Motor Based on Empirical Performance Model;Model Interpretation;Unity Model;behavior model;continuous behavior;PT;ROS Bridge;;;;;;Operate;;As-Designed;;
