sep=|
ID|Authors|Title|Publication year|Publisher|Proceedings title|URLs|DOI|Abstract|Keywords|Series
||10th International Conference on Interoperability for Enterprise Systems and Applications, I-ESA2020|2023|Scopus|Proceedings of the I-ESA Conferences|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149625291&partnerID=40&md5=f91645b71cb50a9618a263540ea86d13||The proceedings contain 24 papers. The special focus in this conference is on Interoperability for Enterprise Systems and Applications. The topics include: Digital Twin-Driven Design: A Framework to Enhance System Interoperability in the Era of Industry 4.0; a Digital Twin Model-Driven Architecture for Cyber-Physical and Human Systems; interoperability Concerns for Multidimensional Urban Mobility Within the Frame of MaaS; Empowering Process Quality Through Microservices. A ZDMP Perspective; a Declarative Approach for Change Impact Analysis of Business Processes; a Reference Model for Interoperable Living Labs Towards Establishing Productive Networks; Integrated Model-Based Configuration of Production Systemsâ€”Reflection of ISO 19440 and MDA and MDI; A Usage Model to Enrich MDSEA Approach; combining Reference Models for Eliciting Requirements in Industry 4.0 Projects: A Demonstration Case; transition from Work-As-Imagined to Work-As-Done Processes Through Semantics: An Application to Industrial Resilience Analysis; modeling and Sharing Knowledge in Expertise Processes; metadata for Complementing Standards and Formalisation of the Technical Reserve Calculation; a Framework to Formulate Models and Identify Algorithms to Solve Large-Sized Industrial Planning Problems; introduction to a Physics-Based Theory to Manage Risks and Opportunities in Supply Chains; knowledge Representation for Hierarchical and Interconnected Business Contexts; knowledge Extraction for the Product Development Process Based on Ontology-Driven Semantic Interoperability; towards Adaptive, Interactive, Assistive and Collaborative Assembly Workplaces Through Semantic Technologies; a Semantic Interface Model to Support the Integration of Drones in a Cyber-Physical Factory; Applying Distributed Ledger Technology to Facilitate IIoT Data Exchange: An Approach Based on IOTA Tangle; analysis of Data Exchange Among Heterogeneous IoT Systems.||
||10th International Conference on Model-Driven Engineering and Software Development, MODELSWARD 2022|2022|Scopus|International Conference on Model-Driven Engineering and Software Development|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172767442&partnerID=40&md5=1055badfd698fc00289909b5d175aae4||The proceedings contain 43 papers. The special focus in this conference is on International Conference on Model-Driven Engineering and Software Development. The topics include: The Challenges of Defining and Parsing Multi-Layer DMLA Models; code Generation by Example; value Creation Patterns for Industry-relevant Model-based Cyber-Physical Systems; ugameFeature: Automatic Code Generation for Unity Game Projects; platform-independent Specifications for Robotic Process Automation Applications; model to Hardware: System-level Modeling for Wearable Devices; AI-guided Model-Driven Embedded Software Engineering; discerning Quantities from Units of Measurement; the Problem with â€˜Dimensionless Quantitiesâ€™; towards a Lightweight Model-driven Smart-city Digital Twin; historical Knowledge Modelling and Analysis through Ontologies and Timeline Extraction Operators: Application to Computing Heritage; Extraction Process of the Logical Schema of a Document-oriented NoSQL Database; Automated Curation of Variational Data in NoSQL Databases through Metric-driven Self-adaptive Migration Strategies; approach to Reference Models for Building Performance Simulation; model-based Generation of Hazard-driven Arguments and Formal Verification Evidence for Assurance Cases; experimental Comparison of Two Goal-oriented Analysis Techniques; from Monolithic Models to Agile Micromodels; Safety, Security and Performance Assessment of Security Countermeasures with SysML-Sec; a Model-based System Engineering Plugin for Safety Architecture Pattern Synthesis; a Method for Detecting Common Weaknesses in Self-Sovereign Identity Systems Using Domain-Specific Models and Knowledge Graph; modeling Context-aware Systems: A Conceptualized Framework; formal Scenario-driven Logical Spaces for Randomized Synthetic Data Generation; Ontology-based Detection of Inconsistencies in UML/OCL Models; verifiable Executable Models for Decomposable Real-time Systems; modeling of Intralogistic Processes for the Implementation of Warehouse Management Systems; universal Safety Format: Automated Safety Software Generation; scenario-assisted Deep Reinforcement Learning.||
||14th European Conference on Software Architecture,ECSA 2020|2020|Scopus|Communications in Computer and Information Science|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091484200&partnerID=40&md5=3bf4d33d8c0e3847f23860b0315340ff||The proceedings contain 39 papers. The special focus in this conference is on Software Architecture. The topics include: Mining gender bias: A preliminary study on implicit biases and gender identity in the department of computer science at the technical university of munich; state of the practice survey: Predicting the influence of ai adoption on system software architecture in traditional embedded systems; composition algorithm adaptation in service oriented systems; a statistical approach for context-awareness of mobile applications; a reference architecture for personalized and self-adaptive e-health apps; collecting service-based maintainability metrics from restful api descriptions: Static analysis and threshold derivation; optimizing parametric dependencies for incremental performance model extraction; data pipeline architecture for serverless platform; examination and comparison of tosca orchestration tools; big data and machine intelligence in software platforms for smart cities; auto-scaling using tosca infrastructure as code; towards coordinated autoscaling and application brownout at the orchestrator level; measurement-based timing analysis on heterogeneous mpsocs: A practical approach; awas: Aadl information flow and error propagation analysis framework; formal verification of run-to-completion style statecharts using event-b; a simulator coupling architecture for the creation of digital twins; integrating runtime verification into an automated uas traffic management system; dependability of model-driven executable dsls: Critical review and solutions; defining a formal semantic for parallel patterns in the palladio component model using hierarchical queuing petri nets; model-based simulation at runtime with abstract state machines; decentralized self-adaptation in large-scaled systems of systems; merging railway standard notations in a formal dsl-based framework; continuous formal verification of microservice-based process flows.||
||1st International Conference on Systems Modelling and Management, ICSMM 2020|2020|Scopus|Communications in Computer and Information Science|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094099845&partnerID=40&md5=9f65206a63c199da22d00bf4b7cc1778||The proceedings contain 13 papers. The special focus in this conference is on Systems Modelling and Management. The topics include: Exploring Validity Frames in Practice; Suitability of Optical Character Recognition (OCR) for Multi-domain Model Management; simplified View Generation in a Deep View-Based Modeling Environment; grapeL: Combining Graph Pattern Matching and Complex Event Processing; a Model-Driven Mutation Framework for Validation of Test Case Migration; towards Consistency Checking Between aÂ System Model and Its Implementation; towards Model-Driven Digital Twin Engineering: Current Opportunities and Future Challenges; reusable Data Visualization Patterns for Clinical Practice; a Model Based Slicing Technique for Process Mining Healthcare Information; validity Frame Driven Computational Design Synthesis for Complex Cyber-Physical Systems; industrial Plant Topology Models to Facilitate Automation Engineering.||
||2022 IEEE 19th International Conference on Software Architecture Companion, ICSA-C 2022|2022|Scopus|2022 IEEE 19th International Conference on Software Architecture Companion, ICSA-C 2022|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132133369&partnerID=40&md5=bb61d35fee7aacdc00c220d052b15ed4||The proceedings contain 51 papers. The topics discussed include: making architecture optimization transparent with tactic-based explanations; towards automatic classification of design decisions from developer conversations; towards migrating legacy software systems to microservice-based architectures: a data-centric process for microservice identification; model-driven continuous experimentation on component-based software architectures; towards an architecture for deploying ephemeral components on the edge; ownership vs contribution: investigating the alignment between ownership and contribution; let the asset decide: digital twins with knowledge graphs; the computing fleet: managing microservices-based applications on the computing continuum; architectural pen-test generation and vulnerability prediction for cyber-physical systems; and artifact for measuring the relative efficacy of gossip enabled distributed circuit breaking.||
|Clark T.; Cleophas L.; Eramo R.; Kulkarni V.; Wimmer M.|3rd International Workshop on Model-Driven Engineering for Digital Twins (MoDDiT 2023)|2023|Scopus|Proceedings - 2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion, MODELS-C 2023|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182585713&doi=10.1109%2fMODELS-C59198.2023.00075&partnerID=40&md5=21f13b07063bc81fddd43e126e24c3c8|10.1109/MODELS-C59198.2023.00075|[No abstract available]||
||9th International Conference on Model-Driven Engineering and Software Development, MODELSWARD 2021|2021|Scopus|International Conference on Model-Driven Engineering and Software Development|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173911600&partnerID=40&md5=f8f8582466764a91e8c2def857f73c68||The proceedings contain 38 papers. The special focus in this conference is on International Conference on Model-Driven Engineering and Software Development. The topics include: SeGa4Biz: Model-Driven Framework for Developing Serious Games for Business Processes; transpLanMeta: A Metamodel for TranspLan Modeling Language; addressing Industrial Needs with the Fulib Modeling Library; An MDE Method for Improving Deep Learning Dataset Requirements Engineering using Alloy and UML; multi-view-Model Risk Assessment in Cyber-Physical Production Systems Engineering; reusing (Safety-oriented) Compliance Artifacts while Recertifying; Process Digitalization using Blockchain: EU Parliament Elections Case Study; textual Approach for Designing Database Conceptual Models: A Focus Group; performance Aspects of Correctness-oriented Synthesis Flows; improving Digital Twin Experience Reports; towards a Model Transformation based Code Renovation Tool; from Quantities in Software Models to Implementation; transforming Data Flow Diagrams for Privacy Compliance; Direct Model-checking of SysML Models; interfacing Digital and Analog Models for Fast Simulation and Virtual Prototyping; a Modeling Workbench for the Development of Situation-specific Test Co-migration Methods; integrating Kahn Process Networks as a Model of Computation in an Extendable Model-based Design Framework; HERO vs. Zombie: Identifying Zombie Guests in a Virtual Machine Environment; Empirical and Theoretical Evaluation of USE and OCLE Tools; characterization of Software Design and Collaborative Modeling in Open Source Projects; A Model-driven Implementation of PSCS Specification for C++; Model-based Analysis Support for Dependable Complex Systems in CHESS; RCM: Requirement Capturing Model for Automated Requirements Formalisation; RCM-Extractor: Automated Extraction of a Semi Formal Representation Model from Natural Language Requirements; a Framework for Projectional Multi-variant Model Editors.||
|Cleophas, L; Godfrey, T; Khelladi, DE; Lehner, D; Combemale, B; van den Brand, M; Vierhauser, M; Wimmer, M; Zschaler, S|A Community-Sourced View on Engineering Digital Twins: A Report from the EDT.Community|2022|ACM|ACM/IEEE 25TH INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS, MODELS 2022 COMPANION||10.1145/3550356.3561549|Digital Twins are an important concept, enabling what-if scenario exploration, predictive maintenance, and other approaches. They help in saving time and physical resources when developing and evolving systems, whether natural or engineered. However, constructing and maintaining digital twins is a challenging engineering task - and, to date, there is a lack of understanding of the engineering techniques and methodologies required. To address these challenges, we created EDT.Community, a programme of seminars on the engineering of digital twins hosting digital twins experts from academia and industry. In this paper, we report on the main topics of discussion from the first year of the programme. We contribute by providing (1) a common understanding of open challenges in research and practice of the engineering of digital twins, and (2) an entry point to researchers who aim to close gaps in the current state of the art.||
|Cleophas L.; Godfrey T.; Khelladi D.E.; Lehner D.; Combemale B.; Van Den Brand M.; Vierhauser M.; Wimmer M.; Zschaler S.|A Community-sourced view on engineering digital twins: A report from the edt community|2022|Scopus|Proceedings - ACM/IEEE 25th International Conference on Model Driven Engineering Languages and Systems, MODELS 2022: Companion Proceedings|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142928470&doi=10.1145%2f3550356.3561549&partnerID=40&md5=b2dd7fc0de123fc4022ce7243b3a6a8a|10.1145/3550356.3561549|Digital Twins are an important concept, enabling what-if scenario exploration, predictive maintenance, and other approaches. They help in saving time and physical resources when developing and evolving systems, whether natural or engineered. However, constructing and maintaining digital twins is a challenging engineering task-and, to date, there is a lack of understanding of the engineering techniques and methodologies required. To address these challenges, we created EDT.Community, a programme of seminars on the engineering of digital twins hosting digital twins experts from academia and industry. In this paper, we report on the main topics of discussion from the first year of the programme. We contribute by providing (1) a common understanding of open challenges in research and practice of the engineering of digital twins, and (2) an entry point to researchers who aim to close gaps in the current state of the art. Â© 2022 Owner/Author.||
|Liu, Q; Liu, B; Wang, G; Zhang, C|A Comparative Study on Digital Twin Models|2019||ADVANCES IN MATERIALS, MACHINERY, ELECTRONICS III||10.1063/1.5090745|As the main concept, the Digital Twin (DT) shows its potential not only in industry 4.0 but also in other areas. One of the keys that decide the future of DT been known as its model technology. Through models can integrate features, behaviors, and properties of DT artifacts with efficiency, reusability, and interoperability, in order to build a complete mapping between the physical world and digital world, after that realize the ideal DT. This paper aims at comparing and analyzing the DT models in the scientific literature, retracing them from the initial one to the models in most recent researches. Thus, this study also emphasizes several principles of the DT model technology that is related to future work.||
