Title;Reason;Notes;modeling language;model type;model processing technique;Spalte3;model usage technique;Modeling Tool;Notes;notation;source;target;purpose of MDE application;purpose of DT;DT definition;domain;Spalte1;system lifecycle phase;Spalte4;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;TEchnological REadiness Level;Spalte2;notes3
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;;class diagram;structure;Model to Model Transformation;;;;;;tagging model, Class Diagram, MontiArc Model;extended MontiArc Model;extend CPS and DTIS by the necessary communication and synchronization infrastructure;;DTs are digital representations of cyber-physical assets or processes that enable advanced control, decision making, and optimization. They are used in a variety of domains, including avionics, automotive, and smart manufacturing;I ó Accommodation and Food Service Activities;UTOMATIC FIRE EXTINGUISHING SYSTEM;Implement;;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;;montiarc;;code generation;;;;;;MontiArc model;GPL code for CPS;generate CPS code;;;;;;;;;;;;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;;tagging model;NOTE-DL: hier brauchen wir noch eine klare Abtrennung;code generation;;;;;;class diagram;digital twin information system;generate DT;;;;;;;;;;;;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;;GUI DSL;structure;;;;;;;;;;;;;;;;;;;;;;
Measuring the Fidelity of Digital Twin Systems;Challenge/Position Paper;;;;;;;;;;;;;;;;;;;;;;;;;
Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;No MDE technique used;only the data generated by the simulation (which uses a model) is further used by the RL algorithm;;;model interpretation;;;;cf. Figure 6;;;;;;;;;;;;;;;;;
Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;;;snapshot model;;model interpretation;;;;;;snapshot model;trace alignment algorithm;perform trace alignment on snapshots of DT and PT;;A Digital Twin (DT) is a digital representation of an actual system, service or product (the Physical Twin (PT)), synchronized at a specified frequency and fidelity;;lego mindstorms car;Operate;;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;;;;
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;No MDE technique used;different behavioral models are described for a particular use case, but no MDE technique is applied on these models;;;;;;;;;;;;;;;;;;;;;;;;
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;;;n.d,;;model interpretation;;;;;;DT model;UI-based monitoring tools;visualize DT model (data from the running system) for human decision making;;"A Digital Twin (DT) is a virtual representation of a physical
product, asset, process, system, or service that allows us to understand, predict, and optimise their performance for better business
outcomes";H ó Transportation and Storage;ground station of a spacecraft;Operate;;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;;;;
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;;;MontiThings;;code generation;;;;;;MontiThings model;IoT controller code in C++;generate code that runs on an IoT system;;Digital twins (DTs) are digital representations of cyber-physical systems. They monitor systems to offer services to analyze, control, and optimize the system. Alas, there is no commonly agreed on definition of DTs;;smart lawn watering system;Operate;;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;;;;The DT collects data from the generated IoT code, reproduces the data traces, adapts the input models accordingly, and re-generates the new software based on the adapted models
