;Title;DT Definition;modeling language;model type;notation;MDE technique;direction;source;target;purpose;domain;system lifecycle phase;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;TEchnological REadiness Level;notes;Reviewer;Reason;Notes;model processing technique;Spalte3;model usage technique;Modeling Tool;Notes.1;purpose of MDE application;purpose of DT;DT definition;Spalte1;Spalte4;Spalte2;notes3;purpose of MDE technique;Unnamed: 18
0;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;"A digital twin (DT) of a system consists of a set of models
 of the system, a set of contextual data traces and/or their aggregation and abstraction collected from a system, and a set
 of services that allow using the data and models purposefully
 with respects to the original system.";CD;structure;;Model to Model Transformation;unidirectional;CD/MontiArc;CPS/DTIS;Integration of CPS and Information Systems;J  Information and Communication;Design;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;;;Jingxi;;;;;;;;;;;;;;;;
1;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;MontiArc;structure;;code generation;;CD/MontiArc;CPS/DTIS;Integration of CPS and Information Systems;J  Information and Communication;Implement;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;;;Jingxi;;;;;;;;;;;;;;;;
2;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;UML/P;structure;;;;;;;J  Information and Communication;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;;;;Jingxi;;;;;;;;;;;;;;;;
3;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;OCL;structure;;;;;;;J  Information and Communication;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;;;;Jingxi;;;;;;;;;;;;;;;;
4;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;MontiGem;structure;;;;;;;J  Information and Communication;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;;;;Jingxi;;;;;;;;;;;;;;;;
5;A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;"A Digital Twin (DT) is a virtual representation of a physical
product, asset, process, system, or service that allows us to understand, predict, and optimise their performance for better business
outcomes [17]. ";;structure;;Model to Model Transformation;unidirectional;Fault Trees;Operationds-Dedicated Models;;M  Professional, Scientific and Technical Activities;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
6;Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;;MontiArc;structure;;Model to Model Transformation;unidirectional;ADL;CPS;Integration of CPS and Information Systems;J  Information and Communication;Design;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;;;Jingxi;;;;;;;;;;;;;;;;
7;Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;;MontiThings ADL;structure;;Model to Model Transformation;unidirectional;ADL;CPS;Integration of CPS and Information Systems;J  Information and Communication;Implement;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;;;Jingxi;;;;;;;;;;;;;;;;
8;CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;;SYSML 2;structure;;Model to Model Transformation;unidirectional;SYSML 2;Xtend, Java, Typescript, Python, Dockerfile;Integration of CPS and Information Systems;J  Information and Communication;Design;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;;;Jingxi;;;;;;;;;;;;;;;;
9;CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;;ROS;structure;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
10;On the Engineering of IoT-Intensive Digital Twin Software Systems;"DTs are complex entities whose design, development and maintenance demand the integration of diverse disciplines to ensure
the construction of precise digital representations of conceptual or
physical entities and their associated phenomena.";GEMINIS;structure;;model interpretation;;metamodels? structural graph-based DTP models;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
11;On the Engineering of IoT-Intensive Digital Twin Software Systems;"DTs are complex entities whose design, development and maintenance demand the integration of diverse disciplines to ensure
the construction of precise digital representations of conceptual or
physical entities and their associated phenomena.";GEMINIS;behavior;;model interpretation;;DTP and DTI behaviour models;;;;Design;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
12;A Flexible and Modular Architecture for Edge Digital Twin: Implementation and Evaluation;"Digital Twin (DT) originally introduced between 1999 and 2002 [75]. A DT
provides a virtual copy of a physical object mirroring all its sensors, actuators, data, and behaviours in real-time through an efficient bidirectional communication. DTs enable device simulation, analytic, and intelligent functionalities augmenting the features associated with the original physical
device. ";;;;;;;;;;;;;;;;DT Concept but no MDE directly extractable;Jingxi;;;;;;;;;;;;;;;;
13;Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;"The purpose of the digital twin technology [3] is to simulate the
operation of equipments with the best mathematical and behavioral models.";MaRCO, OML, AAS-UML;structure;;Model to Model Transformation;unidirectional;OML;AAS Model;;J  Information and Communication;Design;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;;;Jingxi;;;;;;;;;;;;;;;;
14;Challenges and Possible Approaches for Sustainable Digital Twinning;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
15;Coordination and Explanation of Reconfigurations in Self-Adaptive High-Performance Systems;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
16;Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
17;Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;"A Digital Twin is
a digital 3D - CAD replica of a living or non-living physical entity, allowing to replicate the same behavior as that of the actual
component";SYSML;structure;;Model to Model Transformation;unidirectional;SYSML;Unity GameObject;3D Visualization of SYSML model;J  Information and Communication;Design;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;;"To address the complexity of systems, it is necessary to ensure that knowledge is
transferred properly between projects, teams, and engineers.";"However, more research and development are needed to improve the 3D representation of the SysML
model. In future work, the steps presented in the aforementioned
timeline will be implemented.";1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
18;Semantic digital twins for organizational development;"A DT is, in its common definition, the virtual replica of an asset or physical entity
[7,10,11]. However, this definition is today being extended to other new areas: from
digital representations of physical objects to digital representations of whole organizations [10] or digital replications of living and nonliving entities [11].";;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
19;"A pattern catalog for augmenting Digital Twin models with behavior; [Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten]";"DTs are software systems comprising data, models, and
services to interact with physical systems for a specific
purpose [2, 14, 15].";;;;;;;;;;;;;;;;3D Printer example is it derived from a model? Is it implemented?;Jingxi;;;;;;;;;;;;;;;;
20;Ensuring consistency in scalable-detail models for DT-based control;;;;;;;;;;;;;;;;;Mentioned all possible DT definitions... Uses none;Jingxi;;;;;;;;;;;;;;;;
21;The OMiLAB Digital Innovation environment: Agile conceptual models to bridge business value with Digital and Physical Twins for Product-Service Systems development;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
22;Digital twin enhanced human-machine interaction in product lifecycle;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
23;A Digital Twin Model-Driven Architecture for Cyber-Physical and Human Systems;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
24;Model-driven engineering city spaces via bidirectional model transformations;"In the
realm of smart cities, a digital twin is a virtual model of a
citya model representation of the physical world";CityGML/Application Domain Extension;structure;;Model to Model Transformation;bidirectional;CityGML;topologial 3D model;;F  Construction;Plan;Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).;As-Designed;"guarantees that synchronization between models is
consistent and well behaved";"investigate pluggable custom application policies and support arbitrary
CityGML features. generalization of synchronization to a many-to-one model; being able to support multi-model sources might
enable support of a wider range of applications dealing with
wide area services.";"4-5: das Ding läuft ""im Labor""";Topocity;Jingxi;;;;;;;;;;;;;;;;
25;A New 5S Radar Structure Design Model Driven by Digital Twin;", this paper considers that Digital
Twin is a multi-disciplinary, multi-physical-quantity, multi-time-scale, multi-probability
simulation model in combination of historical data and real-time data, and creates allelement digital reconstruction and mapping of physical entities in virtual space, which is
used to simulate, monitor, diagnose, predict and control the formation, state and behavior of physical entities in the whole lifecycle. It features bi-lateral mapping, dynamic
physical-virtual interaction, high fidelity, model scalability etc";;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
26;Towards Reactive Planning with Digital Twins and Model-Driven Optimization;"As mentioned before, DTs enable a bi-directional data flow between a physical system
and its virtual representation [24], requiring different software components to enable
this communication [33].";EMF, Henshin;structure;;model interpretation;;Meta-model, Transformation Rules;;"mitigate runtime deviations
compared to naive repair; quality/execution time of replanning solutions change;  difference with respect to execution time between calculating the new
plan in parallel to running the system;  ";J  Information and Communication;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;"additional scenarios have to be explored to further validate the different replanning strategies and integration with running systems; , learning-based methods seem beneficial to
be integrated in our framework to reach predictive planning";1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;MOMoT;Jingxi;;;;;;;;;;;;;;;;
27;Model-Driven Engineering in Digital Thread Platforms: A Practical Use Case and Future Challenges;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
28;Performance Evaluation: Model-Driven or Problem-Driven?;"a digital twin is a virtual (digital) representation that
serves as the real-time digital counterpart of a physical object or process (definition
fromWikipedia)";;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
