Title;modeling language;model type;model processing technique;model usage technique;direction;source;target;purpose of MDE technique;purpose of DT;domain;system lifecycle phase;twinning target;twin lifecycle phase;DT Definition;purpose /expected benefit of using models;open challenges;TEchnological REadiness Level;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;MontiArc / MontiGem (useing UML);structure;code generation;tagging;;MontiArc;GPL-code;Reducing the effort for engineering the communication interfaces between CPS and DTs implemented as information systems;to manage a CPS;J ó Information and Communication;Design, Implement;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;DTs are digital representations of cyber-physical assets or processes that enable advanced control, decision making, and optimization.;Reducing the effort for engineering the communication interfaces between CPS and DT implemented as information systems;Although model-driven software engineering (MDSE) provides the necessary methods to generate these connections, these methods have not yet been applied to integrated development and connection of DTs to CPSs.;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
Measuring the Fidelity of Digital Twin Systems;;;;;;;;;;;;;;;;;;
Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;;;;;;;;;;;;;;;;;;
Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;;;;;;;;;;;;;;;;;;
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;BPMN / UML;behavior;Model to Model Transformation;Multi-Paradigm Modeling;uni;BPMN;UML Activity model;A MPM approach completely driven by the business process;emulate the sorting CPPS via Multi-Agent System;N ó Administrative and Support Service Activities;Operate;Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).;As-Operated;However, the characteristics commonly associated to the DT are that it must be able to 1) behave like the real system during its entire life cycle, 2) allow to predict possible failures and 3) take autonomous decisions accordingly. Moreover, it appears to be fundamental to have a seamless connection and synchronization between the DT and the system.;Correlatively model complementary aspects of the system;-;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;ODM, BT-model;behavior;Model to Model Transformation;ODM (Operations-Dedicated Model);uni;FT;BT;Construct Operations-Dedicated Models from Fault Trees, using the Behaviour Tree formalism;Contribute to the stationsí architecture and robustness continuous improvement, through increasing its fault detection and mitigation capabilities.;J ó Information and Communication;Operate;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;A Digital Twin (DT) is a virtual representation of a physical product, asset, process, system, or service that allows us to understand, predict, and optimise their performance for better business outcomes.;Models allow the operators react more quickly and more precisely to alarms raised by the station;-;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;MontiArc, MontiThings ADL, C&C Architectures;behavior;Model to Model Transformation, code generation;-;uni;MontiThings;Code;One of the advantages of our model-driven approach is that there is no manual work involved when recording or replaying system traces.;Leverage digital twins to collect the required data.;IoT;Operate;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;A digital twin (DT) of a system consists of a set of models of the system, a set of contextual data traces and/or their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respects to the original system.;;-;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;SysML2, CPSAML;;Model to Model Transformation, code generation;Multi Paradigm Approach;uni;SysML 2;Code (C++);better support both the system architect and the operator for the development of a mobile CPS. The system architect only keeps the focus on her interests through the introduced DSL, while the operator is supported by the generated cockpit application. In addition, the used code generation should save a lot of implementation effort for developers;;H ó Transportation and Storage;Design;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;-;"Model engineering abstracts real world concepts in a way,
such that only the relevant properties are left. A model therefore
is a simplified representation of reality. This helps planning and
designing complex systems, as a model should give a common sense
of the underlying system.";;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
On the Engineering of IoT-Intensive Digital Twin Software Systems;GEMINIS, MRAC, MIAC;structure, behavior;model interpretation;;;;;In our research, we aim to advance the modelling of DTs from a data-driven, control, and MDE-based perspective, in which ML-based descriptive and predictive behaviour, and simulation and experimentation services can be supported, thus providing a platform for the development and extension of IoT-intensive DTSS.;"Coping with the dynamic and uncertain characteristics of
the physical world (i.e., faced by the real-twin)";H ó Transportation and Storage;Operate;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Operated;Digital Twins (DT) are software systems representing different aspects of a physical or conceptual counterpartóthe real twin, which is instrumented with several sensors or computing devices that generate, consume and transfer data to its DT with different purposes;;"- Define a DT metamodel with sufficient expressiveness to properly describe the structural characteristics (i.e., observable properties) of a real twin and their relationships with context sources.
- Identify and undertake convenient actions regarding the possible drift of DT models (i.e., inaccuracy of originally expected behaviour).
- Determine when a DT is sufficiently mature to consider switching the control of behavioural models from an MRACbased approach, where simulations are used as reference inputs to adapt the behaviour of DT models, to an MIAC based approach that identifies control parameters using data and knowledge from the operating real twin.
- Propagate required changes in definitions of structural models and address their impact on related behavioural models.
- Enable the composition of DTs into larger DT structures and guarantee the interoperability of DT models.";1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
A Flexible and Modular Architecture for Edge Digital Twin: Implementation and Evaluation;;;;;;;;;;;;;;;;;;
