"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Air Quality Management: An Exemplar for Model-Driven Digital Twin Engineering","H. S. Govindasamy; R. Jayaraman; B. Taspinar; D. Lehner; M. Wimmer","Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Science Park 3, Linz, Austria; Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Science Park 3, Linz, Austria; Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Science Park 3, Linz, Austria; Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Science Park 3, Linz, Austria; Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Science Park 3, Linz, Austria","2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)","20 Dec 2021","2021","","","229","232","Since its first mentioning in the literature, the concept of Digital Twin has gained traction in both industry and academia. However, there are still many open challenges when applying Digital Twins to industry-scale use cases. Applying Model-Driven Engineering techniques to the creation and maintenance of Digital Twins (also referred to as Model-Driven Digital Twin Engineering) promises automation and consistency throughout the life cycle of a Digital Twin. The exemplar provided in this paper can be used to identify open challenges when it comes to Model-Driven Digital Twin Engineering, and to demonstrate how approaches can solve them. This exemplar applies Digital Twins to an indoor air quality management use case, where CO2, temperature, and humidity values of rooms within a building are measured. These values can be used to derive actions to improve work productivity and reduce the risk for virus infections. We describe three applications that make use of this Digital Twin (i.e., runtime visualization, physical simulation, and ML-based predictions), and provide an online repository with the artefacts of this exemplar.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643702","","Temperature measurement;Productivity;Visualization;Runtime;Digital twin;Atmospheric modeling;Predictive models","air quality;buildings (structures);computer simulation;data visualisation;humidity;indoor environment;quality management;structural engineering computing","exemplar;Model-Driven Digital Twin Engineering;automation;indoor air quality management;humidity values;building;work productivity;virus infections;runtime visualization;physical simulation;ML-based predictions;online repository","","2","","22","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"The Research of Aero-engine Digital Twin Model Based on Model-driven and Data-driven Fusion Method","K. Liu; P. Wang; Q. Li","Aero-Engine Academy of China, Beijing; Aero-Engine Academy of China, Beijing; Department of Automation, Tsinghua University, Beijing","2021 IEEE 10th Data Driven Control and Learning Systems Conference (DDCLS)","25 Jun 2021","2021","","","322","327","With the rapid development of multi-field physical modeling, sensor network, big data processing and analysis and other information technologies, digital twin technology is gradually applied in the field of complex equipment operation and maintenance. Aero-engine is a typical complex equipment. The accurate monitoring in operation and performance degradation assessment and prediction are the key problems in maintenance. According to the definition of digital, the paper puts forward the concept of aero-engine digital twin and constructs an aero-engine digital twin model based on precise physical models, historical data and sensors data. The aero-engine digital twin model can predict the physical properties and can be applied to accurate monitoring in operation and performance degradation assessment and prediction.","2767-9861","978-1-6654-2423-3","10.1109/DDCLS52934.2021.9455625","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9455625","Digital Twin;Aero-engine;Model-driven and data-driven fusion","Degradation;Performance evaluation;Learning systems;Digital twin;Predictive models;Maintenance engineering;Data models","aerospace engines;Big Data;condition monitoring;maintenance engineering;man-machine systems;sensor fusion;wireless sensor networks","aero-engine digital twin model;model-driven;data-driven fusion method;multifield physical modeling;big data processing;digital twin technology;complex equipment operation;typical complex equipment;performance degradation assessment;precise physical models;historical data","","","","14","IEEE","25 Jun 2021","","","IEEE","IEEE Conferences"
"Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin","N. Braunisch; M. Ristin-Kaufmann; R. Lehmann; H. W. van de Venn","TU Dresden, Institute of Applied Computer Science; Zurich University of Applied Sciences (ZHAW), Institute of Mechatronic Systems (IMS); TU Dresden, Institute of Applied Computer Science; Zurich University of Applied Sciences (ZHAW), Institute of Mechatronic Systems (IMS)","2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA )","30 Nov 2021","2021","","","1","4","Industrie 4.0 maps the digital twin as the Asset Administration Shell. To develop this digital twin, the Asset Administration Shell meta-model is used. A developer needs high-quality libraries in their programming languages to build the Asset Administration Shell in efficient and ergonomic way. The existing representations of the meta-model are inconvenient for moving from the specification to realizations in software development. This leads to many, often manual, re-implementations of the Asset Administration Shell in each programming language. We present an approach to automatically generate libraries based on the intermediate representation of the meta-model. The approach allows for practical and simple development process of Industrie 4.0 components, and scales across programming environments and future changes in the meta-model.","","978-1-7281-2989-1","10.1109/ETFA45728.2021.9613164","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613164","Asset Administration Shell;Meta-Model;Code Generation;Design-by-contract;Model-driven Architecture","Industries;Computer languages;Digital twin;Ergonomics;Conferences;Manuals;Libraries","automatic programming;computerised instrumentation;control engineering computing;ergonomics;microprocessor chips;production engineering computing;software engineering;software libraries","Industrie 4.0 digital twin;Asset Administration Shell;meta-model;high-quality libraries;programming language;software development;Industrie 4.0 components;model-driven SDK development","","3","","10","IEEE","30 Nov 2021","","","IEEE","IEEE Conferences"
"Towards a Reference Architecture for Leveraging Model Repositories for Digital Twins","D. Lehner; S. Wolny; A. Mazak-Huemer; M. Wimmer","Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT) Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria; Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT) Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria; Institute for Subsurface Engineering, Digital Transformation in Tunnelling Montanuniversität Leoben, Leoben, Austria; Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT) Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria","2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)","5 Oct 2020","2020","1","","1077","1080","In the area of Cyber-Physical Systems (CPS), the degree of complexity continuously increases mainly due to new key-enabling technologies supporting those systems. One way to deal with this increasing complexity is to create a digital representation of such systems, a so-called Digital Twin (DT), which virtually acts in parallel ideally across the entire life-cycle of a CPS. For this purpose, the DT uses simulated or real-time data to mimic operations, control, and may modify the CPS’s behaviour at runtime. However, building such DTs from scratch is not trivial, mainly due to the integration needed to deal with heterogeneous systems residing in different technological spaces. In order to tackle this challenge, Model-Driven Engineering (MDE) allows to logically model a CPS with its physical components. Usually, in MDE such ""logical models"" are created at design time which keep them detached from the deployed system during runtime. Instead of building bilateral solutions between each runtime environment and every engineering tool, a dedicated integration layer is needed which can deal with both, design and runtime aspects. Therefore, we present a reference architecture that allows on the one side to query data from model repositories to enrich the running system with design-time knowledge, and on the other side, to be able to reasoning about system states at runtime in design-time models. We introduce a model repository query and management engine as mediator and show its feasibility by a demonstration case.","1946-0759","978-1-7281-8956-7","10.1109/ETFA46521.2020.9212109","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9212109","Reference Architecture;Model-Driven Engineering;Digital Twin Engineering","Runtime environment;Digital twin;Space technology;Buildings;Data models;Real-time systems;Model driven engineering","business data processing;embedded systems;query processing;software architecture","system states;design-time models;model repository query;management engine;reference architecture;model repositories;digital twins;cyber-physical systems;digital representation;real-time data;model-driven engineering;MDE;physical components;logical models;design time;runtime environment;engineering tool;running system;design-time knowledge;CPS behaviour","","6","","16","IEEE","5 Oct 2020","","","IEEE","IEEE Conferences"
"Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python","M. S. Bonney; M. de Angelis; D. Wagg; M. D. Borgo","Department of Mechanical Engineering, The University of Sheffield, Sheffield, UK; Institute for Risk and Uncertainty, University of Liverpool, Liverpool, UK; Department of Mechanical Engineering, The University of Sheffield, Sheffield, UK; Department of Mechanical Engineering, DMMS Lab, KU Leuven/Flanders Make, Leuven, Belgium","2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)","20 Dec 2021","2021","","","237","241","This paper demonstrates an example of an open-source, modular, and system independent framework that has been developed by a team of researchers working for the UK based DigiTwin project. The example in this paper is based on a framework for a digital twin operational platform (DTOP) that uses Flask Python, and is named DTOP-Cristallo. DTOPCristallo is an operational platform that uses HTML web pages as the interface between the digital twin simulations, both python based and 3rd party software based, and the user. This framework is particularly useful for connectivity with users, since it can deploy the digital twin with multiple accessibility options to accommodate a wide variety of intended uses.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643697","Digital Twin;Open source;Operational Platform","Digital twin;Web pages;Model driven engineering;Open source software;Python","computer simulation;hypermedia markup languages;Internet;Python","digital twin simulations;digital twin operational platform;Flask Python;open-source framework;system independent framework;DTOP-Cristallo;UK based DigiTwin project;HTML Web pages;3rd party software","","2","","10","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"An EV-Traction Inverter Data-Driven Modelling for Digital Twin Development","M. Ibrahim; H. A. Raja; A. Rassõlkin; T. Vaimann; A. Kallaste","Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia","2023 23rd International Scientific Conference on Electric Power Engineering (EPE)","28 Jun 2023","2023","","","1","5","Digital Twin (DT) technology has achieved a significant breakthrough in the development of numerous applications, including electric vehicles (EVs). This technique involves the creation of a virtual version of a real object, utilizing simulation and optimization tools with real data to optimize its functioning. The traction inverter is considered the brain of the EV drive system, as it controls the power flow between the battery and the electric motor. It converts the DC voltage from the battery into AC voltage and adjusts the frequency and amplitude to control the speed and torque of the motor. This research work presents the DT modelling procedures of an EV traction inverter. The basic principles of DT are discussed, and the model-driven DT modelling technique is compared to the data-driven. The motor-drive physical model (test bench) is provided. A data-driven model of the inverter was generated using a nonlinear regression-based artificial neural network ANN. Historical data from experimental tests were used as a modeling reference. The obtained results from the data-driven model achieved high prediction accuracy.","2376-5631","979-8-3503-3593-4","10.1109/EPE58302.2023.10149230","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10149230","Data-driven modeling;Digital twins;Model-driven development;Propulsion","Training data;Artificial neural networks;Predictive models;Traction motors;Inverters;Data models;Digital twins","digital twins;electric vehicles;invertors;neural nets;power engineering computing;regression analysis;traction motor drives","AC voltage;battery;DC voltage;digital twin development;digital twin technology;DT modelling procedures;electric motor;electric vehicles;EV drive system;EV traction inverter data-driven modelling;EV-traction inverter data-driven modelling;historical data;model-driven DT modelling technique;modeling reference;motor-drive physical model;optimization tools;significant breakthrough;virtual version","","","","9","IEEE","28 Jun 2023","","","IEEE","IEEE Conferences"
"Inference of Simulation Models in Digital Twins by Reinforcement Learning","I. David; J. Galasso; E. Syriani","DIRO, Université de Montréal, Canada; DIRO, Université de Montréal, Canada; DIRO, Université de Montréal, Canada","2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)","20 Dec 2021","2021","","","221","224","The typical optimization and control activities of Digital Twins are driven by high-performance simulators. Due to the significant complexity of systems subject to digital twinning, constructing simulators of appropriate details is a costly and error-prone endeavor. To alleviate these problems, we propose an approach for inferring simulation models of Digital Twins by machine learning. Instead of learning the simulation model of one specific simulator, we aim at learning their construction process. This generality enables reusing the inferred knowledge in different (but congruent) Digital Twin settings. To achieve this level of generality, we propose the Discrete Event System Specification (DEVS) formalism for capturing simulation models; and reinforcement learning (RL) for inferring DEVS models. In this paper, we explore the opportunities and challenges in combining these two techniques.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643719","digital twins;simulation;DEVS;reinforcement learning","Costs;Digital twin;Prototypes;Reinforcement learning;Model driven engineering;Libraries;Complexity theory","discrete event systems;formal specification;optimisation;parallel processing;reinforcement learning","digital twins;reinforcement learning;typical optimization;high-performance simulators;machine learning;inferring DEVS models;discrete event system specification","","1","","23","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Data- and model-driven digital twins for design and logistics control of product distribution","M. Stan; T. Borangiu; S. Răileanu","Dept. of Automatic Control and Industrial Informatics, University Politehnica of Bucharest, Bucharest, Romania; Dept. of Automatic Control and Industrial Informatics, University Politehnica of Bucharest, Bucharest, Romania; Dept. of Automatic Control and Industrial Informatics, University Politehnica of Bucharest, Bucharest, Romania","2021 23rd International Conference on Control Systems and Computer Science (CSCS)","26 Jul 2021","2021","","","33","40","Digital control of product-on-pallet distribution is organized on two layers in logistics systems: the low-level local process automation and the supervision and coordination dual logistic execution system. The paper's scientific contribution consists in a holonic control system for multiple robot palletizing cells for product-on-pallet distribution. In this holonic control approach, data-driven digital twins (DT) are created to optimize palletizing schedules, controlled with situation awareness and resource health monitoring. A model-driven DT configuration with embedded simulation faster than real-time is combined with the data-driven DT in a meta-level control scheme offering predictive situation awareness. The paper also presents a pure model-driven DT mock-up of a robot palletizing cell - simulation with software in the loop - in which the actual holonic control system including digital twins and decision making is used in the simulation as it will be deployed in reality. This configuration is used to design the robot palletizing cells, to experiment in limit conditions, to fine tune and validate the robot control solution.","2379-0482","978-1-6654-3939-8","10.1109/CSCS52396.2021.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9481009","supply chain;logistics;product distribution;robot palletizing;digital twin;holonic control","Schedules;Robot kinematics;Digital twin;Robot control;Process control;Predictive models;Software","condition monitoring;control engineering computing;control system synthesis;data analysis;decision making;digital control;goods distribution;industrial robots;logistics;mobile robots;multi-robot systems;optimisation;palletising;production engineering computing;scheduling","logistics systems;low-level local process automation;coordination dual logistic execution system;product-on-pallet distribution;holonic control approach;data-driven digital twins;resource health monitoring;model-driven DT configuration;data-driven DT;meta-level control scheme;predictive situation awareness;pure model-driven DT mock-up;actual holonic control system;decision making;robot control solution;model-driven digital twins;logistics control;product distribution;digital control;multiple robot palletizing cells;palletizing schedules;software in the loop simulation","","2","","24","IEEE","26 Jul 2021","","","IEEE","IEEE Conferences"
"Using Ptolemy II as a Framework for Virtual Entity Integration and Orchestration in Digital Twins","D. A. M. Negrin; L. Cleophas; M. Van Den Brand","Department of Mathematics and Computer Science, Software Engineering & Technology cluster, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Mathematics and Computer Science, Software Engineering & Technology cluster, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Mathematics and Computer Science, Software Engineering & Technology cluster, Eindhoven University of Technology, Eindhoven, The Netherlands","2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)","20 Dec 2021","2021","","","233","236","The concept of Digital Twin (DT) is increasingly getting attention due to its support for digital transformation as part of Industry 4.0. A core component of a DT is the virtual entity (VE) that is meant to ‘mirror’ the physical entity (PE). A particular challenge for developing this VE is the integration between the different models that typically make up such a VE. These models, covering different disciplines or aspects of a system, commonly are developed by different engineers and expressed in different formalisms given their strengths and weaknesses. This makes integration between these models and formalisms a challenge. Such integration has two aspects: the communication among the models, and their orchestration, which concerns the order of model step execution and data exchange. In this paper, we consider the suitability of Ptolemy II, an open source framework based on an actor-oriented structure, to implement such integration. We use the Ptolemy II framework to reproduce the implementation of a DT of an autonomous scaled-down truck, which originally required a more manual configuration and execution and was developed in a monolithic way. The results show that Ptolemy II can be used to implement different communication technologies as actors, and show the expressiveness of the orchestrators by reproducing the existing DT’s behavior. This shows Ptolemy II in principle to be suitable as an integration and orchestration tool for models in the context of DTs. As future work, we plan to apply the framework to more complex DTs using different communication technologies, so as to validate its broader suitability for VE orchestration in DTs.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643793","Ptolemy II;Digital twin;orchestration;integration;framework","Digital twin;Manuals;Data models;Communications technology;Model driven engineering;Fourth Industrial Revolution;Context modeling","electronic data interchange;object-oriented programming;production engineering computing;public domain software;specification languages;virtual reality","VE orchestration;virtual entity integration;digital twins;digital transformation;physical entity;model step execution;open source framework;Ptolemy II;communication technologies;orchestrators;orchestration tool;DT behavior;industry 4.0;data exchange;actor-oriented structure;autonomous scaled-down truck","","2","","7","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"A software engineering point of view on digital twin architecture","G. Béchu; A. Beugnard; C. G. L. Cao; Q. Perez; C. Urtado; S. Vauttier","LabSTICC, IMT Atlantique, Brest, France; LabSTICC, IMT Atlantique, Brest, France; LabSTICC, IMT Atlantique, Brest, France; EuroMov Digital Health in Motion, Univ Montpellier, IMT Mines Ales, Ales, France; EuroMov Digital Health in Motion, Univ Montpellier, IMT Mines Ales, Ales, France; EuroMov Digital Health in Motion, Univ Montpellier, IMT Mines Ales, Ales, France","2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA)","25 Oct 2022","2022","","","1","4","Digital twins, along with Internet of Things and Artificial Intelligence, have been identified as one of the key technologies for Industry 4.0. However, the definition of Digital Twin (DT) is still abstract and context-dependent. In this paper, we present a metamodel that supports concrete and operational descriptions of digital twin deployment. This metamodel encompasses the different aspects of deployment, including the definition of hardware and software components that compose the layered cyber-physical architectures of the digital twin, along with the installation and instantiation tasks that compose deployment processes. Multiple configurations can also be defined to support the deployment of a digital twin in different execution contexts. The relevance of this metamodel was evaluated by two case studies. The first consists in deploying the digital twin of a cobot in a simulation environment. The second applies the approach in a home automation environment. In both cases, our metamodel provides complete and precise descriptions of the deployment process and thus constitutes a viable first step towards a model-driven approach for digital twin deployment.","","978-1-6654-9996-5","10.1109/ETFA52439.2022.9921617","University of South Australia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9921617","Digital Twin;Model-Driven Engineering;Architecture Deployment","Home automation;Computer architecture;Software;Hardware;Digital twins;Fourth Industrial Revolution;Internet of Things","cyber-physical systems;Internet of Things;production engineering computing;security of data;software architecture","digital twin architecture;metamodel;digital twin deployment;software engineering;Internet of Things;artificial intelligence;Industry 4.0;hardware component;software component;cyber-physical architecture;cobot;home automation","","","","5","IEEE","25 Oct 2022","","","IEEE","IEEE Conferences"
