Title|DT Definition|modeling language|note on modeling language|model type|model processing technique|model usage technique|source|target|purpose of MDE application|purpose of DT|use case domain|system lifecycle phase|twinning target|twin lifecycle phase|purpose /expected benefit of using models|open challenges|Technological Readiness Level|notes|Use Case
A framework for Model-Driven Engineering of resilient software-controlled systems|"dynamic virtual model of a system, processor, or service, with data (e.g., sensor data) from physical systems or processes integrated into it.; ""Software digital twins representations provide a key abstraction, providing an agile interface on hardware components, capturing operational behaviours of physical assets and processes, also providing refined and interpreted data, to enable diagnoses, predictive maintenance tasks, process plannings, process optimizations, virtual prototyping, and simulation."""|SysML BDD||structure|Model to Model Transformation||SysML BDD|Knowledge Base of software digital twins (Metamodel proposed in Figure 5 of the paper) -> in fact, this is the class diagram of their knowledge base|reuse information created by reliability engineers (sysml) for concrete software implementation|mirror items for monitoring and control operations|H Â— Transportation and Storage|Design|Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).|As-Designed|formal specification of information in the form of models allows the application of MDE techniques (model transformations)||1-3: die Technologie gibt's, evtl. am Toy Example gezeigt||limited traffic zone access control
A framework for Model-Driven Engineering of resilient software-controlled systems||Knowledge base model|contribution of the paper||Model to Model Transformation||Fault Trees|FaultTreeAnalyzer (metamodel proposed in Figure 8)||||Design|||||||
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0|"""The digital twin (DT) is a virtual representation of a physical object, which has been proposed as one of the key concepts for Industry 4.0."""|AutomationML||structure|code generation||AutomationML models|Restful API, Html pages|Synchronizing data from the physical system with the model|Syncronizing data from the physical system with the model|C Â— Manufacturing|Design|Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).||model the physical device, serving as the virtual representation of the device; to model the DT itself, serving as a configuration reference for the deployment phase. ; reusability of similar basic components; model the physical device; serving as the virtual representation of the device; to model the DT itsel - serving as a configuration reference for the deployment phase||1-3: die Technologie gibt's, evtl. am Toy Example gezeigt||refinery automationsystem with four valves 
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0||AutomationML||structure|model interpretation||AutomationML models|DT runtime memory||||Operate|Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).||||||refinery automationsystem with four valves 
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees|"""a digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system [Da20]."""|Fault Tree||behavior|||Fault Trees|Operations-Dedicated Models (ODMs)|||M Â— Professional, Scientific and Technical Activities|Operate|Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).|As-Operated|||1-3: die Technologie gibt's, evtl. am Toy Example gezeigt||ground station of a spacecraft
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees||ODM Models|ODM = DT, but no dedicated language mentioned|structure|||||||||||||||
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees||AutomationML||structure|||DT model (=ODM model)|UI-based monitoring tools||||Design|||||||
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML||Azure DTDL||structure|||AML|DT-MM||"""By integrating the digital and physical worlds, the DT enables real-time monitoring of systems and processes and helps, for example, to reduce downtimes and detect errors at an early stage""; interface to running system"|N Â— Administrative and Support Service Activities|Implement|Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).|As-Designed|reduces complexity through abstraction, enables automation through model-driven engineering; represent information across asset lifecycle, reuse information based on machine-readable format of models||1-3: die Technologie gibt's, evtl. am Toy Example gezeigt||Air Quality Opitmization System
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML||AutomationML|focus on CAEX|structure|||DT-MM|Json Files||||Maintain|||||||
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML|a virtual model of a city|DT-MM: platform-neutral DT metamodel|contribution of the paper|structure|||||||||||||||
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins|"""A digital twin is a software system consisting of models, data, and services to interact with a cyber-physical system for a particular purpose [3, 21, 22]. """|SysML v2||structure|Model to Model Transformation||SysML v2 structure models|Fault Trees|optimization|They serve to monitor, better understand and optimize the behavior of their respective counterparts.|C Â— Manufacturing|Operate|Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).|As-Operated|||1-3: die Technologie gibt's, evtl. am Toy Example gezeigt||
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins||SysML v2||behavior|Model to Model Transformation||SysML v2 action sequences|Markov chains||||Operate||As-Operated|||||
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context|"""a Digital Twin is a virtual reproduction of a system based on simulations, real-time and historical data that allows representing, understanding, and predicting scenarios of the past, present, and future, with verified and validated models, and synchronized at a specified frequency and fidelity with the system"""|SDL||behavior|Model to Model Transformation||SDL model|Discrete Event System Specification (formal model for simulation engines)|execute/simulate modeled behavior||P Â— Education|Design|Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).|As-Designed|low-code programming; enable industrial users to test and/or build their own Digital Twin models at a suitable abstraction level and with low entry barriers ; create an open-source and web-based tool that facilitates the implementation and validation of Digital Twin prototypes||"4-5: das Ding lÃ¤uft ""im Labor"""||
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context||SDL||behavior|model interpretation||SDL model|Snap!||||Design||As-Designed|||||
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems|"middleware between CPS and a monitoring cockpit; ""A digital twin of a system consists of a set of models of the system, a set of digital shadows and their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respect to the original system"""|SysML v2||structure|Model to Model Transformation|Multi Paradigm Approach|CPSAML|SysML (partial model)|"Integration of CPS and Information Systems; transform System Architect vision (CPSAML) into starting point for System Engineer (partial SysML model); ""better support both the system architect and the operator for the development of a mobile CPS. The system architect only keeps the focus on her interests through the introduced DSL, while the operator is supported by the generated cockpit application. In addition, the used code generation should save a lot of implementation effort for developers"""|"aggregates data from CPS into a ""single system snapchot"""|I Â— Accommodation and Food Service Activities|Design|Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).|As-Designed|"""Model engineering abstracts real world concepts in a way, such that only the relevant properties are left. A model therefore is a simplified representation of reality. This helps planning and designing complex systems, as a model should give a common sense of the underlying system."""||"4-5: das Ding lÃ¤uft ""im Labor"""|github repository: https://github.com/me-big-tuwien-ac-at/cpsaml|Roomba floor cleaning robot
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems||CPSAML|contribution of the paper|structure|code generation||SysML (complete model)|CPS software code (ROS Packages, DT, Monitoring Cockpit). Sprachen: Java, Typescript, Python, Docker||||Implement|||||||
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model|"""The concept of Digital Twin (DT) is creating and maintaining a digital representation of the real physical entity and supporting its performance through simulation and optimization tools, which are fed with real and updated data""; ""A perfect DT will be identical to the real physical entity in terms of appearance and behavior with the extra advantage of making future predictions."""|Unity 3D simulation model| describing detailed physics of twinned asset|behavior, physics|code generation||Unity Model|Simulation Controller||3D simulation model that is updated with live data from the twinned asset|H Â— Transportation and Storage|Operate|Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).|As-Designed|||1-3: die Technologie gibt's, evtl. am Toy Example gezeigt||
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model||Unity 3D simulation model| describing detailed physics of twinned asset|behavior, physics|code generation||Unity Model|ROS Bridge||||Operate|||||||
Digital Twins Driving Model Based on Petri Net in Industrial Pipeline|"""the digital twin, that is, real-time data synchronization and feedback control of the entity"""|Petri Net||behavior|model interpretation||Petrinet|real time simulation of state||online syncronization of physical and digital system|C Â— Manufacturing|Operate|Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).|As-Operated|single source of truth for simulation||1-3: die Technologie gibt's, evtl. am Toy Example gezeigt||Suit tailoring
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method|= AAS Model|OWL Ontology + OML Vocabulary||rule|||OML Vocabulary|UML Profile||""" the Asset Administration Shell (AAS), provides a syntactic interoperability interface for all assets involved in smart factories"""|C Â— Manufacturing|Design|Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).|As-Designed|formal definition that allows reasoning on/interpretation of models, interoperability||1-3: die Technologie gibt's, evtl. am Toy Example gezeigt|twinning target is systems-of-systems, including modeling of individual systems|robotic cell (niryo ned for gripping + turtlebot for transportation)
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method||UML Profile|||||||||||||||||
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method||AAS|||||||||||||||||
