Title;DT Definition;virtual space;Kritzinger;DT is specific;modeling language;note on modeling language;model type;model processing technique;model usage technique;source;target;purpose of MDE application;purpose of DT;DTPurposeCategory;use case domain;system lifecycle phase;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;Technological Readiness Level;notes;Use Case
A framework for Model-Driven Engineering of resilient software-controlled systems;"dynamic virtual model of a system, processor, or service, with data (e.g., sensor data) from physical systems or processes integrated into it.; ""Software digital twins representations provide a key abstraction, providing an agile interface on hardware components, capturing operational behaviours of physical assets and processes, also providing refined and interpreted data, to enable diagnoses, predictive maintenance tasks, process plannings, process optimizations, virtual prototyping, and simulation.""";Model of PT;;;SysML;;structure;Model to Model Transformation;;SysML: BDD;Knowledge Base of software digital twins (Metamodel proposed in Figure 5 of the paper) -> in fact, this is the class diagram of their knowledge base;reuse information created by reliability engineers (sysml) for concrete software implementation;mirror items for monitoring and control operations;Monitoring;Transportation and Storage;Design;Individual Systems;As-Designed;formal specification of information in the form of models allows the application of MDE techniques (model transformations);;TRL 1-3;;limited traffic zone access control
A framework for Model-Driven Engineering of resilient software-controlled systems;;;;;Knowledge base model;contribution of the paper;;Model to Model Transformation;;Fault Trees;FaultTreeAnalyzer (metamodel proposed in Figure 8);;;;;Design;;As-Designed;;;;;
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;"""The digital twin (DT) is a virtual representation of a physical object, which has been proposed as one of the key concepts for Industry 4.0.""";Model of PT;;;AutomationML;;structure;Code Generation;;AutomationML models;Restful API, Html pages;Synchronizing data from the physical system with the model;Syncronizing data from the physical system with the model;Synchronization;Manufacturing;Design;Individual Systems;As-Designed;"model the physical device, serving as the virtual representation of the device; to model the DT itself, serving as a configuration reference for the deployment phase. ; reusability of similar basic components; model the physical device; serving as the virtual representation of the device; to model the DT itsel - serving as a configuration reference for the deployment phase";;TRL 1-3;;refinery automationsystem with four valves 
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;;;;;;;structure;Model Interpretation;;AutomationML models;DT runtime memory;;;;;Operate;Systems of Systems;As-Operated;;;;;
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;"""a digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system [Da20].""";Comprehensive;DS;;Fault Tree;;behavior;Model to Model Transformation;;Fault Trees;Operations-Dedicated Models (ODMs);;;;Professional, Scientific and Technical Activities;Operate;Individual Systems;As-Operated;;;TRL 1-3;;ground station of a spacecraft
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;;;;;ODM Models;ODM = DT, but no dedicated language mentioned;structure;Model Interpretation;;DT model (=ODM model);UI-based monitoring tools;;;;;Operate;;As-Operated;;;;;
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;;;;;AutomationML;;structure;Model to Model Transformation;;AML;DT-MM;;"""By integrating the digital and physical worlds, the DT enables real-time monitoring of systems and processes and helps, for example, to reduce downtimes and detect errors at an early stage""; interface to running system";"Monitoring; Interface";Administrative + Support Service Activities;Implement;Individual Systems;As-Designed;"reduces complexity through abstraction, enables automation through model-driven engineering; represent information across asset lifecycle, reuse information based on machine-readable format of models";;TRL 1-3;;Air Quality Opitmization System
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;;;;;Azure DTDL;focus on CAEX;structure;Code Generation;;DT-MM;Json Files;;;;;Maintain;;As-Designed;;;;;
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;a virtual model of a city;;;specific;DT-MM: platform-neutral DT metamodel;contribution of the paper;structure;;;;;;;;;;;;;;;;
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;"""A digital twin is a software system consisting of models, data, and services to interact with a cyber-physical system for a particular purpose [3, 21, 22]. """;Comprehensive;DT;;SysML v2;;structure;Model to Model Transformation;;SysML v2 structure models;Fault Trees;optimization;They serve to monitor, better understand and optimize the behavior of their respective counterparts.;Monitoring;Manufacturing;Operate;Individual Systems;As-Operated;;;TRL 1-3;;
