Title;Reason Jerome;Reason Daniel;Reason Jingxi;Reason Ann;Reason_Consolidated
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;OK;OK;OK;OK;OK
Measuring the Fidelity of Digital Twin Systems;Challenge/Position Paper;Challenge/Position Paper;;Challenge/Position Paper;Challenge/Position Paper
Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;No MDE technique used;No MDE technique used;;No MDE technique used;No MDE technique used
Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;No Model used;OK;;No Model used;No Model used
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;OK;No MDE technique used;;OK;OK
Modular Fault Ascription and Corrective Maintenance Using a Digital Twin;No MDE technique used;No MDE technique used;;No MDE technique used;No MDE technique used
Generating customized low-code development platforms for digital twins;OK;OK;;OK;OK
A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin;No MDE technique used;No MDE technique used;;No MDE technique used;No MDE technique used
Meta-model-based shop-floor digital twin architecture, modeling and application;No MDE technique used;OK;;OK;OK
3D crowdsourced parametric cadastral mapping: Pathways integrating BIM/IFC, crowdsourced data and LADM;No MDE technique used;No MDE technique used;;No MDE technique used;No MDE technique used
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;OK;OK;;OK;OK
Digital Twin Enables Rational Design of Ultrahigh-Power Lithium-Ion Batteries;OK;No MDE technique used;;No MDE technique used;No MDE technique used
A framework for Model-Driven Engineering of resilient software-controlled systems;No MDE technique used;OK;;OK;OK
Model-Driven Development of a Digital Twin for Injection Molding;OK;OK;;OK;OK
The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;No MDE technique used;OK;;No MDE technique used;No MDE technique used
A Digital Twin Model-Driven Architecture for Cyber-Physical and Human Systems;No MDE technique used;;No MDE technique used;;No MDE technique used
Model-driven engineering city spaces via bidirectional model transformations;OK;;OK;;OK
A New 5S Radar Structure Design Model Driven by Digital Twin;No MDE technique used;;No MDE technique used;;No MDE technique used
Towards Reactive Planning with Digital Twins and Model-Driven Optimization;OK;;OK;;OK
Model-Driven Engineering in Digital Thread Platforms: A Practical Use Case and Future Challenges;No MDE technique used;;Challenge/Position Paper;;Challenge/Position Paper
Performance Evaluation: Model-Driven or Problem-Driven?;Challenge/Position Paper;;No MDE technique used;;No MDE technique used
Towards Development Platforms for Digital Twins: A Model-Driven Low-Code Approach;Challenge/Position Paper;;Challenge/Position Paper;;Challenge/Position Paper
Applying a Healthcare Web of Things Framework for Infertility Treatments;Challenge/Position Paper;;Challenge/Position Paper;;Challenge/Position Paper
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;OK;;OK;;OK
Dynamic design method of digital twin process model driven by knowledge-evolution machining features;No MDE technique used;;No MDE technique used;;No MDE technique used
The Research of Aero-engine Digital Twin Model Based on Model-driven and Data-driven Fusion Method;No MDE technique used;No MDE technique used;No MDE technique used;;No MDE technique used
Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;OK;OK;OK;;OK
Towards a Reference Architecture for Leveraging Model Repositories for Digital Twins;No Model used;OK;No Model used;;No Model used
Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python;No Model used;No MDE technique used;No Model used;;No Model used
Data- and model-driven digital twins for design and logistics control of product distribution;No Model used;No MDE technique used;No MDE technique used;;No MDE technique used
Interface Management with Closed-Loop Systems Engineering (CLOSE);No MDE technique used;No MDE technique used;;No MDE technique used;No MDE technique used
Urban Intelligence: Toward the Digital Twin of Matera and Catania;No MDE technique used;;;No MDE technique used;No MDE technique used
Developing a Physical and Digital Twin: An Example Process Model;No MDE technique used;;;No MDE technique used;No MDE technique used
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;OK;;;OK;OK
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;OK;;;OK;OK
Digital Twins Driving Model Based on Petri Net in Industrial Pipeline;OK;;;No MDE technique used;
Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML;OK;;;OK;OK
