Title;Publication Title;Authors;Publication Year;Document Identifier;Publisher;Abstract
Air Quality Management: An Exemplar for Model-Driven Digital Twin Engineering;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"H. S. Govindasamy; R. Jayaraman; B. Taspinar; D. Lehner; M. Wimmer";2021.0;IEEE Conferences;IEEE;Since its first mentioning in the literature, the concept of Digital Twin has gained traction in both industry and academia. However, there are still many open challenges when applying Digital Twins to industry-scale use cases. Applying Model-Driven Engineering techniques to the creation and maintenance of Digital Twins (also referred to as Model-Driven Digital Twin Engineering) promises automation and consistency throughout the life cycle of a Digital Twin. The exemplar provided in this paper can be used to identify open challenges when it comes to Model-Driven Digital Twin Engineering, and to demonstrate how approaches can solve them. This exemplar applies Digital Twins to an indoor air quality management use case, where CO2, temperature, and humidity values of rooms within a building are measured. These values can be used to derive actions to improve work productivity and reduce the risk for virus infections. We describe three applications that make use of this Digital Twin (i.e., runtime visualization, physical simulation, and ML-based predictions), and provide an online repository with the artefacts of this exemplar.
The Research of Aero-engine Digital Twin Model Based on Model-driven and Data-driven Fusion Method;2021 IEEE 10th Data Driven Control and Learning Systems Conference (DDCLS);"K. Liu; P. Wang; Q. Li";2021.0;IEEE Conferences;IEEE;With the rapid development of multi-field physical modeling, sensor network, big data processing and analysis and other information technologies, digital twin technology is gradually applied in the field of complex equipment operation and maintenance. Aero-engine is a typical complex equipment. The accurate monitoring in operation and performance degradation assessment and prediction are the key problems in maintenance. According to the definition of digital, the paper puts forward the concept of aero-engine digital twin and constructs an aero-engine digital twin model based on precise physical models, historical data and sensors data. The aero-engine digital twin model can predict the physical properties and can be applied to accurate monitoring in operation and performance degradation assessment and prediction.
Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA );"N. Braunisch; M. Ristin-Kaufmann; R. Lehmann; H. W. van de Venn";2021.0;IEEE Conferences;IEEE;Industrie 4.0 maps the digital twin as the Asset Administration Shell. To develop this digital twin, the Asset Administration Shell meta-model is used. A developer needs high-quality libraries in their programming languages to build the Asset Administration Shell in efficient and ergonomic way. The existing representations of the meta-model are inconvenient for moving from the specification to realizations in software development. This leads to many, often manual, re-implementations of the Asset Administration Shell in each programming language. We present an approach to automatically generate libraries based on the intermediate representation of the meta-model. The approach allows for practical and simple development process of Industrie 4.0 components, and scales across programming environments and future changes in the meta-model.
Towards a Reference Architecture for Leveraging Model Repositories for Digital Twins;2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA);"D. Lehner; S. Wolny; A. Mazak-Huemer; M. Wimmer";2020.0;IEEE Conferences;IEEE;"In the area of Cyber-Physical Systems (CPS), the degree of complexity continuously increases mainly due to new key-enabling technologies supporting those systems. One way to deal with this increasing complexity is to create a digital representation of such systems, a so-called Digital Twin (DT), which virtually acts in parallel ideally across the entire life-cycle of a CPS. For this purpose, the DT uses simulated or real-time data to mimic operations, control, and may modify the CPS?s behaviour at runtime. However, building such DTs from scratch is not trivial, mainly due to the integration needed to deal with heterogeneous systems residing in different technological spaces. In order to tackle this challenge, Model-Driven Engineering (MDE) allows to logically model a CPS with its physical components. Usually, in MDE such ""logical models"" are created at design time which keep them detached from the deployed system during runtime. Instead of building bilateral solutions between each runtime environment and every engineering tool, a dedicated integration layer is needed which can deal with both, design and runtime aspects. Therefore, we present a reference architecture that allows on the one side to query data from model repositories to enrich the running system with design-time knowledge, and on the other side, to be able to reasoning about system states at runtime in design-time models. We introduce a model repository query and management engine as mediator and show its feasibility by a demonstration case."
Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"M. S. Bonney; M. de Angelis; D. Wagg; M. D. Borgo";2021.0;IEEE Conferences;IEEE;This paper demonstrates an example of an open-source, modular, and system independent framework that has been developed by a team of researchers working for the UK based DigiTwin project. The example in this paper is based on a framework for a digital twin operational platform (DTOP) that uses Flask Python, and is named DTOP-Cristallo. DTOPCristallo is an operational platform that uses HTML web pages as the interface between the digital twin simulations, both python based and 3rd party software based, and the user. This framework is particularly useful for connectivity with users, since it can deploy the digital twin with multiple accessibility options to accommodate a wide variety of intended uses.
An EV-Traction Inverter Data-Driven Modelling for Digital Twin Development;2023 23rd International Scientific Conference on Electric Power Engineering (EPE);"M. Ibrahim; H. A. Raja; A. Rassälkin; T. Vaimann; A. Kallaste";2023.0;IEEE Conferences;IEEE;Digital Twin (DT) technology has achieved a significant breakthrough in the development of numerous applications, including electric vehicles (EVs). This technique involves the creation of a virtual version of a real object, utilizing simulation and optimization tools with real data to optimize its functioning. The traction inverter is considered the brain of the EV drive system, as it controls the power flow between the battery and the electric motor. It converts the DC voltage from the battery into AC voltage and adjusts the frequency and amplitude to control the speed and torque of the motor. This research work presents the DT modelling procedures of an EV traction inverter. The basic principles of DT are discussed, and the model-driven DT modelling technique is compared to the data-driven. The motor-drive physical model (test bench) is provided. A data-driven model of the inverter was generated using a nonlinear regression-based artificial neural network ANN. Historical data from experimental tests were used as a modeling reference. The obtained results from the data-driven model achieved high prediction accuracy.
Inference of Simulation Models in Digital Twins by Reinforcement Learning;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"I. David; J. Galasso; E. Syriani";2021.0;IEEE Conferences;IEEE;"The typical optimization and control activities of Digital Twins are driven by high-performance simulators. Due to the significant complexity of systems subject to digital twinning, constructing simulators of appropriate details is a costly and error-prone endeavor. To alleviate these problems, we propose an approach for inferring simulation models of Digital Twins by machine learning. Instead of learning the simulation model of one specific simulator, we aim at learning their construction process. This generality enables reusing the inferred knowledge in different (but congruent) Digital Twin settings. To achieve this level of generality, we propose the Discrete Event System Specification (DEVS) formalism for capturing simulation models; and reinforcement learning (RL) for inferring DEVS models. In this paper, we explore the opportunities and challenges in combining these two techniques."
Data- and model-driven digital twins for design and logistics control of product distribution;2021 23rd International Conference on Control Systems and Computer Science (CSCS);"M. Stan; T. Borangiu; S. R?ileanu";2021.0;IEEE Conferences;IEEE;Digital control of product-on-pallet distribution is organized on two layers in logistics systems: the low-level local process automation and the supervision and coordination dual logistic execution system. The paper's scientific contribution consists in a holonic control system for multiple robot palletizing cells for product-on-pallet distribution. In this holonic control approach, data-driven digital twins (DT) are created to optimize palletizing schedules, controlled with situation awareness and resource health monitoring. A model-driven DT configuration with embedded simulation faster than real-time is combined with the data-driven DT in a meta-level control scheme offering predictive situation awareness. The paper also presents a pure model-driven DT mock-up of a robot palletizing cell - simulation with software in the loop - in which the actual holonic control system including digital twins and decision making is used in the simulation as it will be deployed in reality. This configuration is used to design the robot palletizing cells, to experiment in limit conditions, to fine tune and validate the robot control solution.
Using Ptolemy II as a Framework for Virtual Entity Integration and Orchestration in Digital Twins;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"D. A. M. Negrin; L. Cleophas; M. Van Den Brand";2021.0;IEEE Conferences;IEEE;The concept of Digital Twin (DT) is increasingly getting attention due to its support for digital transformation as part of Industry 4.0. A core component of a DT is the virtual entity (VE) that is meant to ?mirror? the physical entity (PE). A particular challenge for developing this VE is the integration between the different models that typically make up such a VE. These models, covering different disciplines or aspects of a system, commonly are developed by different engineers and expressed in different formalisms given their strengths and weaknesses. This makes integration between these models and formalisms a challenge. Such integration has two aspects: the communication among the models, and their orchestration, which concerns the order of model step execution and data exchange. In this paper, we consider the suitability of Ptolemy II, an open source framework based on an actor-oriented structure, to implement such integration. We use the Ptolemy II framework to reproduce the implementation of a DT of an autonomous scaled-down truck, which originally required a more manual configuration and execution and was developed in a monolithic way. The results show that Ptolemy II can be used to implement different communication technologies as actors, and show the expressiveness of the orchestrators by reproducing the existing DT?s behavior. This shows Ptolemy II in principle to be suitable as an integration and orchestration tool for models in the context of DTs. As future work, we plan to apply the framework to more complex DTs using different communication technologies, so as to validate its broader suitability for VE orchestration in DTs.
A software engineering point of view on digital twin architecture;2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA);"G. B‚chu; A. Beugnard; C. G. L. Cao; Q. Perez; C. Urtado; S. Vauttier";2022.0;IEEE Conferences;IEEE;Digital twins, along with Internet of Things and Artificial Intelligence, have been identified as one of the key technologies for Industry 4.0. However, the definition of Digital Twin (DT) is still abstract and context-dependent. In this paper, we present a metamodel that supports concrete and operational descriptions of digital twin deployment. This metamodel encompasses the different aspects of deployment, including the definition of hardware and software components that compose the layered cyber-physical architectures of the digital twin, along with the installation and instantiation tasks that compose deployment processes. Multiple configurations can also be defined to support the deployment of a digital twin in different execution contexts. The relevance of this metamodel was evaluated by two case studies. The first consists in deploying the digital twin of a cobot in a simulation environment. The second applies the approach in a home automation environment. In both cases, our metamodel provides complete and precise descriptions of the deployment process and thus constitutes a viable first step towards a model-driven approach for digital twin deployment.
