Publication Type;Authors;Author Full Names;Article Title;Source Title;Document Type;Conference Title;Conference Date;Conference Location;Keywords Plus;Abstract
C;"Bordeleau, F; Cleophas, L; Combemale, B; Eramo, R; van den Brand, M; Wimmer, M; Wortmann, A";"Bordeleau, Francis; Cleophas, Loek; Combemale, Benoit; Eramo, Romina; van den Brand, Mark; Wimmer, Manuel; Wortmann, Andreas";MoDDiT 2021: 1st International Workshop on Model-Driven Engineering for Digital Twins;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);Proceedings Paper;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;;Digital twins (DT) are emerging and gaining attention in several disciplines to support different phases of the system life-cycle such as design-space exploration, runtime adaptation, and predictive maintenance of cyber-physical systems (CPSs). The term DT refers to the capability to clone an actual system into a virtual counterpart, that reflects the important properties of the system for a specific purpose. While benefits of DT have been demonstrated in many domains, their development, operation, and evolution, trigger major challenges. Part of these may be addressed from a Model Driven Engineering (MDE) perspective. MoDDiT'21 aims at bringing together researchers and practitioners in the DTs area to shape the future of systematically designing, engineering, evolving, maintaining, and evaluating DTs.
C;"Dalibor, M; Michael, J; Rumpe, B; Varga, S; Wortmann, A";"Dalibor, Manuela; Michael, Judith; Rumpe, Bernhard; Varga, Simon; Wortmann, Andreas";Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;CONCEPTUAL MODELING, ER 2020;Proceedings Paper;39th International Conference on Conceptual Modeling (ER);NOV 03-06, 2020;Vienna, AUSTRIA;;Digital twins promise tremendous potential to reduce time and cost in the smart manufacturing of Industry 4.0. Engineering and monitoring interactive digital twins currently demands integrating different piecemeal technologies that effectively hinders their application and deployment. Current research on digital twins focuses on specific implementations or abstract models on how digital twins could be conceived. We propose model-driven software engineering to realize interactive digital twins and user-specific cockpits to interact with the digital twin by generating the infrastructure from common data structure models. To this end, we present a model-driven architecture for digital twins, its integration with an interactive cockpit, and a systematic method of realizing both. Through this, modeling, deploying, and monitoring interactive digital twins becomes more feasible and fosters their successful application in smart manufacturing.
S;"Michael, J; Wortmann, A";"Michael, Judith; Wortmann, Andreas";Towards Development Platforms for Digital Twins: A Model-Driven Low-Code Approach;ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: ARTIFICIAL INTELLIGENCE FOR SUSTAINABLE AND RESILIENT PRODUCTION SYSTEMS, APMS 2021, PT I;"Article; Proceedings Paper";International-Federation-of-Information-Processing-Working-Group-5.7 (IFIP WG 5.7) International Conference on Advances in Production Management Systems (APMS);SEP 05-09, 2021;ELECTR NETWORK;;Digital Twins in smart manufacturing must be highly adaptable for different challenges, environments, and system states. In practice, there is a need for enabling the configuration of Digital Twins by domain experts. Low-code approaches seem to be a meaningful solution for configuration purposes but often lack extension options. We propose a model-driven low-code approach for the configuration and reconfiguration of Digital Twins using language plugins. This approach uses model-driven software engineering and software language engineering methods to derive a configurable digital twin implementation. Moreover, we discuss some remaining challenges such as interoperability, language modularity, evolution, integration of assistive services, collaborative development, and web-based debugging.
C;"Brockhoff, T; Heithoff, M; Koren, I; Michael, J; Pfeiffer, J; Rumpe, B; Uysal, MS; Van der Aalst, WMP; Wortmann, A";"Brockhoff, Tobias; Heithoff, Malte; Koren, Istvan; Michael, Judith; Pfeiffer, Jerome; Rumpe, Bernhard; Uysal, Merih Seran; Van der Aalst, Wil M. P.; Wortmann, Andreas";Process Prediction with Digital Twins;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);Proceedings Paper;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;;Process discovery from event logs as well as process prediction using process models at runtime are increasingly important aspects to improve the operation of digital twins of complex systems. The integration of process mining functionalities with model-driven digital twin architectures raises the question which models are important for the model-driven engineering of digital twins at designtime and at runtime. Currently, research on process mining and model-driven digital twins is conducted in different research communities. Within this position paper, we motivate the need for the holistic combination of both research directions to facilitate harnessing the data and the models of the systems of the future at runtime. The presented position is based upon continuous discussions, workshops, and joint research between process mining experts and software engineering experts in the Internet of Production excellence cluster. We aim to motivate further joint research into the combination of process mining techniques with model-driven digital twins to efficiently combine data and models at runtime.
C;"Lehner, D; Sint, S; Vierhauser, M; Narzt, W; Wimmer, M";"Lehner, Daniel; Sint, Sabine; Vierhauser, Michael; Narzt, Wolfgang; Wimmer, Manuel";AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;2021 26TH IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA);Proceedings Paper;26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA);SEP 07-10, 2021;ELECTR NETWORK;;As technologies such as the Internet of Things (IoT) and Cyber-Physical Systems (CPS) are becoming ubiquitous, systems adopting these technologies are getting increasingly complex. Digital Twins (DTs) provide comprehensive views on such systems, the data they generate during runtime, as well as their usage and evolution over time. Setting up the required infrastructure to run a Digital Twin is still an ambitious task that involves significant upfront efforts from domain experts, although existing knowledge about the systems, such as engineering models, may be already available for reuse. To address this issue, we present AML4DT, a model-driven framework supporting the development and maintenance of Digital Twin infrastructures by employing AutomationML (AML) models. We automatically establish a connection between systems and their DTs based on dedicated DT models. These DT models are automatically derived from existing AutomationML models, which are produced in the engineering phases of a system. Additionally, to alleviate the maintenance of the DTs, AML4DT facilitates the synchronization of the AutomationML models with the DT infrastructure for several evolution cases. A case study shows the benefits of developing and maintaining DTs based on AutomationML models using the proposed AML4DT framework. For this particular study, the effort of performing the required tasks could be reduced by about 50%.
C;"Cheng, Y; Huang, XL; Xu, YH";"Cheng, Yan; Huang, Xue-liang; Xu, Yuan-heng";Implementation of Model-driven Complex System Engineering Development System;2018 INTERNATIONAL CONFERENCE ON ELECTRICAL, CONTROL, AUTOMATION AND ROBOTICS (ECAR 2018);Proceedings Paper;International Conference on Electrical, Control, Automation and Robotics (ECAR);SEP 16-17, 2018;Xiamen, PEOPLES R CHINA;;This paper summarizes the related technologies of model-driven complex system engineering development system and establishes a framework for the development system. Then, expounds the implementation process of the development system in detail and emphasizes the key path points of how to achieve the model-driven system research and development capability. Finally, the author puts forward two suggestions for the application and promotion of the development system.
C;"Govindasamy, HS; Jayaraman, R; Taspinar, B; Lehner, D; Wimmer, M";"Govindasamy, Hari Shankar; Jayaraman, Ramya; Taspinar, Burcu; Lehner, Daniel; Wimmer, Manuel";Air Quality Management: An Exemplar for Model-Driven Digital Twin Engineering;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);Proceedings Paper;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;;Since its first mentioning in the literature, the concept of Digital Twin has gained traction in both industry and academia. However, there are still many open challenges when applying Digital Twins to industry-scale use cases. Applying Model-Driven Engineering techniques to the creation and maintenance of Digital Twins (also referred to as Model-Driven Digital Twin Engineering) promises automation and consistency throughout the life cycle of a Digital Twin. The exemplar provided in this paper can be used to identify open challenges when it comes to Model-Driven Digital Twin Engineering, and to demonstrate how approaches can solve them. This exemplar applies Digital Twins to an indoor air quality management use case, where CO2, temperature, and humidity values of rooms within a building are measured. These values can be used to derive actions to improve work productivity and reduce the risk for virus infections. We describe three applications that make use of this Digital Twin (i.e., runtime visualization, physical simulation, and ML-based predictions), and provide an online repository with the artefacts of this exemplar.
C;"Di Maio, M; Kapos, GD; Klusmann, N; Atorf, L; Dahmen, U; Schluse, M; Rossmann, J";"Di Maio, Marco; Kapos, George-Dimitrios; Klusmann, Niklas; Atorf, Linus; Dahmen, Ulrich; Schluse, Michael; Rossmann, Juergen";Closed-Loop Systems Engineering (CLOSE): Integrating Experimentable Digital Twins with the Model-Driven Engineering Process;2018 4TH IEEE INTERNATIONAL SYMPOSIUM ON SYSTEMS ENGINEERING (ISSE);Proceedings Paper;4th IEEE International Symposium on Systems Engineering (ISSE);OCT 01-03, 2018;Rome, ITALY;;A particular problem in the practical application of Model-Based Systems Engineering (MBSE) for the development of complex products is the effective integration of other engineering models. The Model-Driven Engineering Process (MDEP) addresses this by providing clearly defined insert points for domain models and simulation engines. In Closed-Loop Systems Engineering (CLOSE) Experimentable Digital Twins (EDTs) are integrated in the MDEP to realistically simulate how system functions would be executed by physical parts of the developed product. CLOSE thus can reduce the cycle times for analysis, design, development, optimisation, and some of the verification. This paper introduces the basic concept of CLOSE and illustrates its application with a case study.
C;"Shokooh, S; Nordvik, G";"Shokooh, Shervin; Nordvik, Geir";A MODEL-DRIVEN APPROACH FOR SITUATIONAL INTELLIGENCE & OPERATIONAL AWARENESS;2019 PETROLEUM AND CHEMICAL INDUSTRY CONFERENCE EUROPE (PCIC EUROPE);Proceedings Paper;16th PCIC Europe Annual Electrical and Automation Knowledge Sharing Event;MAY 07-09, 2019;Paris, FRANCE;;In order to design, operate, and maintain an oil and gas facility, one must first understand its behavior. A model-driven engineering and operation solution is required to analyze and identify problems early on and then improve design to ensure further problems are less likely. Predictive models are already shaping our experiences. They recommend products and services based on our habits. Predictive models of electrical power networks serve as a digital twin of the system including network topology, engineering parameters, and other pertinent information with real-time data acquired for depicting the actual operation of the system. A clear and thorough understanding of the operational system increases uptime and reduces the number of unnecessary shutdowns. Predictive simulation models help engineers and operators increase their understanding of systems in a cost-effective and repeatable environment by offering Situational Intelligence & Automation. This paper will include the benefits of adding such a system, the challenges that must be overcome and the lessons that have been learned from the implementation of several of these systems. It will also serve as a handbook on justification for a model-driven power management and automation of oil and gas facilities.
J;"Parri, J; Patara, F; Sampietro, S; Vicario, E";"Parri, Jacopo; Patara, Fulvio; Sampietro, Samuele; Vicario, Enrico";A framework for Model-Driven Engineering of resilient software-controlled systems;COMPUTING;Article;;;;;Emergent paradigms of Industry 4.0 and Industrial Internet of Things expect cyber-physical systems to reliably provide services overcoming disruptions in operative conditions and adapting to changes in architectural and functional requirements. In this paper, we describe a hardware/software framework supporting operation and maintenance of software-controlled systems enhancing resilience by promoting a Model-Driven Engineering (MDE) process to automatically derive structural configurations and failure models from reliability artifacts. Specifically, areflectivearchitecture developed arounddigital twinsenables representation and control of systemConfiguration Itemsproperly derived from SysML Block Definition Diagrams, providing support for variation. Besides, a plurality of distributed analytic agents for qualitative evaluation over executable failure models empowers the system with runtime self-assessment and dynamic adaptation capabilities. We describe the framework architecture outlining roles and responsibilities in a System of Systems perspective, providing salient design traits about digital twins and data analytic agents for failure propagation modeling and analysis. We discuss a prototype implementation following the MDE approach, highlighting self-recovery and self-adaptation properties on a real cyber-physical system for vehicle access control to Limited Traffic Zones.
