Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Affiliations;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Name Preferred;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;DOI Link;Book DOI;Early Access Date;Number of Pages;WoS Categories;Web of Science Index;Research Areas;IDS Number;Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;UT (Unique WOS ID);Web of Science Record
C;"Govindasamy, HS; Jayaraman, R; Taspinar, B; Lehner, D; Wimmer, M";;;IEEE COMP SOC;"Govindasamy, Hari Shankar; Jayaraman, Ramya; Taspinar, Burcu; Lehner, Daniel; Wimmer, Manuel";;;Air Quality Management: An Exemplar for Model-Driven Digital Twin Engineering;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);;;;;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;IEEE,Assoc Comp Machinery,ACM SIGSOFT,IEEE Comp Soc,IEEE Tech Council Software Engn;;;;;;;;;;;;;;;;;;;;;;;;;978-1-6654-2484-4;;;;2021;;;;;;;231;234;;10.1109/MODELS-C53483.2021.00040;http://dx.doi.org/10.1109/MODELS-C53483.2021.00040;;;;;;;;;;;;;WOS:000749362300034;View Full Record in Web of Science
C;"Dalibor, M; Michael, J; Rumpe, B; Varga, S; Wortmann, A";;"Dobbie, G; Frank, U; Kappel, G; Liddle, SW; Mayr, HC";;"Dalibor, Manuela; Michael, Judith; Rumpe, Bernhard; Varga, Simon; Wortmann, Andreas";;;Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;CONCEPTUAL MODELING, ER 2020;Lecture Notes in Computer Science;;;;39th International Conference on Conceptual Modeling (ER);NOV 03-06, 2020;Vienna, AUSTRIA;;;;;;;;;;"Michael, Judith/S-2844-2016; Rumpe, Bernhard/S-8216-2016";"Michael, Judith/0000-0002-4999-2544; Dalibor, Manuela/0000-0002-1948-0556; Varga, Simon/0000-0002-8351-4394; Rumpe, Bernhard/0000-0002-2147-1966";;;;;;;;;;;;;0302-9743;1611-3349;"978-3-030-62522-1; 978-3-030-62521-4";;;;2020;12400;;;;;;377;387;;10.1007/978-3-030-62522-1_28;http://dx.doi.org/10.1007/978-3-030-62522-1_28;;;;;;;;;;;;;WOS:000587241100028;View Full Record in Web of Science
S;"Michael, J; Wortmann, A";;"Dolgui, A; Bernard, A; Lemoine, D; VonCieminski, G; Romero, D";;"Michael, Judith; Wortmann, Andreas";;;Towards Development Platforms for Digital Twins: A Model-Driven Low-Code Approach;ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: ARTIFICIAL INTELLIGENCE FOR SUSTAINABLE AND RESILIENT PRODUCTION SYSTEMS, APMS 2021, PT I;IFIP Advances in Information and Communication Technology;;;;International-Federation-of-Information-Processing-Working-Group-5.7 (IFIP WG 5.7) International Conference on Advances in Production Management Systems (APMS);SEP 05-09, 2021;ELECTR NETWORK;Int Fed Informat Proc Working Grp 5 7 Advances Prod Management Syst,IMT Atlantique,Univ Nantes, Centrale Nantes,Rennes Business Sch,Audecia Business Sch;;;;;;;;;"Michael, Judith/AAE-2646-2022; Michael, Judith/S-2844-2016; Rumpe, Bernhard/S-8216-2016";"Michael, Judith/0000-0002-4999-2544; Michael, Judith/0000-0002-4999-2544; Rumpe, Bernhard/0000-0002-2147-1966";;;;;;;;;;;;;1868-4238;1868-422X;"978-3-030-85874-2; 978-3-030-85873-5";;;;2021;630;;;;;;333;341;;10.1007/978-3-030-85874-2_35;http://dx.doi.org/10.1007/978-3-030-85874-2_35;;;;;;;;;;;;;WOS:000717630100035;View Full Record in Web of Science
C;"Bordeleau, F; Cleophas, L; Combemale, B; Eramo, R; van den Brand, M; Wimmer, M; Wortmann, A";;;IEEE COMP SOC;"Bordeleau, Francis; Cleophas, Loek; Combemale, Benoit; Eramo, Romina; van den Brand, Mark; Wimmer, Manuel; Wortmann, Andreas";;;MoDDiT 2021: 1st International Workshop on Model-Driven Engineering for Digital Twins;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);;;;;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;IEEE,Assoc Comp Machinery,ACM SIGSOFT,IEEE Comp Soc,IEEE Tech Council Software Engn;;;;;;;;;;van den Brand, Mark/0000-0003-3529-6182;;;;;;;;;;;;;;;978-1-6654-2484-4;;;;2021;;;;;;;212;213;;10.1109/MODELS-C53483.2021.00036;http://dx.doi.org/10.1109/MODELS-C53483.2021.00036;;;;;;;;;;;;;WOS:000749362300030;View Full Record in Web of Science
C;"Cheng, Y; Huang, XL; Xu, YH";;;DESTECH PUBLICAT INC;"Cheng, Yan; Huang, Xue-liang; Xu, Yuan-heng";;;Implementation of Model-driven Complex System Engineering Development System;2018 INTERNATIONAL CONFERENCE ON ELECTRICAL, CONTROL, AUTOMATION AND ROBOTICS (ECAR 2018);DEStech Transactions on Engineering and Technology Research;;;;International Conference on Electrical, Control, Automation and Robotics (ECAR);SEP 16-17, 2018;Xiamen, PEOPLES R CHINA;;;;;;;;;;;;;;;;;;;;;;;;2475-885X;;978-1-6059-5579-7;;;;2018;307;;;;;;77;83;;;;;;;;;;;;;;;;WOS:000453087200014;View Full Record in Web of Science
C;"Brockhoff, T; Heithoff, M; Koren, I; Michael, J; Pfeiffer, J; Rumpe, B; Uysal, MS; Van der Aalst, WMP; Wortmann, A";;;IEEE COMP SOC;"Brockhoff, Tobias; Heithoff, Malte; Koren, Istvan; Michael, Judith; Pfeiffer, Jerome; Rumpe, Bernhard; Uysal, Merih Seran; Van der Aalst, Wil M. P.; Wortmann, Andreas";;;Process Prediction with Digital Twins;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);;;;;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;IEEE,Assoc Comp Machinery,ACM SIGSOFT,IEEE Comp Soc,IEEE Tech Council Software Engn;;;;;;;;;"Michael, Judith/S-2844-2016; van der Aalst, Wil/G-1248-2011; Michael, Judith/AAE-2646-2022";"Michael, Judith/0000-0002-4999-2544; van der Aalst, Wil/0000-0002-0955-6940; Michael, Judith/0000-0002-4999-2544";;;;;;;;;;;;;;;978-1-6654-2484-4;;;;2021;;;;;;;184;189;;10.1109/MODELS-C53483.2021.00032;http://dx.doi.org/10.1109/MODELS-C53483.2021.00032;;;;;;;;;;;;;WOS:000749362300026;View Full Record in Web of Science
C;"Di Maio, M; Kapos, GD; Klusmann, N; Atorf, L; Dahmen, U; Schluse, M; Rossmann, J";;;IEEE;"Di Maio, Marco; Kapos, George-Dimitrios; Klusmann, Niklas; Atorf, Linus; Dahmen, Ulrich; Schluse, Michael; Rossmann, Juergen";;;Closed-Loop Systems Engineering (CLOSE): Integrating Experimentable Digital Twins with the Model-Driven Engineering Process;2018 4TH IEEE INTERNATIONAL SYMPOSIUM ON SYSTEMS ENGINEERING (ISSE);;;;;4th IEEE International Symposium on Systems Engineering (ISSE);OCT 01-03, 2018;Rome, ITALY;IEEE,IEEE Syst Council;;;;;;;;;;;;;;;;;;;;;;;;;978-1-5386-4446-1;;;;2018;;;;;;;;;;;;;;;;;;;;;;;;WOS:000469921000011;View Full Record in Web of Science
J;"Li, X; He, B; Zhou, YM; Li, G";;;;"Li, Xin; He, Bin; Zhou, Yanmin; Li, Gang";;;Multisource Model-Driven Digital Twin System of Robotic Assembly;IEEE SYSTEMS JOURNAL;;;;;;;;;;;;;;;;;bin, he/AAV-6319-2021;"Li, Gang/0000-0003-3141-4428; li, xin/0000-0001-6003-7719";;;;;;;;;;;;;1932-8184;1937-9234;;;;MAR;2021;15;1;;;;;114;123;;10.1109/JSYST.2019.2958874;http://dx.doi.org/10.1109/JSYST.2019.2958874;;;;;;;;;;;;;WOS:000628985900013;View Full Record in Web of Science
C;"Shokooh, S; Nordvik, G";;;IEEE;"Shokooh, Shervin; Nordvik, Geir";;;A MODEL-DRIVEN APPROACH FOR SITUATIONAL INTELLIGENCE & OPERATIONAL AWARENESS;2019 PETROLEUM AND CHEMICAL INDUSTRY CONFERENCE EUROPE (PCIC EUROPE);Petroleum and Chemical Industry Conference Europe;;;;16th PCIC Europe Annual Electrical and Automation Knowledge Sharing Event;MAY 07-09, 2019;Paris, FRANCE;;;;;;;;;;;;;;;;;;;;;;;;2166-949X;;978-3-9524799-5-7;;;;2019;;;;;;;118;125;;10.23919/pciceurope46863.2019.9011632;http://dx.doi.org/10.23919/pciceurope46863.2019.9011632;;;;;;;;;;;;;WOS:000552759400011;View Full Record in Web of Science
C;"Lehner, D; Sint, S; Vierhauser, M; Narzt, W; Wimmer, M";;;IEEE;"Lehner, Daniel; Sint, Sabine; Vierhauser, Michael; Narzt, Wolfgang; Wimmer, Manuel";;;AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;2021 26TH IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA);IEEE International Conference on Emerging Technologies and Factory Automation-ETFA;;;;26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA);SEP 07-10, 2021;ELECTR NETWORK;Inst Elect & Elect Engineers,Malardalen Univ,IEEE Ind Elect Soc;;;;;;;;;Vierhauser, Michael/GNH-4778-2022;Sint, Sabine/0000-0001-8076-8228;;;;;;;;;;;;;1946-0740;1946-0759;978-1-7281-2989-1;;;;2021;;;;;;;;;;10.1109/ETFA45728.2021.9613376;http://dx.doi.org/10.1109/ETFA45728.2021.9613376;;;;;;;;;;;;;WOS:000766992600095;View Full Record in Web of Science
J;"Laukotka, FN; Krause, D";;;;"Laukotka, Fabian Niklas; Krause, Dieter";;;Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling;SYSTEMS;;;;;;;;;;;;;;;;;;Krause, Dieter/0000-0002-1253-1699;;;;;;;;;;;;;;2079-8954;;;;MAR;2023;11;3;;;;;;;142;10.3390/systems11030142;http://dx.doi.org/10.3390/systems11030142;;;;;;;;;;;;;WOS:000959876400001;View Full Record in Web of Science
J;"Parri, J; Patara, F; Sampietro, S; Vicario, E";;;;"Parri, Jacopo; Patara, Fulvio; Sampietro, Samuele; Vicario, Enrico";;;A framework for Model-Driven Engineering of resilient software-controlled systems;COMPUTING;;;;;;;;;;;;;;;;;vicario, enrico/ABG-4344-2020;"vicario, enrico/0000-0002-4983-4386; SAMPIETRO, SAMUELE/0000-0001-6684-1150; PARRI, JACOPO/0000-0001-5109-4375";;;;;;;;;;;;;0010-485X;1436-5057;;;;APR;2021;103;4;;;SI;;589;612;;10.1007/s00607-020-00841-6;http://dx.doi.org/10.1007/s00607-020-00841-6;;SEP 2020;;;;;;;;;;;WOS:000565499700001;View Full Record in Web of Science
C;"Bibow, P; Dalibor, M; Hopmann, C; Mainz, B; Rumpe, B; Schmalzing, D; Schmitz, M; Wortmann, A";;"Dustdar, S; Yu, E; Salinesi, C; Rieu, D; Pant, V";;"Bibow, Pascal; Dalibor, Manuela; Hopmann, Christian; Mainz, Ben; Rumpe, Bernhard; Schmalzing, David; Schmitz, Mauritius; Wortmann, Andreas";;;Model-Driven Development of a Digital Twin for Injection Molding;ADVANCED INFORMATION SYSTEMS ENGINEERING, CAISE 2020;Lecture Notes in Computer Science;;;;32nd International Conference on Advanced Information Systems Engineering (CAiSE);JUN 08-12, 2020;ELECTR NETWORK;;;;;;;;;;"; Rumpe, Bernhard/S-8216-2016";"Hopmann, Christian/0000-0003-4343-1508; Bibow, Pascal/0000-0002-9910-8702; Schmitz, Mauritius/0000-0002-1595-4881; Rumpe, Bernhard/0000-0002-2147-1966; Schmalzing, David/0000-0003-2041-1475; Dalibor, Manuela/0000-0002-1948-0556";;;;;;;;;;;;;0302-9743;1611-3349;"978-3-030-49435-3; 978-3-030-49434-6";;;;2020;12127;;;;;;85;100;;10.1007/978-3-030-49435-3_6;http://dx.doi.org/10.1007/978-3-030-49435-3_6;;;;;;;;;;;;;WOS:000716944400006;View Full Record in Web of Science
