Title;Publication Title;Authors;Publication Year;Document Identifier;Publisher;Abstract
Implementation of Model-driven Complex System Engineering Development System;2018 INTERNATIONAL CONFERENCE ON ELECTRICAL, CONTROL, AUTOMATION AND ROBOTICS (ECAR 2018);"Cheng, Y; Huang, XL; Xu, YH";;C;;This paper summarizes the related technologies of model-driven complex system engineering development system and establishes a framework for the development system. Then, expounds the implementation process of the development system in detail and emphasizes the key path points of how to achieve the model-driven system research and development capability. Finally, the author puts forward two suggestions for the application and promotion of the development system.
A MODEL-DRIVEN APPROACH FOR SITUATIONAL INTELLIGENCE & OPERATIONAL AWARENESS;2019 PETROLEUM AND CHEMICAL INDUSTRY CONFERENCE EUROPE (PCIC EUROPE);"Shokooh, S; Nordvik, G";;C;;In order to design, operate, and maintain an oil and gas facility, one must first understand its behavior. A model-driven engineering and operation solution is required to analyze and identify problems early on and then improve design to ensure further problems are less likely. Predictive models are already shaping our experiences. They recommend products and services based on our habits. Predictive models of electrical power networks serve as a digital twin of the system including network topology, engineering parameters, and other pertinent information with real-time data acquired for depicting the actual operation of the system. A clear and thorough understanding of the operational system increases uptime and reduces the number of unnecessary shutdowns. Predictive simulation models help engineers and operators increase their understanding of systems in a cost-effective and repeatable environment by offering Situational Intelligence & Automation. This paper will include the benefits of adding such a system, the challenges that must be overcome and the lessons that have been learned from the implementation of several of these systems. It will also serve as a handbook on justification for a model-driven power management and automation of oil and gas facilities.
Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling;SYSTEMS;"Laukotka, FN; Krause, D";;J;;Aviation is characterized by many stakeholders, long lifespans of its assets, and high requirements regarding safety, security, and documentation. To meet these requirements as well as customer needs, aircraft are regularly retrofitted with new cabins. During the planning and execution of this cabin retrofit, handling the needed and available data poses a challenge to the engineers. While much of the required data is available in some form, generally there is a lack of a digitally usable dataset of the specific aircraft-a virtual representation of the physical asset is missing. To support the implementation of such a digital twin and, thus, the overall process of retrofitting aircraft, an approach to model-driven data handling tailored to the unique circumstances and requirements of aviation is introduced. The methodology consists of a combination of systems engineering and data science techniques framed by an overarching procedure that iteratively creates and enhances a digitally accessible dataset of the relevant data, hence supporting the retrofit engineers by easing access to needed information. Besides the presentation of the research background and the methodology, a simplified example is shown, demonstrating the approach using abstracted but realistic information provided by partners from the industry.
GRuM-A flexible model-driven runtime monitoring framework and its application to automated aerial and ground vehicles;JOURNAL OF SYSTEMS AND SOFTWARE;"Vierhauser, M; Garmendia, A; Stadler, M; Wimmer, M; Cleland-Huang, J";;J;;Runtime monitoring is critical for ensuring safe operation and for enabling self-adaptive behavior of Cyber-Physical Systems (CPS). Monitors are established by identifying runtime properties of interest, creating probes to instrument the system, and defining constraints to be checked at runtime. For many systems, implementing and setting up a monitoring platform can be tedious and time-consuming, as generic monitoring platforms do not adequately cover domain-specific monitoring requirements. This situation is exacerbated when the System under Monitoring (SuM) evolves, requiring changes in the monitoring platform. Most existing approaches lack support for the automated generation and setup of monitors for diverse technologies and do not provide adequate support for dealing with system evolution. In this paper, we present GRuM (Generating CPS Runtime Monitors), a framework that combines model-driven techniques and runtime monitoring, to automatically generate a customized monitoring platform for a given SuM. Relevant properties are captured in a Domain Model Fragment, and changes to the SuM can be easily accommodated by automatically regenerating the platform code. To demonstrate the feasibility and performance we evaluated GRuM against two different systems using TurtleBot robots and Unmanned Aerial Vehicles. Results show that GRuM facilitates the creation and evolution of a runtime monitoring platform with little effort and that the platform can handle a substantial amount of events and data.(c) 2023 The Author(s). Published by Elsevier Inc. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).
On the Notion of Digital Twins: A Modeling Perspective;SYSTEMS;Tekinerdogan, B;;J;;A digital twin is a digital replica of a physical entity that can be remotely controlled, which allows for sophisticated control for a variety of reasons. Digital twins are made possible using various technologies such as Internet of Things, sensor technology, artificial intelligence, data science, and machine learning. With this, it represents a new stage in smart systems engineering. Developing digital twin-based systems necessitates a holistic system engineering approach in which modeling is critical. Various studies have been published on the notion of digital twins and its applications in various domains, but a modeling perspective has not been explicitly considered. Hence, this article provides a novel insight on the notion of digital twins from a modeling perspective, describing the evolution of modeling in engineering and likewise providing a rational basis for digital twins as a next logical step in modeling. A metamodel is provided that integrates the key concepts of systems engineering, digital twins, and modeling. While elaborating on the existing evolution of modeling in engineering, it is stated that the next step of digital twins will be artificial twins.
A Comparative Study on Digital Twin Models;ADVANCES IN MATERIALS, MACHINERY, ELECTRONICS III;"Liu, Q; Liu, B; Wang, G; Zhang, C";;C;;As the main concept, the Digital Twin (DT) shows its potential not only in industry 4.0 but also in other areas. One of the keys that decide the future of DT been known as its model technology. Through models can integrate features, behaviors, and properties of DT artifacts with efficiency, reusability, and interoperability, in order to build a complete mapping between the physical world and digital world, after that realize the ideal DT. This paper aims at comparing and analyzing the DT models in the scientific literature, retracing them from the initial one to the models in most recent researches. Thus, this study also emphasizes several principles of the DT model technology that is related to future work.
EMF-Syncer: scalable maintenance of view models over heterogeneous data-centric software systems at run time;SOFTWARE AND SYSTEMS MODELING;Boronat, A;;J;;With the increasing presence of cyber-physical systems (CPSs), like autonomous vehicle systems and digital twins, the future of software engineering is predicated on the importance of designing and developing data-centric software systems that can adapt intelligently at run time. CPSs consist of complex heterogeneous software components. Model-driven engineering advocates using software models to tame such complexity, capturing the relevant design concerns of such systems at different levels of abstraction. Yet most of the existing CPSs are engineered without considering MDE practices and tools, facing fundamental challenges when working with data: monitoring the program data at run time, syncing updates between program and model, dealing with heterogeneous data sources, and representing such observed data at run time to facilitate automated analysis. In this work, we introduce the notion of view models to explicitly represent parts of the domain knowledge implicitly embedded in the source code of a software system. This notion is equipped with a scalable bidirectional syncing mechanism that extracts view model instances from program snapshots at run time. The syncing mechanism is proposed from a conceptual point of view, independently of specific implementations and supports incremental view model update and view model maintenance. We show how this syncing mechanism is flexible enough to facilitate the non-intrusive adoption of MDE technology over existing MDE-agnostic heterogeneous data-centric systems. We study the run-time cost implied by the EMF-Syncer , the tool implementing this syncing mechanism for Java applications and view models atop the eclipse modeling framework (EMF) when executing data analytic and transformation tasks over large volumes of data in the presence of data updates at run time. An empirical evaluation of the EMF-Syncer has been conducted with an industry-targeted benchmark for decision support systems, analyzing performance and scalability. The novel syncing mechanism enables new opportunities to adopt MDE technology in heterogeneous data-centric systems.
Digital modeling-driven chatter suppression for thin-walled part manufacturing;JOURNAL OF INTELLIGENT MANUFACTURING;"Zhou, G; Zhou, K; Zhang, J; Yuan, M; Wang, XH; Feng, PF; Zhang, M; Feng, F";;J;;Thin-walled parts are widely used in various industries such as aerospace and automotive, but the manufacturing processes are often harmed by chatter which is a self-excited vibration because of the poor rigidity in the direction perpendicular to the wall surface. The traditional stability lobe diagram (SLD) method can predict chatter based on the manufacturing system and workpiece parameters. However, these parameters could vary along with the manufacturing execution, compromising SLD's accuracy and even feasibility. To enable effective chatter suppression in thin-walled part milling, this study proposes a digital twin model, where two sub-models including the cutting parameters optimization and chatter detection are established. In the sub-model of cutting parameters optimization, a real-time SLD considering the time-varying modal parameters at the cutting region of the workpiece is generated as the optimization criteria. The sub-model of chatter detection can recognize chatter by a fusional analysis of the multiple sensors' signals, including vibration, force, and sound. Considering the bias of real-time SLD, these two sub-models are combined to output optimized cutting parameters to avoid chatter. Besides, a monitoring window to visualize the milling scenario and a database to record the manufacturing data are implemented in the digital twin model. According to the milling experiments, the digital twin model is validated to perform more effectively in chatter suppression than the traditional stationary SLD method.
Potential and limitations of digital twins to achieve the Sustainable Development Goals;NATURE SUSTAINABILITY;"Tzachor, A; Sabri, S; Richards, CE; Rajabifard, A; Acuto, M";;J;;Could computer simulation models drive our ambitions to sustainability in urban and non-urban environments? Digital twins, defined here as real-time, virtual replicas of physical and biological entities, may do just that. However, despite their touted potential, digital twins have not been examined critically in urban sustainability paradigms-not least in the Sustainable Development Goals framework. Accordingly, in this Perspective, we examine their benefits in promoting the Sustainable Development Goals. Then, we discuss critical limitations when modelling socio-technical and socio-ecological systems and go on to discuss measures to treat these limitations and design inclusive, reliable and responsible computer simulations for achieving sustainable development. Little is known about the potential of digital twins in the pursuit of sustainability. This study examines the likely benefits of digital twins in urban sustainability paradigms, their limitations when modelling socio-technical and socio-ecological systems and possible ways to attenuate them.
Interactive Smart Space for Single-Person Households Using Electroencephalogram through Fusion of Digital Twin and Artificial Intelligence;ENERGIES;Ji, SY;;J;;The core technology for building a smart space includes the capability to analyse the space for users using various sensors. The purpose of this study was to propose a personalised interactive smart space implementation model driven by the fusion of digital twin (DT) and artificial intelligence (AI) based on electroencephalogram (EEG) data. This study utilised a handheld EEG sensor to identify a user's emotion information and focused on the connection with the space. A smart space for single-person households that responds to EEG-based biometric information was designed for an interactive space that can improve the current emotional state of the space user. The technical characteristics of DT and AI were analysed to control spatial changes according to the user's emotional state and to address safety-related issues. Furthermore, a fusion mechanism for DT and AI was developed for intelligent motor control to change the dimensions of the space in order to improve the EEG state of the user. In addition, using an AI model that converts EEG data into emotional state information, the user's emotional state was analysed, and key issues related to the spatial dimensions and change of space that induce psychological stability were investigated.
Urban Intelligence: toward the Digital Twin of Matera and Catania;2022 WORKSHOP ON BLOCKCHAIN FOR RENEWABLES INTEGRATION (BLORIN);"Castelli, G; Cesta, A; Ciampi, M; De Benedictis, R; De Pietro, G; Diez, M; Felici, G; Malvezzi, R; Masini, B; Pellegrini, R; Scalas, A; Stecca, G; Strambini, L; Tognola, G; Ravazzani, P; Campana, EF";;C;;The Urban Intelligence (UI) paradigm conceived by CNR consists of an ecosystem of digital technologies joined within a Digital Twin (DT) of the city aimed at improving the city governance towards goals addressed also by the UN Agenda 2030, such as urban environment, sustainability and resilience, wellbeing and quality of life, local development, and social inclusion. In particular, UI provides a set of candidate policies in complex scenarios, and supports policy makers and stakeholders in designing shared, evidence-based, and integrated solutions. UI is being applied for the first time to two Italian cities, Matera and Catania, paving the way for a deeper scientific framing of the paradigm, as well as for the technological development and testing of the core UI ecosystem in real-life situations. The paper introduces the UI key-concepts and components, illustrates the ongoing experimentations in these pilot cities related to the development of two DTs on parts of the urban areas, and presents some initial results.
A data- and model-driven approach for cancer treatment;ONKOLOGE;"Schade, S; Ogilvie, LA; Kessler, T; Schutte, M; Wierling, C; Lange, BM; Lehrach, H; Yaspo, ML";;J;;"All people are unique and so are their diseases. Our genomes, disease histories, behavior, and lifestyles are all different; therefore it is not too surprising that people often respond differently when administered the same drugs. Cancer, in particular, is a complex and heterogeneous disease, originating in patients with different genomes, in cells with the different epigenomes, formed and evolving on the basis of random processes, with the response to therapy not only depending on the individual cancer cell but also on many features of the patient. Selection of an optimal therapy will therefore require a deep molecular analysis comprising both the patient and their tumor (e.g., comprehensive molecular tumor analysis [CMTA]), and much better personalized prediction of response to possible therapies. Currently, we are at an inflection point in which advances in technology, decreases in the costs of sequencing and other molecular analyses, and increases in computing advances are converging, forming the foundation to build a data-driven approach to personalized oncology. In this article we discuss the deep molecular characterization of individual tumors and patients as the basis of not only current precision oncology but also of computational models ('digital twins'), the foundation for a truly personalized therapy selection of the future."
Digital Twin Driven Green Performance Evaluation Methodology of Intelligent Manufacturing: Hybrid Model Based on Fuzzy Rough-Sets AHP, Multistage Weight Synthesis, and PROMETHEE II;COMPLEXITY;"Li, LH; Mao, CL; Sun, HX; Yuan, YP; Lei, BB";;J;;The design, planning, and implementation of intelligent manufacturing are mainly carried out from the perspectives of meeting the needs of mass customization, improving manufacturing capacity, and innovating business pattern currently. Environmental and social factors should be systematically integrated into the life cycle of intelligent manufacturing. In view of this, a green performance evaluation methodology of intelligent manufacturing driven by digital twin is proposed in this paper. Digital twin framework, which constructs the bidirectional mapping and real-time data interaction between physical entity and digital model, provides the green performance evaluation with a total factor virtual image of the whole life cycle to meet the monitoring and simulation requirements of the evaluation information source and demand. Driven by the digital twin framework, a novel hybrid MCDM model based on fuzzy rough-sets AHP, multistage weight synthesis, and PROMETHEE II is proposed as the methodology for the green performance evaluation of intelligent manufacturing. The model is tested and validated on a study of the green performance evaluation of remote operation and maintenance service project evaluation for an air conditioning enterprise. Testing demonstrates that the proposed hybrid model driven by digital twin can enable a stable and reasonable evaluation result. A sensitivity analysis was carried out by means of 27 scenarios, the results of which showed a high degree of stability.
A data- and model-driven approach for cancer treatment. German version;ONKOLOGE;"Schade, S; Ogilvie, LA; Kessler, T; Schutte, M; Wierling, C; Lange, BM; Lehrach, H; Yaspo, ML";;J;;We are unique and so are our diseases. Our genomes, disease histories, behavior, and lifestyles are all different. It is not too surprising, therefore, that we often respond differently to the drugs we receive. Cancer, in particular, is a complex and heterogeneous disease, originating in patients with different genomes, in cells with different epigenomes, formed and evolving on the basis of random processes, with the response to therapy not only depending on the individual cancer cell but also on many features of the patient. Selection of an optimal therapy will therefore require a deep molecular analysis comprising both the patient and their tumor (e.g., comprehensive molecular tumor analysis [CMTA]), and much better personalized prediction of response to possible therapies. Currently, we are at an inflection point in which advances in technology, decreases in the costs of sequencing and other molecular analyses, and increases in computing power are converging, forming the foundation to build a data-driven approach to personalized oncology. Here, we discuss the deep molecular characterization of individual tumors and patients as the basis of not only current precision oncology but also of computational models ('digital twins'), forming the foundation of a truly personalized therapy selection of the future.
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING;"Yang, X; Ran, Y; Zhang, GB; Wang, HW; Mu, ZY; Zhi, SG";;J;;Precision performance prediction of transmission system is considered as a key technology to modern equipment health management. Given the importance of maintaining a transmission system's precision, this paper presents a hybrid approach framework driven by digital twin technology (DT), to predict performance degradation. Firstly, a DT model based on meta-action theory is established, and real-time monitoring and digital simulation, driven by DT data, is realized in order to analyze the precision of the transmission units in machine tools. Secondly, the wear of gear in transmission unit is studied through Achard wear theory, which considered the comprehensive influence of gear load and speed on surface wear of the gear pair tooth, based on the model driving method. The performance degradation of the transmission unit is obtained by using the RBF neural network algorithm based on the data-driven method to extrapolate the wear data to the field-measurable precision index value. In addition, the hybrid predictive approach of the performance degradation model through the particle filter algorithm is built, and the real-time data is used to update the current state estimation to improve the prediction accuracy. By combining the mechanism of the physical degradation processes with the real-time and historical data and turning them into a cooperative architecture, this prediction method uses the complementary advantages offered by the fusion of these methods to bridge the link between data-driven prediction and model-based prediction. Finally, the method has been successfully applied to the precision prediction of the transmission unit in CNCMT turntable, and it is compared with the single prediction method to verify the effectiveness and feasibility.
