Title;Reason
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;
On the Engineering of IoT-Intensive Digital Twin Software Systems;
On the Engineering of IoT-Intensive Digital Twin Software Systems;
A Flexible and Modular Architecture for Edge Digital Twin: Implementation and Evaluation;No Model used
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;
Challenges and Possible Approaches for Sustainable Digital Twinning;Challenge/Position Paper
Coordination and Explanation of Reconfigurations in Self-Adaptive High-Performance Systems;Challenge/Position Paper
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;Challenge/Position Paper
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;
Semantic digital twins for organizational development;Challenge/Position Paper
"A pattern catalog for augmenting Digital Twin models with behavior; [Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten]";
Ensuring consistency in scalable-detail models for DT-based control;No MDE technique used
The OMiLAB Digital Innovation environment: Agile conceptual models to bridge business value with Digital and Physical Twins for Product-Service Systems development;Not Available
Digital twin enhanced human-machine interaction in product lifecycle;Challenge/Position Paper
A Digital Twin Model-Driven Architecture for Cyber-Physical and Human Systems;No MDE technique used
Model-driven engineering city spaces via bidirectional model transformations;
A New 5S Radar Structure Design Model Driven by Digital Twin;No MDE technique used
Towards Reactive Planning with Digital Twins and Model-Driven Optimization;
Model-Driven Engineering in Digital Thread Platforms: A Practical Use Case and Future Challenges;Challenge/Position Paper
Performance Evaluation: Model-Driven or Problem-Driven?;No MDE technique used
Towards Development Platforms for Digital Twins: A Model-Driven Low-Code Approach;Challenge/Position Paper
Applying a Healthcare Web of Things Framework for Infertility Treatments;Challenge/Position Paper
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;
Dynamic design method of digital twin process model driven by knowledge-evolution machining features;No MDE technique used
The Research of Aero-engine Digital Twin Model Based on Model-driven and Data-driven Fusion Method;No MDE technique used
Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;
Towards a Reference Architecture for Leveraging Model Repositories for Digital Twins;No Model used
Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python;No Model used
Data- and model-driven digital twins for design and logistics control of product distribution;No MDE technique used
A software engineering point of view on digital twin architecture;Challenge/Position Paper
Process Prediction with Digital Twins;Challenge/Position Paper
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;
Twin Process Model Driven Machining Quality Optimization for Complex Parts;
Multisource Model-Driven Digital Twin System of Robotic Assembly;No MDE technique used
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;
A Lightweight Model-driven MES Simulation Framework Based On Probabilistic Finite Automata;
Digital Twin of an Electrical Motor Based on Empirical Performance Model;
Closed-Loop Systems Engineering (CLOSE): Integrating Experimentable Digital Twins with the Model-Driven Engineering Process;No MDE technique used
Research on Modeling Method of System Reliability Digital Twin;No MDE technique used
Improved Electric Vehicle Digital Twin Performance Incorporating Detailed Lithium-ion Battery Model;No MDE technique used
Workshop Management and Control System Based on Digital Twin;No MDE technique used
Using UML and OCL Models to Realize High-Level Digital Twins;
Using UML and OCL Models to Realize High-Level Digital Twins;
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;No MDE technique used
A Model-Driven Approach for Situational Intelligence & Operational Awareness;No MDE technique used
Knowledge driven rapid development of white box digital twins for industrial plant systems;
