"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Series"
"Conference Paper","Kirchhof JC,Michael J,Rumpe B,Varga S,Wortmann A","Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems","","2020","","","90–101","Association for Computing Machinery","New York, NY, USA","Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems","Virtual Event, Canada","2020","9781450370196","","https://doi.org/10.1145/3365438.3410941;http://dx.doi.org/10.1145/3365438.3410941","10.1145/3365438.3410941","Digital twins emerge in many disciplines to support engineering, monitoring, controlling, and optimizing cyber-physical systems, such as airplanes, cars, factories, medical devices, or ships. There is an increasing demand to create digital twins as representation of cyber-physical systems and their related models, data traces, aggregated data, and services. Despite a plethora of digital twin applications, there are very few systematic methods to facilitate the modeling of digital twins for a given cyber-physical system. Existing methods focus only on the construction of specific digital twin models and do not consider the integration of these models with the observed cyber-physical system. To mitigate this, we present a fully model-driven method to describe the software of the cyber-physical system, its digital twin information system, and their integration. The integration method relies on MontiArc models of the cyber-physical system's architecture and on UML/P class diagrams from which the digital twin information system is generated. We show the practical application and feasibility of our method on an IoT case study. Explicitly modeling the integration of digital twins and cyber-physical systems eliminates repetitive programming activities and can foster the systematic engineering of digital twins.","software architecture, information systems, cyber-physical systems, model-driven software engineering, digital twins","MODELS '20"
"Conference Paper","Kirchhof JC,Malcher L,Rumpe B","Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins","","2021","","","197–209","Association for Computing Machinery","New York, NY, USA","Proceedings of the 20th ACM SIGPLAN International Conference on Generative Programming: Concepts and Experiences","Chicago, IL, USA","2021","9781450391122","","https://doi.org/10.1145/3486609.3487210;http://dx.doi.org/10.1145/3486609.3487210","10.1145/3486609.3487210","Developers questioning why their system behaves differently than expected often have to rely on time-consuming and error-prone manual analysis of log files. Understanding the behavior of Internet of Things (IoT) applications is a challenging task because they are not only inherently hard-to-trace distributed systems, but their integration with the environment via sensors adds another layer of complexity. Related work proposes to record data during the execution of the system, which can later be replayed to analyze the system. We apply the model-driven development approach to this idea and leverage digital twins to collect the required data. We enable developers to replay and analyze the system’s executions by applying model-to-model transformations. These transformations instrument component and connector (C&C) architecture models with components that reproduce the system’s environment based on the data recorded by the system’s digital twin. We validate and evaluate the feasibility of our approach using a heating, ventilation, and air conditioning (HVAC) case study. By facilitating the reproduction of the system’s behavior, our method lowers the barrier to understanding the behavior of model-driven IoT systems.","Architecture Description Languages, Internet of Things, Model-Driven Development, Debugging","GPCE 2021"
"Conference Paper","Muñoz P","How Alike Are My Physical and Digital Twins?","","2022","","","201–204","Association for Computing Machinery","New York, NY, USA","Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings","Montreal, Quebec, Canada","2022","9781450394673","","https://doi.org/10.1145/3550356.3552393;http://dx.doi.org/10.1145/3550356.3552393","10.1145/3550356.3552393","A digital twin is a virtual replica of a system defined at a certain level of fidelity, and synchronized at a specific frequency. Digital twins are often used to replicate physical systems whose simulations are usually computationally costly. One of the solutions proposed in the literature to this problem is to define a hierarchy of multi-fidelity digital twins, where we use one twin or another depending on the specific purpose. However, one of the challenges of this proposal is the need to determine whether these twins are equivalent to each other and the physical system according to their purpose. In this work, we explore different methods to measure this equivalence by analyzing the state and behavior of the twins using high-level software models.","fidelity, multi-fidelity, digital twins, conformance testing, simulation","MODELS '22"
"Conference Paper","Muñoz P","Measuring the Fidelity of Digital Twin Systems","","2022","","","182–188","Association for Computing Machinery","New York, NY, USA","Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings","Montreal, Quebec, Canada","2022","9781450394673","","https://doi.org/10.1145/3550356.3558516;http://dx.doi.org/10.1145/3550356.3558516","10.1145/3550356.3558516","A digital twin is a virtual replica of a system at a certain level of fidelity, synchronized at a specific frequency. Digital twins often replicate physical systems whose simulations are usually computationally costly. One of the solutions to this problem proposed in the literature is to define a hierarchy of multi-fidelity digital twins, where we use one twin or another depending on the specific purpose. However, one of the challenges of this proposal is the need to determine whether the different twins are equivalent to each other and the physical system. In this thesis, we explore different methods to measure this equivalence by analyzing the state and behavior of the twins with the aid of high-level software models.","conformance testing, fidelity, multi-fidelity, simulation, digital twins","MODELS '22"
"Conference Paper","Cleophas L,Godfrey T,Khelladi DE,Lehner D,Combemale B,van den Brand M,Vierhauser M,Wimmer M,Zschaler S","A Community-Sourced View on Engineering Digital Twins: A Report from the EDT.Community","","2022","","","481–485","Association for Computing Machinery","New York, NY, USA","Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings","Montreal, Quebec, Canada","2022","9781450394673","","https://doi.org/10.1145/3550356.3561549;http://dx.doi.org/10.1145/3550356.3561549","10.1145/3550356.3561549","Digital Twins are an important concept, enabling what-if scenario exploration, predictive maintenance, and other approaches. They help in saving time and physical resources when developing and evolving systems, whether natural or engineered. However, constructing and maintaining digital twins is a challenging engineering task - and, to date, there is a lack of understanding of the engineering techniques and methodologies required. To address these challenges, we created EDT.Community, a programme of seminars on the engineering of digital twins hosting digital twins experts from academia and industry. In this paper, we report on the main topics of discussion from the first year of the programme. We contribute by providing (1) a common understanding of open challenges in research and practice of the engineering of digital twins, and (2) an entry point to researchers who aim to close gaps in the current state of the art.","digital twin, digital engineering, systems engineering","MODELS '22"
"Conference Paper","Barat S,Kulkarni V,Clark T,Barn B","Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems","","2022","","","66–75","Association for Computing Machinery","New York, NY, USA","Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems","Montreal, Quebec, Canada","2022","9781450394666","","https://doi.org/10.1145/3550355.3552409;http://dx.doi.org/10.1145/3550355.3552409","10.1145/3550355.3552409","Environmental uncertainties and hyperconnectivity force technosocio-economic systems to introspect and adapt to succeed and survive. Current practices in decision-making are predominantly intuition-driven with attendant challenges for precision and rigor. We propose to use the concept of digital twins by combining results from Modelling & Simulation, Artificial Intelligence, and Control Theory to create a risk free 'in silico' experimentation aid to help: (i) understand why a system is the way it is, (ii) be prepared for possible outlier conditions, and (iii) identify plausible solutions for mitigating the outlier conditions in an evidence-backed manner. We use reinforcement learning to systematically explore the digital twin solution space. Our proposal is significant because it advances the effective use of digital twins to new problem domains that have new potential for impact. Our approach contributes an original meta model for simulatable digital twin of industry scale techno-socioeconomic systems, agent-based implementation of the digital twin, and an architecture that serves as a risk-free experimentation aid to support simulation-based evidence-backed decision-making. We also discuss the rigor of our validation of the proposed approach and associated technology infrastructure through a representative sample of industry-scale real-world use cases.","decision making, agent model, digital twin, simulatable model","MODELS '22"
"Conference Paper","Grimmeisen P,Wortmann A,Morozov A","Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins","","2022","","","511–518","Association for Computing Machinery","New York, NY, USA","Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings","Montreal, Quebec, Canada","2022","9781450394673","","https://doi.org/10.1145/3550356.3561601;http://dx.doi.org/10.1145/3550356.3561601","10.1145/3550356.3561601","Traditional production systems are characterized by rare software updates and fixed production lines. Each production unit is designed and programmed for a specific task. Therefore, the reliability assessment is conducted once before the operation, mostly manually, and is based on traditional reliability models, such as event trees, fault trees, or reliability block diagrams. In comparison to traditional production systems, the focus of modern, complex production systems is shifted towards the software part. This is emphasized by the concepts of digital twins and Software-Defined Manufacturing (SDM). These software-intensive and safety-critical systems have more frequent software updates to address higher system flexibility and adjustable production processes. Therefore, SDM systems require a new approach to reliability assessment. Each software update can change the system behavior significantly. This leads to the necessity to reconduct the reliability assessment automatically before each software update. Advanced and hybrid reliability models are the key enabling technology. These models must be automatically generated and synchronized with the available system models and digital twins. Model-to-Model (M2M) transformation methods are another enabling technology.In this paper, we present a case study on automated and continuous reliability assessment of SDM. It shows, that our new method is a suitable candidate to enable the reliability assessment of SDM based on digital twins. The method includes (i) the extension of SysML v2 for reliability assessment, (ii) the automatic generation of hybrid reliability models from the digital twin, and (iii) their reliability assessment with new solvers developed for our OpenPRA framework.","case study, reliability assessment, software-defined manufacturing, digital twin, model-to-model (M2M) transformation, SysML v2","MODELS '22"
"Conference Paper","Hugues J,Hristosov A,Hudak JJ,Yankel J","TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS","","2020","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings","Virtual Event, Canada","2020","9781450381352","","https://doi.org/10.1145/3417990.3421446;http://dx.doi.org/10.1145/3417990.3421446","10.1145/3417990.3421446","The engineering of Cyber-Physical Systems (CPS) requires a large set of expertise to capture the system requirements and to derive a correct solution. Model-based Engineering and DevOps aim to efficiently deliver software with increased quality. Model-based Engineering relies on models as first-class artifacts to analyze, simulate, and ultimately generate parts of a system. DevOps focuses on software engineering activities, from early development to integration, and then improvement through the monitoring of the system at run-time. We claim these can be efficiently combined to improve the engineering process of CPS.In this paper, we present TwinOps, a process that unifies Model-based Engineering, Digital Twins, and DevOps practice in a uniform workflow. TwinOps illustrates how to leverage several best practices in MBE and DevOps for the engineering Cyber-Physical systems. We illustrate our contribution using a Digital Twins case study to illustrate TwinOps benefits, combining AADL and Modelica models, and an IoT platform.","","MODELS '20"
"Conference Paper","Muñoz P,Wimmer M,Troya J,Vallecillo A","Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin","","2022","","","503–510","Association for Computing Machinery","New York, NY, USA","Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings","Montreal, Quebec, Canada","2022","9781450394673","","https://doi.org/10.1145/3550356.3563135;http://dx.doi.org/10.1145/3550356.3563135","10.1145/3550356.3563135","A common problem in the development of digital twin systems is the validation that the behavior of both twins, the physical and the digital, is the same, or at least similar enough given the requirements of the digital twin system. In this paper, we propose a method for the alignment of the traces of both twins. Traces are sequences of snapshots that capture the progressive states of each entity. Our approach is based on a bioinformatic algorithm that we adapt and use for the alignment of snapshots. Additionally, we include a set of measures to evaluate the quality of these alignments and reason about the level of fidelity of the digital twin system. Two case studies are used to demonstrate our proposal and evaluate its accuracy and effectiveness.","trace analysis, digital twins, conformance testing, trace alignment","MODELS '22"
"Conference Paper","Niati A,Selma C,Tamzalit D,Bruneliere H,Mebarki N,Cardin O","Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry","","2020","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings","Virtual Event, Canada","2020","9781450381352","","https://doi.org/10.1145/3417990.3421438;http://dx.doi.org/10.1145/3417990.3421438","10.1145/3417990.3421438","This paper presents our early-stage research on a Multi-Paradigm Modeling (MPM) approach as an initial step towards the definition of a Digital Twin (DT) for Cyber-Physical Production Systems (CPPSs). This work takes place in the context of the digitalization of the mail sorting process at La Poste, the French national postal service company. Indeed, La Poste is currently investing on robotics modules for automatically loading mail containers. The main objective is to reduce the painful work for human operators while optimizing the robots usage. We already worked on targeting such a balance in a past effort that resulted in the production of different kinds of models of the La Poste CPPS. However, these models were defined separately and are not directly related to the underlying business process in particular. Thus, we propose an MPM approach starting from this business process as now modeled explicitly in a BPMN model. Then, we refine the high-level business activities into finer-grained activities represented in a UML Activity model. From these latest, we derive the specification of a Multi-Agent System (MAS) developed with the JADE framework and emulating the behavior of the La Poste CPPS. Our longer term objective is to pave the way for supporting the definition of a DT for this CPPS, and potentially for other CPPSs in different contexts in the future.","activity modeling, digital twin, cyber-physical production systems, multi-paradigm modeling, business process modeling, agent-based modeling","MODELS '20"
