Publisher;Title;Publication Title;Authors;Publication Year;Document Identifier
ACM;17;17;17;17;17
American Institute of Physics Inc.;1;1;1;1;1
CEUR-WS;2;2;2;2;2
CIMS;1;1;1;1;1
De Gruyter Oldenbourg;1;1;1;1;1
Elsevier B.V.;5;4;5;5;5
Elsevier Ltd;6;6;6;6;6
Gesellschaft fur Informatik (GI);1;1;1;1;1
IEEE;48;48;48;48;48
Institute of Electrical and Electronics Engineers Inc.;12;12;12;12;12
John Wiley and Sons Inc;1;1;1;1;1
SciTePress;1;1;1;1;1
Springer;3;3;3;3;3
Springer Science and Business Media Deutschland GmbH;11;11;11;11;11
Taylor and Francis Ltd.;1;1;1;1;1
The Design Society;1;1;1;1;1
