ID;Title;model processing technique;source;source category;source sub-category 1;source sub-category 2;source model target category;target;target category;target sub-category 1;target sub-category 2;target model target category;Technological Readiness Level;system lifecycle phase;twinning target;twin lifecycle phase;use case domain;Use Case
1;A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;Model Interpretation;hybrid model (physical, geometric, behavior, rule);behavior + structure model;data;;PT;performance degredation measurement algorithm;Software;data processing;;;Evaluation Research;Design;Individual Systems;As-Operated;Manufacturing;Transmission of CNC Machine
1;A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;Model Interpretation;runtime data;structural model;data;;PT;simulation engine;Software;simulation software;;;;Design;;;;
2;A framework for Model-Driven Engineering of resilient software-controlled systems;Code Generation;SysML: BDD;structural model;data;;PT;Knowledge Base of software digital twins (Metamodel proposed in Figure 5 of the paper) -> in fact, this is the class diagram of their knowledge base;Software;database;;;Validation Research;Design;Individual Systems;As-Designed;Transportation and Storage;limited traffic zone access control
2;A framework for Model-Driven Engineering of resilient software-controlled systems;Model Interpretation;Fault Trees;behavior model;discrete behavior;;PT;FaultTreeAnalyzer (metamodel proposed in Figure 8);Software;control;;;;Design;;;;
3;A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;Code Generation;AutomationML models;structural model;data;;PT;DT runtime memory;software;other software;;;Validation Research;Operate;Systems of Systems;As-Operated;Manufacturing;refinery automationsystem with four valves 
3;A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;Model Interpretation;AutomationML models;structural model;data;;Software;Restful API, Html pages;Software;visualization software;;;;Design;;;;
4;A Model-Driven Approach for Situational Intelligence & Operational Awareness;Model Interpretation;electrical system model;structural model;data;;PT;;Software;simulation software;;;Solution Proposal;Operate;Individual Systems;As-Designed;Electricity;
5;A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;Model to Model Transformation;Fault Trees;structural model;discrete behavior;;PT;Behavior Trees (BTs);behavior model;discrete behavior;;PT;Solution Proposal;Operate;Individual Systems;As-Operated;Professional, Scientific;ground station of a spacecraft
5;A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;Model to Model Transformation;Fault Trees;behavior model;discrete behavior;;PT;Operations-Dedicated Models (ODMs);structural model;data;;PT;;Operate;;;;
5;A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;Model Interpretation;DT model (=ODM model);structural model;data;;Software;UI-based monitoring tools;Software;visualization software;;;;Operate;;;;
6;"A pattern catalog for augmenting Digital Twin models with behavior; [Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten]";Model to Model Transformation;behavior model;behavior model;discrete behavior;;PT;structure + behavior model (DTML);behavior + structure model;data;discrete behavior;PT;Validation Research;Design;Individual Systems;As-Designed;Manufacturing;3D Printer
