Authors;Title;Publication year;Publisher;Proceedings title;URLs;DOI;Abstract;Keywords;Series
"Gkeli M.; Potsiou C.";3D crowdsourced parametric cadastral mapping: Pathways integrating BIM/IFC, crowdsourced data and LADM;2023.0;;Land Use Policy;;;"This paper is part of a doctoral dissertation (PhD) research aligned with global trends aiming to develop practical technical tools for the collection, management and visualization of three-dimensional (3D) property rights in urban areas. Recently, the Building Information Models (BIMs) claim a prominent position in the field of 3D cadastres and the digital twins of the cities. In addition to all other building information, the BIM can also provide data about the exact boundaries of all kind of legal spaces (e.g., property ownership rights as well as land use restrictions), under the support of Industry Foundation Classes (IFCs). However, the utilization of BIMs for 3D cadastral surveys is still accompanied with two main drawbacks. The first refers to BIMs limited availability, as till now they mainly encounter in new large constructions. The second refers to the complexity in defining the exact geometric location of the legal boundaries regarding the exterior/interior partitions of the construction and of the common spaces. The latter parameter is formed on the basis of the current legal legislation in each country. Through in-depth investigation of the current legal framework of each country it may be possible to visualize the various 3D legal spaces within complex constructions and thus to facilitate the integration of existing BIMs in the development of 3D cadasters that will enable a better understanding and communication of all involved parties in the operation of cross-boundary real estate markets. In parallel, crowdsourcing has already been proved to be a powerful data collection method for the initial participatory implementation of fast, reliable and affordable 3D cadastral surveys, utilizing all capabilities provided by the latest low-cost devices, mobile services (m-services), open-source software (OSS) and the international standard of Land Administration Domain Model (LADM ISO 19152). If no precise 3D building models are already available, the currently available 2D architectural plans combined with the additional geometric and descriptive cadastral information may be utilized for a participatory crowdsourced cadastral survey of the 3D property units. In this paper a two-route crowdsourced approach is described. This approach suggests both the use of existing BIMs  those available  to proceed with 3D crowdsourced cadastral surveys of those constructions, as well as the use of 2D georeferenced basemaps (e.g., orthophotos for the compilation of 2D crowdsourced cadastral surveys, and all existing architectural floor plans of the constructions) to proceed with 3D crowdsourced cadastral surveys of all other constructions. A database schema describing the linkage between LADM standard, BIM/IFC and 3D crowdsourced geometric and descriptive cadastral information is developed and presented. A hybrid mobile application enabling the manipulation of BIM/IFC descriptive data  if existing; the collection of 3D crowdsourced geometric and descriptive information by property owners/users/non-professionals; the registration of the cadastral data and their relationships within a LADM-based cadastral geodatabase; the automated generation of 3D property unit models as block models (LoD1), using Model-driven approach; and the objects visualization in real-time, are developed. An investigation regarding the legally correct representation of the location of property unit boundaries, focusing mainly in the Greek territory is conducted. A practical experiment for each one of the cases of the two-route crowdsourced approach is implemented, for two multi-storey buildings in the city of Athens, Greece. The potentials of the proposed crowdsourced solution as well as the achieved geometric accuracy  in the absence of BIM  are discussed and assessed. The results show that integrating BIM data with cadastral information derived from crowdsourcing, may significantly contribute to the implementation of 3D Cadastres, providing also a better visual understanding of 3D property rights. Nonetheless, even in the absence of a BIM the achieved accuracy seems to satisfy the cadastral specifications of the Greek cadaster enhancing the potential of exploiting crowdsourced data in the initial phases of the cadastral formal procedures. © 2023";;
"Cleophas, L; Godfrey, T; Khelladi, DE; Lehner, D; Combemale, B; van den Brand, M; Vierhauser, M; Wimmer, M; Zschaler, S";A Community-Sourced View on Engineering Digital Twins: A Report from the EDT.Community;;;ACM/IEEE 25TH INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS, MODELS 2022 COMPANION;;;Digital Twins are an important concept, enabling what-if scenario exploration, predictive maintenance, and other approaches. They help in saving time and physical resources when developing and evolving systems, whether natural or engineered. However, constructing and maintaining digital twins is a challenging engineering task - and, to date, there is a lack of understanding of the engineering techniques and methodologies required. To address these challenges, we created EDT.Community, a programme of seminars on the engineering of digital twins hosting digital twins experts from academia and industry. In this paper, we report on the main topics of discussion from the first year of the programme. We contribute by providing (1) a common understanding of open challenges in research and practice of the engineering of digital twins, and (2) an entry point to researchers who aim to close gaps in the current state of the art.;;
"Liu, Q; Liu, B; Wang, G; Zhang, C";A Comparative Study on Digital Twin Models;;;ADVANCES IN MATERIALS, MACHINERY, ELECTRONICS III;;;As the main concept, the Digital Twin (DT) shows its potential not only in industry 4.0 but also in other areas. One of the keys that decide the future of DT been known as its model technology. Through models can integrate features, behaviors, and properties of DT artifacts with efficiency, reusability, and interoperability, in order to build a complete mapping between the physical world and digital world, after that realize the ideal DT. This paper aims at comparing and analyzing the DT models in the scientific literature, retracing them from the initial one to the models in most recent researches. Thus, this study also emphasizes several principles of the DT model technology that is related to future work.;;
"Schade, S; Ogilvie, LA; Kessler, T; Schütte, M; Wierling, C; Lange, BM; Lehrach, H; Yaspo, ML";A data- and model-driven approach for cancer treatment;2019.0;;ONKOLOGE;;10.1007/s00761-019-0624-z;"All people are unique and so are their diseases. Our genomes, disease histories, behavior, and lifestyles are all different; therefore it is not too surprising that people often respond differently when administered the same drugs. Cancer, in particular, is a complex and heterogeneous disease, originating in patients with different genomes, in cells with the different epigenomes, formed and evolving on the basis of random processes, with the response to therapy not only depending on the individual cancer cell but also on many features of the patient. Selection of an optimal therapy will therefore require a deep molecular analysis comprising both the patient and their tumor (e.g., comprehensive molecular tumor analysis [CMTA]), and much better personalized prediction of response to possible therapies. Currently, we are at an inflection point in which advances in technology, decreases in the costs of sequencing and other molecular analyses, and increases in computing advances are converging, forming the foundation to build a data-driven approach to personalized oncology. In this article we discuss the deep molecular characterization of individual tumors and patients as the basis of not only current precision oncology but also of computational models ('digital twins'), the foundation for a truly personalized therapy selection of the future.";;
"Song Y.; Xia M.; Chen Q.; Chen F.";A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin;2023.0;;Applied Energy;;;With the growing percentage of the intermittent renewable power generation, the energy system is under increasing pressure in balancing the supply and the demand. As a major part of urban energy consumptions, buildings can provide considerable regulation flexibility for the energy system by actively managing their energy demands. For the building energy flexibility (BEF) provided by thermostatically controlled loads (TCL), its dispatch performance is vulnerable to the building thermal parameter errors, and in some cases, occupants need to provide the critical information related to the indoor temperature state and the occupancy state to the energy management system outside buildings, which decreases the availability of the BEF and raises privacy concerns. For these issues in the BEF utilization, this paper proposes a data-model fusion dispatch strategy based on the digital twin (DT). The proposed strategy is capable of parameter fault tolerance and privacy protection by combining the model-free advantage of the data-driven method with the analytical optimization advantage of the model-driven method. Firstly, a DT-based BEF dispatch framework is proposed. Secondly, the building DT is established by combining the building thermal dynamics (BTD) data-driven model and the TCL operation mechanism model. And the building response deduction is carried out based on the DT. Finally, under the rolling optimization framework, the data-model fusion dispatch strategy is devised by uniting the DT deduction and the optimization constructed by the BTD mechanism model, in which the multi-dimensional modeling of the BTD is carried out from the state dimension and the energy dimension. The simulation results show that the optimization result can reach 98.4% of the ideal result under the scenario with 15% parameter random error, and 98.3% of the ideal result under the scenario with 15% random state noise injection. © 2022 Elsevier Ltd;;
"Poursoltan M.; Traore M.K.; Pinède N.; Vallespir B.";A Digital Twin Model-Driven Architecture for Cyber-Physical and Human Systems;2023.0;;Proceedings of the I-ESA Conferences;;;The cyber-physical and human system (CPHS) is widely recognized as a key infrastructure to support the future developments in healthcare, industrial manufacturing as well as in many other areas. In consequence, there is an increasing interest in tools, techniques, and technologies to advance the understanding and provide unchallenging improvement of CPHS. Digital Twin is a growing research topic that can equip the CPHS with high-fidelity mirroring, monitoring, controlling, and active functional improvement. The central question in this study asks in what way Digital Twin should be designed and developed for a CPHS. An architecture was required to answer this question and build upon model to define guidelines and requirements for valid Digital Twin. Thus, this study provides much new knowledge about the emerging role of Digital Twin in CPHS by using a model-driven architecture (MDA) approach with the perspective of SD logic. In addition, in the presence of human roles, the given MDA is beneficial for providing abstractions of Digital Twin from different viewpoints, communication with non-technical experts, and decision support, system design, and improvement. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.;;
"Picone M.; Mamei M.; Zambonelli F.";A Flexible and Modular Architecture for Edge Digital Twin: Implementation and Evaluation;2023.0;;ACM Transactions on Internet of Things;;;IoT systems based on Digital Twins (DTs) - virtual copies of physical objects and systems - can be very effective to enable data-driven services and promote better control and decisions, in particular by exploiting distributed approaches where cloud and edge computing cooperate effectively. In this context, digital twins deployed on the edge represents a new strategic element to design a new wave of distributed cyber-physical applications. Existing approaches are generally focused on fragmented and domain-specific monolithic solutions and are mainly associated to model-driven, simulative or descriptive visions. The idea of extending the DTs role to support last-mile digitalization and interoperability through a set of general purpose and well-defined properties and capabilities is still underinvestigated. In this paper, we present the novel Edge Digital Twins (EDT) architectural model and its implementation, enabling the lightweight replication of physical devices providing an efficient digital abstraction layer to support the autonomous and standard collaboration of things and services. We model the core capabilities with respect to the recent definition of the state of the art, present the software architecture and a prototype implementation. Extensive experimental analysis shows the obtained performance in multiple IoT application contexts and compares them with that of state-of-the-art approaches.  © 2023 Association for Computing Machinery.;;
"Parri J.; Patara F.; Sampietro S.; Vicario E.";A framework for Model-Driven Engineering of resilient software-controlled systems;2021.0;;Computing;;;Emergent paradigms of Industry 4.0 and Industrial Internet of Things expect cyber-physical systems to reliably provide services overcoming disruptions in operative conditions and adapting to changes in architectural and functional requirements. In this paper, we describe a hardware/software framework supporting operation and maintenance of software-controlled systems enhancing resilience by promoting a Model-Driven Engineering (MDE) process to automatically derive structural configurations and failure models from reliability artifacts. Specifically, a reflective architecture developed around digital twins enables representation and control of system Configuration Items properly derived from SysML Block Definition Diagrams, providing support for variation. Besides, a plurality of distributed analytic agents for qualitative evaluation over executable failure models empowers the system with runtime self-assessment and dynamic adaptation capabilities. We describe the framework architecture outlining roles and responsibilities in a System of Systems perspective, providing salient design traits about digital twins and data analytic agents for failure propagation modeling and analysis. We discuss a prototype implementation following the MDE approach, highlighting self-recovery and self-adaptation properties on a real cyber-physical system for vehicle access control to Limited Traffic Zones. © 2020, The Author(s).;;
"Huangfu, YF; Dong, XJ; Cao, YX; Li, ZW; Peng, ZK; Sun, YT";A life-cycle dynamic wear degradation model of planetary gear systems;;;WEAR;;;An accurate prediction model for surface wear in planetary gear systems is essential to decipher wear fault mechanisms and facilitate model-driven failure prognosis. A high-fidelity dynamic wear model relies on the appropriate characterization and updating strategy of the tooth macro-geometry, contact parameters and dynamic load. A geometrically adaptive-loaded tooth contact analysis (GA-LTCA) method is proposed to bridge wear morphology and dynamic behaviours. The finite element method and run-to-failure test are adopted to verify the GA-LTCA method and wear prediction model, respectively. Based on the proposed wear model, the life-cycle wear characteristics and the updating strategy of wear geometry are investigated. Owing to the consideration of the micro-cycle of the contact stress and geometrical updating, the predicted wear profile exhibits a desirable agreement with experimental results. The tooth profile deviation vector should be updated more frequently than the finite element model of worn gears. Only the finite element grid of the sun-planet gear pair should be updated because the wear of the sun-planet is much more serious than that of the ring-planet. Numerical results indicate the potential of the proposed high-fidelity model for digital twin-based wear prediction and life cycle failure prognosis.;;
"Zhang K.; Tian J.; Han J.; Yuan Q.";A Lightweight Model-driven MES Simulation Framework Based On Probabilistic Finite Automata;2022.0;;2022 7th International Conference on Intelligent Computing and Signal Processing, ICSP 2022;;;"In recent years, the concept of digital twin was introduced to the field of intelligent manufacturing. People use simulation technologies to complete the process of physical equipment in virtual space. As the manager of production process data, MES system is an important basis of digital twin in industrial production. Current MES systems are mostly developed for specific domains, often for large enterprises, with high coupling and poor scalability, which are difficult to be applied to smaller production enterprises with low informationization degree. In this paper, we propose a lightweight model-driven MES simulation framework that uses probabilistic finite automata to form a fast modeling for factory as well as to generate production data, and achieves a highly flexible production process simulation through config files; the framework could also be used to build a real MES system for small and medium-sized production enterprises. © 2022 IEEE.";;
