Title;Authors;Publication Year;Publisher;Publication Title;Kategorie
Closed-Loop Systems Engineering (CLOSE): Integrating Experimentable Digital Twins with the Model-Driven Engineering Process;"M. D. Maio; G. -D. Kapos; N. Klusmann; L. Atorf; U. Dahmen; M. Schluse; J. Rossmann";2018.0;IEEE;2018 IEEE International Systems Engineering Symposium (ISSE);Symposium
A Model-Driven Approach for Situational Intelligence & Operational Awareness;"S. Shokooh; G. Nordvik";2019.0;IEEE;2019 Petroleum and Chemical Industry Conference Europe (PCIC EUROPE);Conference
Survey and Practice on Architecture and Deployment Method of Digital Twin System for Intelligent Substation;"S. Bulut; T. G. Giese; M. Wende; R. Anderl";2020.0;IEEE;2020 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE);Conference
Digital Twins Driving Model Based on Petri Net in Industrial Pipeline;"Y. Dai; Y. Shi; Z. Zhang; R. Tao; F. Fang";2020.0;IEEE;2020 International Conference on Artificial Intelligence and Electromechanical Automation (AIEA);Conference
Digital Twin of an Electrical Motor Based on Empirical Performance Model;"A. Rassõlkin; V. Rjabtikov; T. Vaimann; A. Kallaste; V. Kuts; A. Partyshev";2020.0;IEEE;2020 XI International Conference on Electrical Power Drive Systems (ICEPDS);Conference
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;"D. Lehner; S. Sint; M. Vierhauser; W. Narzt; M. Wimmer";2021.0;IEEE;2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA );Conference
Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML;"C. Binder; A. Calà; J. Vollmar; C. Neureiter; A. Lüder";2021.0;IEEE;2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA );Conference
Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;"N. Braunisch; M. Ristin-Kaufmann; R. Lehmann; H. W. van de Venn";2021.0;IEEE;2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA );Conference
DataTime: a Framework to smoothly Integrate Past, Present and Future into Models;"G. Lyan; J. -M. Jézéquel; D. Gross-Amblard; B. Combemale";2021.0;IEEE;2021 ACM/IEEE 24th International Conference on Model Driven Engineering Languages and Systems (MODELS);Conference
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;"X. P. i. Palomés; P. Tuset-Peiró; P. F. i. Casas";2021.0;IEEE;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);Satellite Event
Using UML and OCL Models to Realize High-Level Digital Twins;"P. Muñoz; J. Troya; A. Vallecillo";2021.0;IEEE;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);Satellite Event
Twin Process Model Driven Machining Quality Optimization for Complex Parts;"J. Li; G. Zhou; C. Zhang";2021.0;IEEE;2021 International Conference on Digital Society and Intelligent Systems (DSInS);Conference
Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era;"A. Chi?; A. -M. Ghiran; R. A. Buchmann";2022.0;IEEE;2022 24th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC);Symposium
Workshop Management and Control System Based on Digital Twin;"G. Wang; Z. Bing; Z. Hou; Y. Guan; X. Qi; M. Liu";2022.0;IEEE;2022 8th International Conference on Control, Automation and Robotics (ICCAR);Conference
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;"F. Wilking; M. Behringer; M. Fett; S. Goetz; E. Kirchner; S. Wartzack";2023.0;IEEE;2023 18th Annual System of Systems Engineering Conference (SoSe);Conference
A Model-Driven Digital Twin for Manufacturing Process Adaptation;"P. Spaney; S. Becker; R. StrÃÂ¶bel; J. Fleischer; S. Zenhari; H. -C. MÃÂ¶hring; A. -K. SplettstÃÂ¶ÃÂer; A. Wortmann";2023.0;IEEE;2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);Satellite Event
Towards Generating Model-Driven Speech Interfaces for Digital Twins;J. Pfeiffer;2023.0;IEEE;2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);Satellite Event
A Modeling Approach Supporting Digital Twin Engineering: Optimizing the Energy Consumption of Air Conditioning Facilities;"Nast, B; Reiz, A; Ivanovic, N; Sandkuhl, K";2023.0;IEEE;2023 ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION, MODELS-C;Satellite Event
Extracting Hardware Reconfiguration Models based on Knowledge Synthesis from STEP Files;"Caesar, B; Jansen, N; Weigand, M; Fay, A; Rumpe, B";;;2023 ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION, MODELS-C;Satellite Event
Generation of Digital Twins for Information Exchange Between Partners in the Industrie 4.0 Value Chain;"N. Braunisch; M. Ristin-Kaufmann; R. Lehmann; M. Wollschlaeger; H. W. van de Venn";2023.0;IEEE;2023 IEEE 21st International Conference on Industrial Informatics (INDIN);Conference
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;"Y. Huang; S. Dhouib; L. P. Medinacelli; J. Malenfant";2023.0;IEEE;2023 IEEE 6th International Conference on Industrial Cyber-Physical Systems (ICPS);Conference
"A pattern catalog for augmenting Digital Twin models with behavior; [Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten]";"Lehner D.; Sint S.; Eisenberg M.; Wimmer M.";2023.0;De Gruyter Oldenbourg;At-Automatisierungstechnik;Journal
Modeling Urban Digital Twins over the Cloud-to-Thing Continuum;"Moreno N.; Toro-GÃÂ¡lvez L.; Troya J.; Canal C.";2022.0;Scopus;CEUR Workshop Proceedings;Satellite Event
The OMiLAB Digital Innovation environment: Agile conceptual models to bridge business value with Digital and Physical Twins for Product-Service Systems development;"Karagiannis D.; Buchmann R.A.; Utz W.";2022.0;Elsevier B.V.;Computers in Industry;Journal
A framework for Model-Driven Engineering of resilient software-controlled systems;"Parri J.; Patara F.; Sampietro S.; Vicario E.";2021.0;Springer;Computing;Journal
A Model Based Framework for IoT-Aware Business Process Management;"Bocciarelli, P; D'Ambrogio, A; Panetti, T";2023.0;;FUTURE INTERNET;Journal
Knowledge driven rapid development of white box digital twins for industrial plant systems;"A. B.; S. R.C.; B. B.; R. Dhakshinamoorthy; S. A.; N. S.";2021.0;IEEE;IECON 2021  47th Annual Conference of the IEEE Industrial Electronics Society;Conference
Empowering Industry 4.0 with Generative and Model-Driven SDK Development;"Braunisch N.; Ristin-Kaufmann M.; Lehmann R.; Wollschlaeger M.; Van De Venn H.W.";2023.0;Scopus;IECON Proceedings (Industrial Electronics Conference);Conference
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;"A. Rassõlkin; V. Rjabtikov; V. Kuts; T. Vaimann; A. Kallaste; B. Asad; A. Partyshev";2022.0;IEEE;IEEE Access;Journal
Explaining Cyberphysical System Behavior With Digital Twins;"Michael, J; Schwammberger, M; Wortmann, A";;;IEEE SOFTWARE;Journal
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;"Bariah, L; Debbah, M";;;IEEE WIRELESS COMMUNICATIONS;Journal
Ensuring consistency in scalable-detail models for DT-based control;"Cimino C.; Leva A.; Ferretti G.";2021.0;Elsevier B.V.;IFAC-PapersOnLine;Satellite Event
An enhanced state-aware model learning approach for security analysis in lightweight protocol implementations;"Guo, JX; Zhao, DL; Gu, CX; Chen, X; Zhang, XL; Ju, MC";;;JOURNAL OF CLOUD COMPUTING-ADVANCES SYSTEMS AND APPLICATIONS;Journal
Generating customized low-code development platforms for digital twins;"Dalibor M.; Heithoff M.; Michael J.; Netz L.; Pfeiffer J.; Rumpe B.; Varga S.; Wortmann A.";2022.0;Elsevier Ltd;Journal of Computer Languages;Journal
Digital twin model-driven capacity evaluation and scheduling optimization for ship welding production line;"Liu J.; Ji Q.; Zhang X.; Chen Y.; Zhang Y.; Liu X.; Tang M.";2023.0;Scopus;Journal of Intelligent Manufacturing;Journal
Model-Driven Development of a Digital Twin for Injection Molding;"Bibow P.; Dalibor M.; Hopmann C.; Mainz B.; Rumpe B.; Schmalzing D.; Schmitz M.; Wortmann A.";2020.0;Springer;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);NA
Model-Driven Engineering in Digital Thread Platforms: A Practical Use Case and Future Challenges;"Chaudhary H.A.A.; Guevara I.; John J.; Singh A.; Ghosal A.; Pesch D.; Margaria T.";2022.0;Springer Science and Business Media Deutschland GmbH;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);NA
The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;"Gorodetsky V.I.; Kozhevnikov S.S.; Novichkov D.; Skobelev P.O.";2019.0;Springer;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);NA
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;"Dalibor M.; Michael J.; Rumpe B.; Varga S.; Wortmann A.";2020.0;Springer Science and Business Media Deutschland GmbH;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);NA
Towards Reactive Planning with Digital Twins and Model-Driven Optimization;"Eisenberg M.; Lehner D.; Sindelar R.; Wimmer M.";2022.0;Springer Science and Business Media Deutschland GmbH;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);NA
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;"Michael J.; Nachmann I.; Netz L.; Rumpe B.; Stüber S.";2022.0;Gesellschaft fur Informatik (GI);Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI);NA
Supporting the Development of Digital Twins in Nuclear Waste Monitoring Systems;"Di Giovanni M.; Campanile L.; D'Onofrio A.; Marrone S.; Marulli F.; Romoli M.; Sabbarese C.; Verde L.";2023.0;Scopus;Procedia Computer Science;NA
Supporting Digital Twins Systems Integrating the MERODE Approach;"Compagnucci I.; Snoeck M.; Asensio E.S.";2023.0;Scopus;Proceedings - 2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion, MODELS-C 2023;Satellite Event
AC-ROS: Assurance case driven adaptation for the robot operating system;"Cheng B.H.C.; Clark R.J.; Fleck J.E.; Langford M.A.; McKinley P.K.";2020.0;Scopus;Proceedings - 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS 2020;Conference
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;Kirchhof JC,Malcher L,Rumpe B;2021.0;ACM;Proceedings of the 20th ACM SIGPLAN International Conference on Generative Programming: Concepts and Experiences;Conference
Digital Behavioral Twins for Safe Connected Cars;Chen X,Kang E,Shiraishi S,Preciado VM,Jiang Z;2018.0;ACM;Proceedings of the 21th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems;Conference
