;title;abstract;dc:publisher;prism:aggregationType;prism:publicationName;prism:coverDate;prism:url
0;A Framework for Service-Oriented Digital Twin Systems for Discrete Workshops and Its Practical Case Study;To address issues in discrete manufacturing workshops, such as the difficulty for management personnel to coordinate workshop production and the challenge of visualizing and supervising a massive amount of temporary data, this paper proposes a service-oriented digital-twin-system framework for discrete workshops using the industrial IoT platform as the system-service platform to solve the problems of the opaque monitoring of operators in discrete workshops, the low interactivity of 2D monitoring systems, and the difficulty of the visual monitoring of workshop data. Firstly, the current situation of intelligent manufacturing workshop-monitoring demand in the context of new-generation information technology is analyzed, and a six-dimensional digital-twin-workshop-monitoring architecture is proposed, whereby a discrete workshop monitoring system based on the digital twin is constructed with IoT as the service platform. We will conduct research on the construction of virtual workshops for the system development process, twin data collection based on edge computing gateways, and dynamic monitoring of the production process. Finally, through the application of this system framework in a movable-arm-production workshop, the more intelligent human–machine interaction process of browsing and controlling workshop information, such as the equipment layout and production processes in the virtual workshop, has been realized. This includes data acquisition based on edge-computing gateways, dynamic real-time monitoring of the production process, etc., which provides a reference for realizing the visual monitoring of the discrete workshop.;MDPI;Journal;Systems;2023-03-01;https://api.elsevier.com/content/abstract/scopus_id/85151130222
1;Towards a Digital Twin Modelling Notation;Digital Twins (DTs) constitute a growing and promising trend recognised by academia and industry. They are virtual replicas of distinctive objects, processes, buildings, or humans. DTs are used to reason about their physical counterparts' functionalities, interactions, behaviours, and overall to plan optimal actions that they can perform or be subjected to. Given their intrinsic complexity, no standard definition nor a unified solution is yet available for designing and developing DTs. Intending to shed light on such a complex topic, we analysed the literature and derived a list of twelve pivotal characteristics of DTs. Such characteristics will be used as requirements for defining a Digital Twin Modelling Notation that will enable reasoning about the design of DT solutions.;Institute of Electrical and Electronics Engineers Inc.;Conference Proceeding;Proceedings of the 2022 IEEE International Conference on Dependable, Autonomic and Secure Computing, International Conference on Pervasive Intelligence and Computing, International Conference on Cloud and Big Data Computing, International Conference on Cyber Science and Technology Congress, DASC/PiCom/CBDCom/CyberSciTech 2022;2022-01-01;https://api.elsevier.com/content/abstract/scopus_id/85145346103
2;Leveraging RDF Graphs, Similarity Metrics and Network Analysis for Business Process Management;The paper reports on an early iteration of a Design Science effort for defining a business process analytics method. The method hybridizes explicitly engineered knowledge and implicit knowledge, as it streamlines the following ingredients: BPMN modeling, semantic linking and the transformation of models into RDF graphs, natural language processing and network analysis applied on the resulting graph repository. The engineered knowledge comes in the form of a BPMN implementation that can transform diagrams into RDF, whereas the implicit knowledge is derived from analytic measures (similarity metrics, network analysis) that further annotate the graphs obtained from models, enabling richer semantic queries and filtering possibilities for Business Process Management use cases. The originating problem context consists of contract management and project management scenarios from which use cases will be exemplified. The proposed method is deployable as an orchestration of tools: the BEE-UP modeling environment, GraphDB for storage and Python libraries (rdflib, nltk, networkx) for processing the graphs and running the annotating analytics.;CEUR-WS;Conference Proceeding;CEUR Workshop Proceedings;2023-01-01;https://api.elsevier.com/content/abstract/scopus_id/85166471935
3;Multi-level approach to virtual commissioning: a reconfigurable assembly system case;Software plays a key role in modern automated systems. Testing the control software is one of the final steps in the development process and when done on the physical set up, it creates risks (e.g. project delay, system damage and operator injury). In addition, with flexible systems it is almost impossible to test every possible scenario on the real system. Using a digital model allows testing different configurations before the physical hardware is available and thus without risk for the operator and the system hardware. A digital model of the reconfigurable system can also help validate new configurations virtually while the real system still operates in its current configuration, allowing for a quick risk-less changeover. Depending on the level in the control hierarchy, the simulations can run faster than real time. This paper demonstrates the use of a digital model during the commissioning at different levels. On each level, other requirements need to be fulfilled and a different level of detail is needed in the model. Every level asks for a different set of input data, that needs to be consistent to result in a reliable emulation/simulation. The methodology is evaluated on a reconfigurable assembly system, consisting of multiple base units with modular, relocatable add-on modules. The most detailed level is the process and machine level, considering the low-level control logic, movements of the machine and robots, collisions, etc. Cell and plant level commissioning focuses on the interaction of multiple machines, transport, production schedule and assignment of tasks to the individual machines. This level typically covers a longer time span and requires less detail of the actions on the machine level. It interacts with higher level control software and a simplified version of the low-level control logic is implemented in the model itself. This paper describes the methodology and lessons learned to reuse the digital model at different levels of the control hierarchy while remaining the consistency by exchange of information within the digital model and with the real system. Further research is described towards automated virtual test case scenarios with a digital model for a reconfigurable assembly system.;Elsevier B.V.;Conference Proceeding;IFAC-PapersOnLine;2022-01-01;https://api.elsevier.com/content/abstract/scopus_id/85144532499
4;A Cross-Domain Systematic Mapping Study on Software Engineering for Digital Twins;Digital Twins are currently investigated as the technological backbone for providing an enhanced understanding and management of existing systems as well as for designing new systems in various domains, e.g., ranging from single manufacturing components such as sensors to large-scale systems such as smart cities. Given the diverse application domains of Digital Twins, it is not surprising that the characterization of the term Digital Twin, as well as the needs for developing and operating Digital Twins are multi-faceted. Providing a better understanding what the commonalities and differences of Digital Twins in different contexts are, may allow to build reusable support for developing, running, and managing Digital Twins by providing dedicated concepts, techniques, and tool support. In this paper, we aim to uncover the nature of Digital Twins based on a systematic mapping study which is not limited to a particular application domain or technological space. We systematically retrieved a set of 1471 unique publications of which 356 were selected for further investigation. In particular, we analyzed the types of research and contributions made for Digital Twins, the expected properties Digital Twins have to fulfill, how Digital Twins are realized and operated, as well as how Digital Twins are finally evaluated. Based on this analysis, we also contribute a novel feature model for Digital Twins from a software engineering perspective as well as several observations to further guide future software engineering research in this area.;Elsevier Inc.;Journal;Journal of Systems and Software;2022-11-01;https://api.elsevier.com/content/abstract/scopus_id/85135797712
5;Generating customized low-code development platforms for digital twins;A digital twin improves our use of a cyber–physical system and understanding of its emerging behavior. To this effect, a digital twin is to be developed and configured and potentially also operated by domain experts, who rarely have a professional software engineering background and for whom easy access and support, e.g., in form of low-code platforms are missing. In this paper, we report on an integrated method for the model-driven engineering of low-code development platforms for digital twins that enables domain experts to create and operate digital twins for cyber–physical systems using the most appropriate modeling languages. The foundation of this method is (1) a code generation infrastructure for information systems combined with (2) an extensible base architecture for self-adaptive digital twins and (3) reusable language components for their configuration. Using this method, software engineers first configure the information system with the required modeling languages to generate the low-code development platform for digital twins before domain experts leverage the generated platform to create digital twins. This two-step method facilitates creating tailored low-code development platforms as well as creating and operating customized digital twins for a variety of applications.;Elsevier Ltd;Journal;Journal of Computer Languages;2022-06-01;https://api.elsevier.com/content/abstract/scopus_id/85129984615
6;Integration Challenges for Digital Twin Systems-of-Systems;Research and industry leverage digital twins to monitor and control (cyber-physical) systems in various domains. For their efficient engineering, these twins need to become Systems-of-Systems (SoS), in which digital twins of smaller systems (e.g., a production machine) become parts of digital twins of larger systems (e.g., a factory). Yet, research on digital twins as SoS largely ignores reusing digital twins in SoS. Based on our experience in engineering digital twins with experts from various domains related to production systems engineering, we present insights on the challenges of composing and integrating that need to be addressed for efficient engineering of digital twins as SoS. These insights may guide future research on engineering digital twins as well as practitioners considering the challenges in building and composing digital twin systems-of-systems.;Institute of Electrical and Electronics Engineers Inc.;Conference Proceeding;Proceedings - 10th IEEE/ACM International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems, SESoS 2022;2022-01-01;https://api.elsevier.com/content/abstract/scopus_id/85135174156
7;Towards Development Platforms for Digital Twins: A Model-Driven Low-Code Approach;Digital Twins in smart manufacturing must be highly adaptable for different challenges, environments, and system states. In practice, there is a need for enabling the configuration of Digital Twins by domain experts. Low-code approaches seem to be a meaningful solution for configuration purposes but often lack extension options. We propose a model-driven low-code approach for the configuration and reconfiguration of Digital Twins using language plugins. This approach uses model-driven software engineering and software language engineering methods to derive a configurable digital twin implementation. Moreover, we discuss some remaining challenges such as interoperability, language modularity, evolution, integration of assistive services, collaborative development, and web-based debugging.;Springer Science and Business Media Deutschland GmbH;Book Series;IFIP Advances in Information and Communication Technology;2021-01-01;https://api.elsevier.com/content/abstract/scopus_id/85115225554
8;Digital Twin: Enabling Technologies, Challenges and Open Research;Digital Twin technology is an emerging concept that has become the centre of attention for industry and, in more recent years, academia. The advancements in industry 4.0 concepts have facilitated its growth, particularly in the manufacturing industry. The Digital Twin is defined extensively but is best described as the effortless integration of data between a physical and virtual machine in either direction. The challenges, applications, and enabling technologies for Artificial Intelligence, Internet of Things (IoT) and Digital Twins are presented. A review of publications relating to Digital Twins is performed, producing a categorical review of recent papers. The review has categorised them by research areas: manufacturing, healthcare and smart cities, discussing a range of papers that reflect these areas and the current state of research. The paper provides an assessment of the enabling technologies, challenges and open research for Digital Twins.;Institute of Electrical and Electronics Engineers Inc.;Journal;IEEE Access;2020-01-01;https://api.elsevier.com/content/abstract/scopus_id/85087331367
9;Mobility Digital Twin: Concept, Architecture, Case Study, and Future Challenges;A Digital Twin is a digital replica of a living or nonliving physical entity, and this emerging technology attracted extensive attention from different industries during the past decade. Although a few Digital Twin studies have been conducted in the transportation domain very recently, there is no systematic research with a holistic framework connecting various mobility entities together. In this study, a Mobility Digital Twin (MDT) framework is developed, which is defined as an Artificial Intelligence (AI)-based data-driven cloud-edge-device framework for mobility services. This MDT consists of three building blocks in the physical space (namely Human, Vehicle, and Traffic), and their associated Digital Twins in the digital space. An example cloud-edge architecture is built with AmazonWeb Services (AWS) to accommodate the proposed MDT framework and to fulfill its digital functionalities of storage, modeling, learning, simulation, and prediction. The effectiveness of the MDT framework is shown through the case study of three digital building blocks with their key micro-services: the Human Digital Twin with user management and driver type classification, the Vehicle Digital Twin with cloud-based Advanced Driver-Assistance Systems (ADAS), and the Traffic Digital Twin with traffic flow monitoring and variable speed limit. Future challenges of the proposed MDT framework are discussed towards the end of the paper, including standardization, AI for computing, public or private cloud service, and network heterogeneity.;Institute of Electrical and Electronics Engineers Inc.;Journal;IEEE Internet of Things Journal;2022-01-01;https://api.elsevier.com/content/abstract/scopus_id/85125742081
