;title;abstract;dc:publisher;prism:aggregationType;prism:publicationName;prism:coverDate;prism:url
0;Knowledge-based lifecycle management approach for product service systems (PSS);Product Service Systems (PSS) are new industrial offerings which integrate a product and related services into a customer-specific bundle and offer the customer an overall solution to a specific issue. The lifecycle of PSS is characterized by merged product and service structures and a close interaction among the provider, the suppliers, and the customer, not only in the development phase but especially during the operation of PSS. Therefore a lifecycle management approach for PSS has to merge both the virtual and real (operational) lifecycle of PSS. To reach that goal operational knowledge about a PSS instance must be gathered, aggregated, managed, and used by enhanced lifecycle management methods in order to support providers, suppliers, and customers by developing, delivering and operating PSS. The paper in hand presents a knowledge-based lifecycle management approach for PSS, whichconsiders an ontological representation of PSS knowledge and 3 knowledgebased lifecycle methods to make engineering processes adaptive, to provide the involved actors with the appropriate PSS knowledge and support the stakeholders in their decision making processes. The components of this approach have been identified as key lifecycle management methods for managing PSS. They are still being developed within the collaborative research center TR29 funded by the German Research Foundation (DFG), who investigate the overall engineering of PSS.;Springer New York LLC;Book Series;IFIP Advances in Information and Communication Technology;2013-01-01;https://api.elsevier.com/content/abstract/scopus_id/84925063833
1;Unified IoT ontology to enable interoperability and federation of testbeds;After a thorough analysis of existing Internet of Things (IoT) related ontologies, in this paper we propose a solution that aims to achieve semantic interoperability among heterogeneous testbeds. Our model is framed within the EU H2020's FIESTA-IoT project, that aims to seamlessly support the federation of testbeds through the usage of semantic-based technologies. Our proposed model (ontology) takes inspiration from the well-known Noy et al. methodology for reusing and interconnecting existing ontologies. To build the ontology, we leverage a number of core concepts from various mainstream ontologies and taxonomies, such as Semantic Sensor Network (SSN), M3-lite (a lite version of M3 and also an outcome of this study), WGS84, IoT-lite, Time, and DUL. In addition, we also introduce a set of tools that aims to help external testbeds adapt their respective datasets to the developed ontology.;Institute of Electrical and Electronics Engineers Inc.;Conference Proceeding;2016 IEEE 3rd World Forum on Internet of Things, WF-IoT 2016;2017-02-06;https://api.elsevier.com/content/abstract/scopus_id/85015182893
2;20 Years of the Agile Manifesto: A Literature Review on Agile Project Management;Agile Project Management is a topic that has become popular both in business and academia, since the publication of the Agile Manifesto – a historic landmark in this subject. In the next 20 years, there was a relevant scientific production that must be analyzed to provoke reflection about the knowledge built up in this period. In this sense, this study aims to analyze the relevant scientific literature on Agile Project Management through a systematic review and a bibliometric analysis of articles published in scientific journals with Digital Object Identifier, in English, from the Web of Science and Scopus databases, from 2001 to 2021. The research results enable us to gain insights into the characteristics of this knowledge domain, regarding its volume and evolutionary trend, main contributors (i.e. scientific journals, authors, and their affiliations), main studies, methods used, and its central thematic axes.;Polska Akademia Nauk;Journal;Management and Production Engineering Review;2023-06-01;https://api.elsevier.com/content/abstract/scopus_id/85167422957
3;Framework for the agile development of innovative Product-Service-Systems for existing physical rehabilitation systems;Smart Health means innovation of the health sector through digitization. This leads to many possibilities regarding to an effective home-based, self-managed physical rehabilitation. With an innovative Product-Service-System (PSS), patients will have a better access, availability, and affordability of physical rehabilitation. In this contribution we present generic approaches of upgrading existent systems from a technological perspective. Furthermore, we introduce a framework for the agile development of innovative PSS, which could be adapted to other fields. The initial situation is an existing PSS for physical rehabilitation. The framework covers four phases. The planning phase consists of methods from the value based idea creation to Systems Engineering (SE) approaches, which focus on the conception of a Minimum Viable Product (MVP). The second phase describes a fast prototyping of the previously defined MVP, which addresses the PSS concept and the business model. Based on that, the next phase consists of the validation of the developed prototype and business model by real customers. The result is analyzed in the fourth stage. The learnings are interpreted regarding to the real market demand for the developed PSS. The developed PSS will be improved or completely changed through multiple iterations.;Elsevier B.V.;Conference Proceeding;Procedia Manufacturing;2018-01-01;https://api.elsevier.com/content/abstract/scopus_id/85050376141
4;Design science research contributions: Finding a balance between artifact and theory;With the rising interest in Design Science Research (DSR), it is crucial to engage in the ongoing debate on what constitutes an acceptable contribution for publishing DSR - the design artifact, the design theory, or both. In this editorial, we provide some constructive guidance across different positioning statements with actionable recommendations for DSR authors and reviewers. We expect this editorial to serve as a foundational step towards clarifying misconceptions about DSR contributions and to pave the way for the acceptance of more DSR papers to top IS journals.;Association for Information Systems;Journal;Journal of the Association for Information Systems;2018-01-01;https://api.elsevier.com/content/abstract/scopus_id/85048321087
5;Automated provenance graphs for models@run.time;Software systems are increasingly making decisions autonomously by incorporating AI and machine learning capabilities. These systems are known as self-adaptive and autonomous systems (SAS). Some of these decisions can have a life-changing impact on the people involved and therefore, they need to be appropriately tracked and justified: the system should not be taken as a black box. It is required to be able to have knowledge about past events and records of history of the decision making. However, tracking everything that was going on in the system at the time a decision was made may be unfeasible, due to resource constraints and complexity. In this paper, we propose an approach that combines the abstraction and reasoning support offered by models used at runtime with provenance graphs that capture the key decisions made by a system through its execution. Provenance graphs relate the entities, actors and activities that take place in the system over time, allowing for tracing the reasons why the system reached its current state. We introduce activity scopes, which highlight the high-level activities taking place for each decision, and reduce the cost of instrumenting a system to automatically produce provenance graphs of these decisions. We demonstrate a proof of concept implementation of our proposal across two case studies, and present a roadmap towards a reusable provenance layer based on the experiments.;Association for Computing Machinery, Inc;Conference Proceeding;Proceedings - 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS-C 2020 - Companion Proceedings;2020-10-16;https://api.elsevier.com/content/abstract/scopus_id/85096778397
6;Conceptualizing smart service systems;Recent years have seen the emergence of physical products that are digitally networked with other products and with information systems to enable complex business scenarios in manufacturing, mobility, or healthcare. These “smart products”, which enable the co-creation of “smart service” that is based on monitoring, optimization, remote control, and autonomous adaptation of products, profoundly transform service systems into what we call “smart service systems”. In a multi-method study that includes conceptual research and qualitative data from in-depth interviews, we conceptualize “smart service” and “smart service systems” based on using smart products as boundary objects that integrate service consumers’ and service providers’ resources and activities. Smart products allow both actors to retrieve and to analyze aggregated field evidence and to adapt service systems based on contextual data. We discuss the implications that the introduction of smart service systems have for foundational concepts of service science and conclude that smart service systems are characterized by technology-mediated, continuous, and routinized interactions.;Springer Verlagservice@springer.de;Journal;Electronic Markets;2019-03-12;https://api.elsevier.com/content/abstract/scopus_id/85034269569
7;Towards Interoperable Metamodeling Platforms: The Case of Bridging ADOxx and EMF;Metamodeling platforms are an important cornerstone for building domain-specific modeling languages in an efficient and effective way. Two prominent players in the field are ADOxx and the Eclipse Modeling Framework (EMF) which both provide rich ecosystems on modeling support and related technologies. However, until now, these two worlds live in isolation while there would be several benefits of having a bridge to exchange metamodels and models for different purposes (e.g., reuse of features and plugins that are only available on one platform, access to additional modeler and developer communities). Therefore, in this paper, we propose first steps toward establishing interoperability between ADOxx and EMF. For this, we thoroughly analyze the metamodeling concepts employed by both platforms before proposing a bridge that enables bidirectional exchange of metamodels. We evaluate the bidirectional bridge with several openly available metamodels created with ADOxx and EMF, respectively. Moreover, we quantitatively and qualitatively analyze the bridge by an evaluation that incorporates the instantiation and use of the metamodels on both platforms. We show that the metamodels can be exchanged without information loss and similar modeling experiences with respect to the resulting models can be achieved.;Springer Science and Business Media Deutschland GmbH;Book Series;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2022-01-01;https://api.elsevier.com/content/abstract/scopus_id/85132711232
8;OLIVE, a Model-Aware Microservice Framework;In this paper we want to introduce OLIVE, a model-centric and low-code microservice framework, resulting from the lessons learned in five years of European projects. The requirements on those projects are summarized and used to extract the characteristics that a microservice framework should support in order to be aware of models. An implementation of the OLIVE framework has been proposed, focusing more on the concepts, and required models, instead that on the technical details and has been evaluated in each project with definition of the needed microservices. Microservice development using a low code approach is still an open research field and with OLIVE we want to provide an initial contribution relative to the dependencies between microservices and models, using ADOxx as reference meta-modelling platform, and proposing an initial modelling method for the definition of OLIVE microservices.;Springer Science and Business Media Deutschland GmbH;Book Series;Lecture Notes in Business Information Processing;2021-01-01;https://api.elsevier.com/content/abstract/scopus_id/85119888815
9;Using conceptual modeling to support innovation challenges in smart cities;The digital transformation of cities towards Smart Cities proposes many opportunities, e.g., related to services, security, waste and energy management, and infrastructure management. These opportunities come with manifold innovation challenges, not only from a technological perspective but also for public authorities and citizens. The paper at hand introduces conceptual modeling as a means towards handling the complexity of Smart City planning, management, and operation. This paper presents multiple scenarios, indicating possibilities of bridging between the challenges of Smart Cities on the one hand and the opportunities of applying conceptual modeling on the other. Evaluation results and experience gained from two years of teaching such scenarios at the Next-generation Enterprise Modeling Summer School (NEMO) indicate a strong positive impact on student's motivation and learning success. The aim of this paper is therefore to emphasize on the benefits of adopting conceptual modeling in Smart Cities by exemplifying possible application scenarios.;Institute of Electrical and Electronics Engineers Inc.;Conference Proceeding;Proceedings - 18th IEEE International Conference on High Performance Computing and Communications, 14th IEEE International Conference on Smart City and 2nd IEEE International Conference on Data Science and Systems, HPCC/SmartCity/DSS 2016;2017-01-20;https://api.elsevier.com/content/abstract/scopus_id/85013650544
