;title;abstract;dc:publisher;prism:aggregationType;prism:publicationName;prism:coverDate;prism:url
0;A Catalog of Design Patterns for Compositional Language Engineering;When composing a domain-specific language from several language components, it is also necessary to compose analysis and synthesis techniques, which are individually defined on these components in an efficient, ideally black-box form. An effective way of allowing such compositions is to use specific design patterns, which are partly reflected in the tooling code, partly reflected in the language, but also partly reflected in the language workbench (one meta-level higher), and the generated/synthesized product code (one meta-level downward). Based on the experiences gained in compositional language development using the language workbench MontiCore, we in detail discuss several of those design patterns, namely the Mill, the RealThis object composition, the Template/Hook, and the TOP-Generator Patterns, and the hidden complexity of an extended visitor infrastructure coping with the above patterns. The patterns are recorded and described in a reusable way, as usual, allowing readers to participate from the gained insights and possible solutions.;Association Internationale pour les Technologies Objets;Journal;Journal of Object Technology;2022-01-01;https://api.elsevier.com/content/abstract/scopus_id/85141747625
1;A conceptual framework for smart production planning and control in Industry 4.0;"This article aims to introduce the challenge (i.e., integration of new collaborative models and tools) posed by the automation and collaboration of industrial processes in Industry 4.0 (I4.0) smart factories. Small- and medium-sized enterprises (SMEs) are particularly confronted with new technological and organisational changes, but a conceptual framework for production planning and control (PPC) systems in the I4.0 context is lacking. The main contributions of this article are to: (i) identify the functions making up traditional PPC and smart production planning and control in I4.0 (SPPC 4.0); (ii) analyse the impact of I4.0 technologies on PPC systems; (iii) propose a conceptual framework that provides the systematic structuring of how a PPC system operates in the I4.0 context, dubbed SPPC 4.0. Thus SPPC 4.0 is proposed by adopting the axes of the RAMI 4.0 reference architecture model, which compiles and contains the main concepts of PPC systems and I4.0. It also provides the technical description, organisation and understanding of each aspect, which can provide a guide for academic research and industrial practitioners to transform PPC systems towards I4.0 implementations. Finally, theoretical implications and research gaps are provided.";Elsevier Ltd;Journal;Computers and Industrial Engineering;2022-11-01;https://api.elsevier.com/content/abstract/scopus_id/85138158661
2;A Conceptual Model for Digital Shadows in Industry and Its Application;Smart manufacturing demands to process data in domain-specific real-time. Engineering models created for constructing, commissioning, planning, or simulating manufacturing systems can facilitate aggregating and abstracting the wealth of manufacturing data to faster processable data structures for more timely decision making. Current research lacks conceptual foundations for how data and engineering models can be exploited in an integrated way to achieve this. Such research demands expertise from different smart manufacturing domains to harmonize the notion space. We propose a conceptual model to describe digital shadows, data structures tailored to exploit models and data in smart manufacturing, through a metamodel and its notion space. This conceptual model was established through interdisciplinary research in the German excellence cluster “Internet of Production” and evaluated in various real-world manufacturing scenarios. This foundation for an understanding helps to manage complexity, automated analyses, and syntheses, and, ultimately, facilitates cross-domain collaboration.;Springer Science and Business Media Deutschland GmbH;Book Series;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2021-01-01;https://api.elsevier.com/content/abstract/scopus_id/85118142665
3;A Conceptual Model for Digital Shadows in Industry and Its Application;Smart manufacturing demands to process data in domain-specific real-time. Engineering models created for constructing, commissioning, planning, or simulating manufacturing systems can facilitate aggregating and abstracting the wealth of manufacturing data to faster processable data structures for more timely decision making. Current research lacks conceptual foundations for how data and engineering models can be exploited in an integrated way to achieve this. Such research demands expertise from different smart manufacturing domains to harmonize the notion space. We propose a conceptual model to describe digital shadows, data structures tailored to exploit models and data in smart manufacturing, through a metamodel and its notion space. This conceptual model was established through interdisciplinary research in the German excellence cluster “Internet of Production” and evaluated in various real-world manufacturing scenarios. This foundation for an understanding helps to manage complexity, automated analyses, and syntheses, and, ultimately, facilitates cross-domain collaboration.;Springer Science and Business Media Deutschland GmbH;Book Series;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2021-01-01;https://api.elsevier.com/content/abstract/scopus_id/85118142665
4;A Cost–Benefit Analysis Simulation for the Digitalisation of Cold Supply Chains;This paper investigates using simulation to predict the benefits and costs of digitalising cold distribution chains. The study focuses on the distribution of refrigerated beef in the UK, where digitalisation was implemented to re-route cargo carriers. By comparing simulations of both digitalised and non-digitalised supply chains, the study found that digitalisation can reduce beef waste and decrease the number of miles driven per successful delivery, leading to potential cost savings. Note that this work is not attempting to prove that digitalisation is appropriate for the chosen scenario, only to justify a simulation approach as a decision making tool. The proposed modelling approach provides decision-makers with more accurate predictions of the cost–benefit of increased sensorisation in supply chains. By accounting for stochastic and variable parameters, such as weather and demand fluctuations, simulation can be used to identify potential challenges and estimate the economic benefits of digitalisation. Moreover, qualitative assessments of the impact on customer satisfaction and product quality can help decision-makers consider the broader impacts of digitalisation. Overall, the study suggests that simulation can play a crucial role in facilitating informed decisions about the implementation of digital technologies in the food supply chain. By providing a better understanding of the potential costs and benefits of digitalisation, simulation can help organisations make more strategic and effective decisions.;MDPI;Journal;Sensors;2023-04-01;https://api.elsevier.com/content/abstract/scopus_id/85153957715
5;A digital twin ecosystem for additive manufacturing using a real-time development platform;Additive manufacturing is often used in rapid prototyping and manufacturing, allowing the creation of lighter, more complex designs that are difficult or too expensive to build using traditional manufacturing methods. This work considers the implementation of a novel digital twin ecosystem that can be used for testing, process monitoring, and remote management of an additive manufacturing–fused deposition modeling machine in a simulated virtual environment. The digital twin ecosystem is comprised of two approaches. One approach is data-driven by an open-source 3D printer web controller application that is used to capture its status and key parameters. The other approach is data-driven by externally mounted sensors to approximate the actual behavior of the 3D printer and achieve accurate synchronization between the physical and virtual 3D printers. We evaluate the sensor-data-driven approach against the web controller approach, which is considered to be the ground truth. We achieve near-real-time synchronization between the physical machine and its digital counterpart and have validated the digital twin in terms of position, temperature, and run duration. Our digital twin ecosystem is cost-efficient, reliable, replicable, and hence can be utilized to provide legacy equipment with digital twin capabilities, collect historical data, and generate analytics.;Springer Science and Business Media Deutschland GmbH;Journal;International Journal of Advanced Manufacturing Technology;2022-06-01;https://api.elsevier.com/content/abstract/scopus_id/85128054645
6;A digital twin framework for prognostics and health management;Despite rapid advances in modeling and analysis technology, the manufacturing industry has been slow to implement prognostic and health management strategies. A cause of this delay is the individualized focus of most health monitoring solutions, which makes it difficult to deploy and reuse modeling resources across manufacturing equipment fleets. This paper presents a digital twin-based framework that standardizes communication and organization of modeling resources used for health monitoring, a critical aspect of prognostics and health management. The framework is based on a novel, state-based model of mechanical system health that can be reused across manufacturing machines and components. A set of modular digital twin classes enables the creation of extensible digital twin hierarchies for monitoring the health of complex systems. A case study implements this framework to standardize fault detection results for the seal and bearing systems of an industrial pump. The framework's standardized DT classes and aggregation relationships allow component-level models to be re-used and aggregated to predict faults in the pump's bearing system.;Elsevier B.V.;Journal;Computers in Industry;2023-09-01;https://api.elsevier.com/content/abstract/scopus_id/85160517500
7;A Digital Twin-Based Distributed Manufacturing Execution System for Industry 4.0 with AI-Powered On-The-Fly Replanning Capabilities;Industry 4.0 smart production systems comprise industrial systems and subsystems that need to be integrated in such a way that they are able to support high modularity and reconfigurability of all system components. In today’s industrial production, manufacturing execution systems (MESs) and supervisory control and data acquisition (SCADA) systems are typically in charge of orchestrating and monitoring automated production processes. This article explicates an MES architecture that is capable of autonomously composing, verifying, interpreting, and executing production plans using digital twins and symbolic planning methods. To support more efficient production, the proposed solution assumes that the manufacturing process can be started with an initial production plan that may be relatively inefficient but quickly found by an AI. While executing this initial plan, the AI searches for more efficient alternatives and forwards better solutions to the proposed MES, which is able to seamlessly switch between the currently executed plan and the new plan, even during production. Further, this on-the-fly replanning capability is also applicable when newly identified production circumstances/objectives appear, such as a malfunctioning robot, material shortage, or a last-minute change to a customizable product. Another feature of the proposed MES solution is its distributed operation with multiple instances. Each instance can interpret its part of the production plan, dedicated to a location within the entire production site. All of these MES instances are continuously synchronized, and the actual global or partial (i.e., from the instance perspective) progress of the production is handled in real-time within one common digital twin. This article presents three main contributions: (i) an execution system that is capable of switching seamlessly between an original and a subsequently introduced alternative production plan, (ii) on-the-fly AI-powered planning and replanning of industrial production integrated into a digital twin, and (iii) a distributed MES, which allows for running multiple instances that may depend on topology or specific conditions of a real production plant. All of these outcomes are demonstrated and validated on a use-case utilizing an Industry 4.0 testbed, which is equipped with an automated transport system and several industrial robots. While our solution is tested on a lab-sized production system, the technological base is prepared to be scaled up to larger systems.;MDPI;Journal;Sustainability (Switzerland);2023-04-01;https://api.elsevier.com/content/abstract/scopus_id/85152785660
8;A Flow Graph based Approach for controlled Generation of AAS Digital Twin Instances for the Verification of Compliance Check Tools;Digital twins are a fundamental building block for the Industrie 4.0. With the Asset Administration Shell, a standard has been published that describes a meta model of such digital twins and the interfaces to access them. One of these interfaces is file-based access. Since the advent of the standard, various implementations have been developed. To ensure interoperability between different implementations, compliance with the specification must be verified. To test the correctness of a compliance check tool, a set of digital twins with known properties is used as test input. Since manually specifying such test models is error-prone, this work contributes an automated generation approach. It leverages flow graphs to represent the space of possible models. The subsequent path selection aims to generate expressive, yet efficient test input.;IEEE Computer Society;Conference Proceeding;IECON Proceedings (Industrial Electronics Conference);2022-01-01;https://api.elsevier.com/content/abstract/scopus_id/85143907362
9;A Novel Implementation Framework of Digital Twins for Intelligent Manufacturing Based on Container Technology and Cloud Manufacturing Services;Many core technologies of Industry 4.0 have gained substantial advancement in recent years. Digital Twin (DT) has become the key technology and tool for manufacturing industries to realize intelligent cyber-physical integration and digital transformation by leveraging these technologies. Although there have been many DT-related works, there is no standard definition, unified framework, and implementation approach of DT until now. Widely developing DTs for the manufacturing industry is still challenging. Thus, this paper proposes a novel implementation framework of digital twins for intelligent manufacturing, denoted as IF-DTiM, which possesses several distinct merits to distinguish itself from previous works. First, IF-DTiM fully utilizes new-generation container technology so that DT-related applications and services can be packaged in a self-contained way, rapidly deployed, and robustly operated with the capabilities of failover, autoscaling, and load balancing. Second, it leverages existing intelligent cloud manufacturing services to realize the intelligence for DT externally in a scalable and plug-and-play manner instead of using traditional approaches to embed intelligence in DT. Third, IF-DTiM contains Product DT for products, Equipment DT (i.e., EQ DT) for equipment, and Process DT for production lines, which can generically fulfill the demands and scenarios to achieve intelligent manufacturing for various manufacturing industries. Testing results show that IF-DTiM can achieve remarkable performance in rapid deployment and real-time data exchanges of DT-related applications. Finally, we develop an example DTiM system for CNC machining based on IF-DTiM to demonstrate its efficacy and applicability in facilitating the manufacturing industry to build their DT systems. Note to Practitioners - Developing Digital Twin (DT) systems to realize intelligent manufacturing is challenging. The proposed IF-DTiM (Implementation Framework of Digital Twins for Intelligent Manufacturing) provides a novel container-technology and cloud-manufacturing-service-based systematic methodology for building DTiM. In this paper, we present the system architecture and several operational scenarios (e.g., how to create and use DTs) of IF-DTiM, together with the design of its core functional mechanisms (e.g., rapid deployment scheme for DT, real-time data exchange for DT, DT interface pattern, and general workflow architecture for DT). Also, an example DTiM system for CNC machining based on IF-DTiM is presented to facilitate the practitioners to adopt the designs and niches in IF-DTiM to build their desired DTiM systems.;Institute of Electrical and Electronics Engineers Inc.;Journal;IEEE Transactions on Automation Science and Engineering;2022-07-01;https://api.elsevier.com/content/abstract/scopus_id/85124199123
