;Title
0;3d city model of new york city - tum
4;a centralized support infrastructure (csi) to manage cps digital twin, towards the synchronization between cpss deployed on the shopfloor and their digital representation
5;a classification and comparison framework for software architecture description languages
6;a classification and comparison framework for software architecture description languages
7;a community-sourced view on engineering digital twins: a report from the edt. community
8;a comparison among tools for the diagnosability of discrete event systems
10;a component architecture for the internet of things
12;a comprehensive performance evaluation of procedural geometry workloads on resource-constrained devices
14;a computational product model for conceptual design using sysml
19;a cost-benefit analysis simulation for the digitalisation of cold supply chains
24;a data-and knowledge-driven framework for digital twin manufacturing cell
25;a decision-making framework for dynamic schedul- ing of cyber-physical production systems based on digital twins
26;a digital shadow reference model for worldwide production labs
30;a digital twin for operational evaluation of vertical transportation sys- tems
39;a discussion of qualifications and skills in the fac- tory of the future: a german and american perspective
41;a domain model-driven approach for producing user interfaces to multi-platform information systems
42;a domain-specific approach to architecturing error handling in pervasive computing
43;a dynamic bayesian network approach for digital twin
44;a fast and elitist multiobjective genetic algorithm
45;a fast remotely operable digital twin of a generic electric powertrain for geographically distributed hardware-in-the-loop simulation testbed
49;a formal verification framework for sysml activity diagrams
50;a four-layer â¨ architecture pattern for constructing and managing digital twins
57;a little synopsis on streams, stream processing functions, and state-based stream processing
60;a mda-based environment for web applications development: from conceptual models to code
62;a meta-modeling paradigm of the manufacturing resources using mathematical logic for process planning
65;a model- driven engineering workbench for caex supporting language cus- tomization and evolution
66;a model driven method to design educational cyber physical systems.
67;a model order reduction approach to create patient-specific mechanical models of human liver in computational medicine applications
68;a model-based testing for aadl model of embedded software
74;a multi agent system architecture to implement collaborative learning for social industrial assets
79;a pattern catalog for augmenting digital twin models with behavior
80;a pattern catalog for augmenting digital twin models with behavior: ein musterkatalog zur erweiterung von digitalen zwillingsmodellen um verhaltenssichten
81;a practical guide for using statistical tests to assess randomized algorithms in software engineering
82;a practical guide to sysml: the systems modeling language
84;a probe effect in concurrent programs
85;a real-time-linux-based framework for model-driven engineering in control and automation
90;"a review of the technology standards for enablin g digital twin [version 2; peer review: 2 approved]"
91;a review of the technology standards for enabling digital twin
92;a review of the technology standards for enabling digital twin. version 2.},
95;a semi-active human digital twin model for detecting severity of carotid stenoses from head vibrationâa coupled computational mechanics and computer vision method
97;a simulation-based digital twin for model-driven health monitoring and predictive maintenance of an automotive braking system
100;a survey of formal methods in self-adaptive systems
103;a survey of online failure prediction methods
107;a survey on explainable artificial intelligence (xai): toward medical xai
111;a timevarying geometry modeling method for parts with deformation during machining process
112;a toolset for performance engineering and software design of client-server systems
113;a tosca-based conceptual architecture to support the federation of heterogeneous msaas infrastructures
115;aas capability- based operation and engineering of flexible production lines
116;about the importance of autonomy and digital twins for the future of manufacturing
117;about the importance of autonomy and digital twins for the future of manufacturing
118;abstraction and refinement in hierarchically decom- posable and underspecified cps-architectures
121;achieving complete and near-lossless conversion from ifc to citygml
123;actionable artificial intelligence for the future of production
128;addressing big data issues in scientific data infrastructure
129;agile design science research
131;agile modeling method engineering
136;an approach for leveraging digital twins in agent-based production systems
139;an architectural blueprint for autonomic computing
143;an asm semantics for uml activity diagrams
146;an empirical study of the state of the practice and acceptance of model-driven engineering in four industrial cases
148;an industrial system engineering process integrating model driven architecture and model based design
149;an interactive method for detection of process activity executions from iot data
150;an investigation of self-learning and self-protection for adaptive digital twins
151;an ontologybased metamodel for capability descriptions
156;anomaly detection in cyber-physical production systems
157;apache kafka: next generation distributed messaging system
159;application of digital twins in smart grids
160;application of digital-twin technology for the job-shop scheduling problem
165;architecting digital twins using a domain-driven design-based approach
166;architecting dynamic cyber-physical spaces
167;architecting principles for systems-of-systems
170;architectural programming with montiarcautomaton
171;architecture and behavior modeling of cyber-physical systems with montiarcautomaton
172;architecture-based resilience evaluation for self-adaptive systems
173;artificial intelligence-definition and practice
174;aspect-oriented model-driven engineering for embedded systems applied to automation systems
176;assurance using models at runtime for self-adaptive software systems
177;augmenting modelbased systems engineering with knowledge
178;auto- matic verification and performance analysis of time-constrained sysml activity diagrams
179;automated fault tree analysis from aadl models
180;automated planning for self-adaptive systems
181;automated planning: theory and practice.
182;automatic analysis and sketch-based retrieval of architectural floor plans
184;automatic derivation of fault tree models from sysml models for safety analysis
185;automatic fault tree gen- eration from sysml system models
187;automatic generation of static fault trees from aadl models
189;automatic synthesis from uml/ marte models using channel semantics
193;automationml-the glue for seamless automation engineering
194;automationml-the glue for seamless automation engineering
195;automatisierte montage groãskaliger wasser-elektrolyseure
197;autonomous, context-aware, adaptive digital twins-state of the art and roadmap
198;behavior trees in robotics and ai: an introduction
199;behavior-based control of multi-robot assembly/palletizing systems
200;behavior-centered digital-twin design for dynamic cyber-physical system development
203;bewertung der anwendbarkeit von grafischen modellierungssprachen fã¼r digitale zwillinge
204;bidirectional model transformations in qvt: semantic issues and open questions
208;bim handbook: a guide to building information modeling for owners, managers, designers, engineers and contractors
211;bpmn vs uml activity diagram for business process modeling
215;broken rotor bar fault detection of the grid and inverter- fed induction motor by effective attenuation of the fundamental com- ponent
218;building a digital twin powered intelligent predictive maintenance system for industrial ac machines
219;building a minimum viable product? youâre probably doing it wrong
